,Tweets,Date
0,"As @justinamash presents himself as an “alternative”, remember-he voted to privatize and cut #Medicare, against #Medicaid expansion, to repeal the #ACA and he voted present on #coronavirus relief. He’s not on your side, he’s on the side of #bigbusiness and #JustinAmash",2020-04-29 23:48:48+00:00
1,I wonder how many reports of coronavirus breaches police forces are receiving. This is keeping me awake tonight along with an unsettled boy.,2020-04-29 23:41:55+00:00
2,"Beloved Brooklyn teacher, 30, dies of coronavirus after she was twice denied a COVID-19 test - ABC News Failure of leadership by the Federal, state and city governments. Another instance where your ZIP Code determines your health outcome! #CoronavirusUSA",2020-04-29 23:41:14+00:00
3,Dogs are being trained to sniff out coronavirus cases - The Washington Post ,2020-04-29 23:34:23+00:00
4,The irrelevance of the saved tabs on my phone browser from before coronavirus tho...,2020-04-29 23:33:14+00:00
5,Practising Self-Compassion as Coronavirus Realisation Sets In Read the full article: Practising Self-Compassion as Coronavirus Realisation Sets In ▸ https://bit.ly/2VeXcDe #selfcompassion #bekind,2020-04-29 23:17:10+00:00
6,"Aviation: S&P lowers Boeing's credit rating on coronavirus hit to earnings, cash flow - Reuters ",2020-04-29 23:07:24+00:00
7,Coronavirus Q&amp;A: Here’s what you need to know about the Bay Area’s new shelter in place order ,2020-04-29 23:05:48+00:00
8,"President Donald Trump said Wednesday the federal government’s coronavirus social distancing guidelines will be “fading out” when they expire Thursday, counting on states taking charge as they pivot to reopening. https://bit.ly/3aLXzt9 #NationalNews #SocialDistancing",2020-04-29 23:00:04+00:00
9,The not so United States of Coronavirus.,2020-04-29 22:48:00+00:00
10,"WHO, world leaders, internationally renowned scientists are struggling to control corona virus. But dint worry. Here comes Greta with all her training and life experience to sort it out!! ",2020-04-29 22:46:19+00:00
11,"Given the worldwide coronavirus crisis, this year’s class of graduates will rely heavily on the support of our career center and alumni volunteers to help shape their professional future. Learn more about how you can help our students: https://www.ripon.edu/onedayrally-student-support-initiative/ #OneDayRally",2020-04-29 22:41:21+00:00
12,"Coronavirus deaths top 60,000 in US | McClatchy Washington Bureau ",2020-04-29 22:40:39+00:00
13,BBC News - Coronavirus: 98-year-old doctor working through the lockdown ,2020-04-29 23:21:11+00:00
14,"Toronto is blessed with a ravine system that creates secret green space everywhere, but as an East Ender I’m partial to Taylor Massey for my daily Coronavirus constitutional. Bubbling creek, mature trees, zero noise, few people. ",2020-04-29 22:25:28+00:00
15,The move will help New Yorkers socially distance amid the coronavirus pandemic. https://trib.al/AuSiPzw curbedny #curbedny,2020-04-29 22:24:25+00:00
16,"The latest across #Essex as coronavirus cases reach 2,981 https://j.mp/2VOGeMf",2020-04-29 22:17:03+00:00
17,Coronavirus is officially on the back burner,2020-05-30 23:52:50+00:00
18,"please stay safe if you are protesting!!! please don't forget that the corona virus hasn't just disappeared, please get tested for it",2020-05-30 23:47:54+00:00
19,Well we did get a break from coronavirus all news all the time.,2020-05-30 23:41:44+00:00
20,"So if there is a Coronavirus spike, will these protestors be ridiculed and condemned like the anti-lockdown protestors were??",2020-05-30 23:32:55+00:00
21,Salesforce coronavirus contact tracing platform goes national https://bit.ly/3fPoDMb via @searchCXM,2020-05-30 23:12:18+00:00
22,"Durdle Door - Where are all of these people going for a wee, please? Aren’t public toilets closed at the moment? #durdledoor #coronavirus ",2020-05-30 23:08:09+00:00
23,"Bat curry still popular in Indonesia despite #CoronaVirus outbreak by #Reuters - Feb 11, 2020 0:51 ViD https://youtu.be/IR5phkBFRv0 #WuhanVirus #COVID19 #CCPVirus qt-covid19-vids-050 by #BorderObserver",2020-05-30 23:05:18+00:00
24,"http://www.legislation.gov.uk/uksi/2020/350/regulation/6/made Regulation 6 of The Health Protection (Coronavirus, Restrictions) (England) Regulations 2020",2020-05-30 22:25:00+00:00
25,"#CCP_Propaganda #FullOnPropaganda #CCPScam #WithActors Coronavirus fight: Driverless disinfection truck put into use by #NewChinaTV - Feb 12, 2020 0:44 ViD https://youtu.be/SdPAhW1H7mQ #CoronaVirus #WuhanVirus #COVID19 #CCPVirus qt-covid19-vids-056 by #BorderObserver",2020-05-30 22:15:24+00:00
26,"The rules are clear and they apply to all... ouch, someone is rattling cages...Dominic Cummings row: senior health official says lockdown rules 'apply to all' | Coronavirus outbreak | The Guardian ",2020-05-30 22:13:07+00:00
27,"#Coronavirus epidemic may peak this month: Top SARS doctor by #Reuters - Feb 11, 2020 2:01 ViD https://youtu.be/Fev__1qdZq4 #WuhanVirus #COVID19 #CCPVirus qt-covid19-vids-049 by #BorderObserver",2020-05-30 22:05:24+00:00
28,Still kills me that they want to continue. #endit #football #PremierLeague #championship BBC Sport - Coronavirus: Jayden Stockley among 10 positive tests in Championship; seven in League Two ,2020-05-30 22:02:14+00:00
29,Post Pandemic Jobs for East Gippsland by Angela Crunden http://petergardner.info/2020/05/post-pandemic-jobs-for-east-gippsland-by-angela-crunden/ #gippsnews #ClimateActionNow #SpringSt #coronavirus @GippsNews @ICAN_NOW @Pen2Paper43 @takvera @prrsimons @howardw46 @Ecoshouting @RobPhair @s_maunder @JarrodWhittaker @SafeClimate @DarrenChesterMP,2020-05-30 21:52:43+00:00
30,He actually died from the coronavirus ,2020-05-30 21:51:25+00:00
31,And just like that they stop talking about the Corona virus ... some shit just be a disguise!,2020-05-30 21:48:40+00:00
32,"I think, at the moment, enough people are being non-compliant with coronavirus restrictions that the people who are trying to be will gradually start to take a ""screw this"" attitude. All we can hope for is that the prevalence of the virus is low enough not to spread again.",2020-05-30 21:45:04+00:00
33,Average age of death from coronavirus in UK is 56. Don't be too sure youth will protect you.,2020-05-30 21:38:17+00:00
34,What about you taking action against Ian Lavery MP who said people dying from coronavirus will be good for the Labour Party?,2020-05-30 21:36:06+00:00
35,Coronavirus: Shielders in England allowed outdoors again from Monday ⁦@StephenNolan⁩ https://www.bbc.co.uk/news/health-52862440,2020-05-30 21:12:56+00:00
36,I have seen enough sketchy things to make me not be able to believe all those deaths are really from coronavirus.,2020-05-30 20:54:59+00:00
37,This is pretty great. Risk reduction is the name of the game. How coronavirus spreads outdoors vs. indoors https://youtu.be/n6QwnzbRUyA via @YouTube,2020-05-30 20:46:17+00:00
38,CBS 13 - Yolo County Coronavirus Testing Facility Moving From Woodland To West Sacramento ,2020-05-30 20:26:32+00:00
39,"Coronavirus: Britain faces 'very dangerous moment' as lockdown eased, says top government adviser ",2020-05-30 22:29:05+00:00
40,Even #leave voters say it's sensible to #extend #transition to concentrate on #coronavirus crisis UK chief negotiator says any EU request for #BrexitExtension Brexit extension would be rejected https://uk.news.yahoo.com/uk-chief-negotiator-says-eu-155108515.html?soc_src=social-sh&amp;soc_trk=tw via @yahooNewsUK,2020-05-30 20:16:48+00:00
41,Has Coronavirus been cancelled?,2020-05-30 20:06:27+00:00
42,Covid-19 really gettin treated like it’s the side bitch rn #coronavirus ,2020-05-30 19:55:32+00:00
43,Coronavirus: first human-to-human transmission confirmed in US https://f7td5.app.goo.gl/UPeXFa Sent via @updayUK,2020-01-30 23:47:57+00:00
44,#TBT - Who’s still claiming #Blackanese now the #Coronavirus is hittin?! #ThrowBackThursday #ChrisTucker #JamesCarter #RushHour #RushHourMovie #Oldskool #ClassicComedy https://www.instagram.com/p/B79m41EhscQ/?igshid=1qdhb41d0by65,2020-01-30 23:42:04+00:00
45,"Build the wall. Deport them all. Also, #nukechina to solve coronavirus ",2020-01-30 23:40:50+00:00
46,RT this or get the Coronavirus ,2020-01-30 23:34:31+00:00
47,Five people in France confirmed to have coronavirus ,2020-01-30 23:28:10+00:00
48,#TravelBan Chicago man is first US person-to-person China coronavirus case | Daily Mail Online ,2020-01-30 23:23:19+00:00
49,Brilliant. I'm watching #BBCQT for the first time in a year because @GeoffNorcott is on. He swerves a question on Coronavirus saying that it should be answered by politicians. It goes straight back to the audience. ,2020-01-30 23:09:34+00:00
50,Sport: Coronavirus Forces Esports Leagues to Cancel Matches - Bloomberg ,2020-01-30 23:07:09+00:00
51,#BREAKING The #coronavirus whose origins allegedly are from a snake in China has proven once again in the year of the Rat a #snake is far more toxic. #GlobalHealthEmergency has been declared today by the World Health Organization today. #bcpoli #cdnpoli,2020-01-30 23:05:04+00:00
52,This coronavirus is making everyone forget about Brexit,2020-01-30 22:20:11+00:00
53,"#coronavirus 170 miles by coach from RAF Brize Norton, I would need a wee #coachtrip",2020-01-30 22:11:41+00:00
54,I aint forget some of you hoes still got STD’s ... stay woke everyone. If the coronavirus dont get you something will ,2020-01-30 22:05:36+00:00
55,"Chicago woman infects husband with coronavirus, first human-to-human spread in US -- https://bit.ly/3aOSAt0 #HealthWatch #NationalNews",2020-01-30 21:30:01+00:00
56,I heard pooping your pants cures corona virus,2020-01-30 21:30:00+00:00
57,Sage advice on whether to Travel or Not To Travel. #AWP20 #AWP ⁦@awpwriter⁩ ⁦@sfgrotto⁩ ⁦@MILibrary⁩ ⁦@SFWC⁩ ⁦@paythewriter⁩ ⁦@AuthorsGuild⁩ #conference #COVID19 #CoronaVirusUpdates,2020-02-28 21:16:32+00:00
58,Been a truly crazy week! A huge increase in customer contacts via email/chat/phone due to #COVID19 outbreak. Normal week would be c70-100 and this week we have had c300 in total! Big shout out to the team who have been incredible in dealing with the increase demand! #insurance,2020-02-28 21:15:43+00:00
59,I never thought I’d be relieved that the market is closing only 600 points down. #TrumpCrash #CoronaCrash #COVID19,2020-02-28 20:57:55+00:00
60,"4/5 China: F+ -Covid19 started here, yet government suppressed information—even arresting whistleblowers. Likely continuing to suppress data -Massive public celebrations AFTER known human-to-human spread -Eventual huge response likely slowed spread, but many cases exported",2020-02-28 20:11:31+00:00
61,AFD Blog `Italy MOH: 171 Additional COVID-19 Cases Over Past 24 Hours' #COVID19 #Coronavirus https://afludiary.blogspot.com/2020/02/italy-moh-171-additional-covid-19-cases.html,2020-02-28 17:45:02+00:00
62,Post #COVID19 lockdown workout #workout @thatspeakerguy @postgrowth,2020-02-28 17:26:40+00:00
63,FUCK ME! This is astounding stupidity! Trump thinks that because markets globally are in free fall due to #COVID19 will adversely affect his re-election campaign it MUST be a hoax perpetrated by @_Democrats #USpoli #Decision2020,2020-02-28 16:46:18+00:00
64,The @foreignoffice says it is investigating Japanese news reports that a British man who was aboard the Diamond Princess cruise ship has died from #COVID19,2020-02-28 13:27:26+00:00
65,"The first step in fighting coronavirus (COVID19) is not to panic but to learn about it's prevention from credible sources. If you send me a message about palm oil, garlic or a prophet that can cure coronavirus, I will block you. You don't have to joke about everything.",2020-02-28 13:26:48+00:00
66,= human lives are less important than optics on the Market to this admin. As is evidenced by the two appointees to the covid19 task force. Drunk uncle Kudlow and money bags Munchkin ,2020-02-28 12:31:25+00:00
67,AFD Blog `CDC Revised Testing Criteria For COVID-19 PUIs' #COVID19 #Coronavirus https://afludiary.blogspot.com/2020/02/cdc-revised-testing-criteria-for-covid.html,2020-02-28 09:18:45+00:00
68,AFD Blog `WSJ Report Links Novel #Coronavirus To Wuhan Pneumonia Cluster' https://afludiary.blogspot.com/2020/01/wsj-report-links-novel-coronavirus-to.html …,2020-01-08 14:46:59
69,Channel News Asia live stream now reporting 15 patients tested postive for new strain of coronavirus from Wuhan.  Research continues. @ChannelNewsAsia,2020-01-09 06:12:53
70,AFD Blog `WHO Novel Coronavirus Update - Jan 12th' https://afludiary.blogspot.com/2020/01/who-novel-coronavirus-update-jan-12th.html …,2020-01-12 16:29:37
71,AFD Blog `@WHO News Release: Thailand Responding to the Novel #Coronavirus' https://afludiary.blogspot.com/2020/01/who-news-release-thailand-responding-to.html …,2020-01-13 13:57:38
72,AFD Blog `@WHO Statement on Novel #Coronavirus in Thailand'  https://afludiary.blogspot.com/2020/01/who-statement-on-novel-coronavirus-in.html …,2020-01-13 12:10:02
73,AFD Blog `Thailand MOH Confirms 1st Imported Case Of Novel #Coronavirus' https://afludiary.blogspot.com/2020/01/thailand-moh-confirms-1st-imported-case.html …  h/t @FluTrackers,2020-01-13 12:01:36
74,AFD Blog `Hong Kong USFH On #Coronavirus Transmission Possibilities'  https://afludiary.blogspot.com/2020/01/hong-kong-usfh-on-coronavirus.html …,2020-01-15 13:18:15
75,AFD Blog `@WHO DON Update: Novel Coronavirus in Thailand (ex China)'  https://afludiary.blogspot.com/2020/01/who-don-update-novel-coronavirus-in.html …,2020-01-14 18:22:00
76,"WHO says new China coronavirus could spread, warns hospitals worldwide https://reut.rs/2FOKORD  #health #world",2020-01-14 17:17:15
77,AFD Blog `Wuhan Health Commission Update (Jan 14th) - No New Cases'  #nCoV #Coronavirus https://afludiary.blogspot.com/2020/01/wuhan-health-commission-update-jan-14th.html …,2020-01-14 15:09:25
78,"AFD Blog `UK PHE: Wuhan #Coronavirus Initial Guidance - Pt. Investigation, Clinical Mgmt. & Infection Control'  https://afludiary.blogspot.com/2020/01/uk-phe-wuhan-coronavirus-initial.html …",2020-01-11 13:43:57
79,AFD Blog `@WHO DON Update: Novel #Coronavirus – Japan (ex-China)' https://afludiary.blogspot.com/2020/01/who-don-update-novel-coronavirus-japan.html …,2020-01-16 21:02:30
80,AFD Blog `Wuhan Health Commission Reports 2nd #Coronavirus-Related Fatality'  https://afludiary.blogspot.com/2020/01/wuhan-health-commission-reports-2nd.html …,2020-01-16 17:19:23
81,"China  Thailand  Japan 

""Japan confirms its first case of the SARS-like coronavirus""  https://twitter.com/i/events/1217743831027728385 …",2020-01-16 16:23:17
82,AFD Blog `ECDC Testing Criteria & Specimen Collection For Suspected Novel Coronavirus Cases'  https://afludiary.blogspot.com/2020/01/ecdc-testing-criteria-specimen.html …,2020-01-16 13:31:01
83,AFD B;pg `HK CHP Revises & Expands Reporting Criteria Following Japan's Announced #Coronavirus Detection'  https://afludiary.blogspot.com/2020/01/hk-chp-revises-expands-reporting.html …,2020-01-16 11:58:48
84,AFD Blog `WHO WPRO Twitter Announcement Of Japan's #Coronavirus Detection'  @WHOWPRO https://afludiary.blogspot.com/2020/01/who-wpro-twitter-announcement-of-japans.html …,2020-01-16 05:15:51
85,AFD Blog `MOH Statement On #Japan's 1st Detection Of Novel #Coronavirus (ex China)'  https://afludiary.blogspot.com/2020/01/moh-statement-on-japans-1st-detection.html …,2020-01-16 04:20:01
86,AFD Blog `Guangdong Province Confirms 1st Novel Coronavirus Case'  h/t Shiloh @FluTrackers https://afludiary.blogspot.com/2020/01/guangdong-province-confirms-1st-novel.html …,2020-01-19 19:51:24
87,AFD BLog `Wuhan Health Commission: 136 New #Coronavirus Cases Added (Ttl=198)'  https://afludiary.blogspot.com/2020/01/wuhan-health-commission-136-new.html …,2020-01-19 19:05:06
88,AFD Blog `China: National Health Commission Statement on Novel #Coronavirus'   https://afludiary.blogspot.com/2020/01/china-national-health-commission.html …,2020-01-19 14:02:30
89,"China coronavirus: at least three suspected cases found in Shenzhen, Shanghai, sources say https://www.scmp.com/news/china/society/article/3046681/china-coronavirus-least-three-suspected-cases-found-shenzhen …",2020-01-19 02:08:38
90,Yet the @CDCofBC remains mute on the subject. What's the point of having a website and twitter stream if you don't use it?  https://vancouversun.com/news/local-news/officials-keep-close-on-spread-of-deadly-coronavirus-from-china … #bcpoli #bchealth #coronavirus #nopanicjustwantthetimelyfacts @Crof,2020-01-18 22:58:53
91,AFD BLog `Wuhan Health Commission Adds 17 New #Coronavirus Cases (ttl=62)'  https://afludiary.blogspot.com/2020/01/wuhan-health-commission-adds-17-new.html …   h/t @FluTrackers,2020-01-18 18:52:06
92,US to screen passengers for new China coronavirus at 3 airports https://mybanglanews.com/us-to-screen-passengers-for-new-china-coronavirus-at-3-airports/ …,2020-01-18 06:29:05
93,AFD Blog `ICYMI: Audio From Today's CDC Briefing On China's Novel #Coronavirus' https://afludiary.blogspot.com/2020/01/icymi-audio-from-todays-cdc-briefing-on.html …,2020-01-18 00:36:57
94,"More than 40 cases of the newly identified coronavirus have been confirmed in Asia, including two deaths. https://www.cbs19.tv/article/news/nation-world/china-coronavirus-us-airport-screening/507-5b4aaa57-9cf2-407b-b6dc-88df5015d329 …",2020-01-17 22:00:03
95,Three U.S. Airports to Screen Passengers for Chinese Coronavirus https://www.nytimes.com/2020/01/17/health/china-coronavirus-airport-screening.html?campaign_id=60&instance_id=0&segment_id=20429&user_id=be21e6f415fef552ea8b9046a857ae7d&regi_id=72114660 …,2020-01-17 19:39:27
96,"AFD Blog `CDC: Screening Of Air Passengers To Begin At 3 Airports (SFO, LAX, JFK)' #Coronavirus https://afludiary.blogspot.com/2020/01/cdc-screening-of-air-passengers-to.html …",2020-01-17 19:33:35
97,AFD Blog `ECDC Rapid Risk Assessment On Novel #Coronavirus' https://afludiary.blogspot.com/2020/01/ecdc-rapid-risk-assessment-on-novel.html …,2020-01-17 17:12:39
98,AFD Blog `Wuhan Health Commission Adds 4 New #Coronavirus Cases (n=45)'  h/t @FluTrackers https://afludiary.blogspot.com/2020/01/wuhan-health-commission-adds-4-new.html …,2020-01-17 16:54:46
99,AFD Blog `CDC Novel #Coronavirus Briefing Today: 1pm EST' https://afludiary.blogspot.com/2020/01/cdc-novel-coronavirus-briefing-today.html …,2020-01-17 16:16:46
100,"AFD Blog `Imperial College London: Estimating Number Of #Coronavirus Cases In Wuhan, China'  https://afludiary.blogspot.com/2020/01/imperial-college-london-estimating.html …",2020-01-17 15:48:30
101,AFD Blog `WHO DON : Novel #Coronavirus – Japan (ex-China) UPDATED' https://afludiary.blogspot.com/2020/01/who-don-update-novel-coronavirus-japan_17.html …,2020-01-17 12:35:49
102,AFD Blog `Thailand MOH Reports 2nd Novel #Coronavirus Case (ex China)' https://afludiary.blogspot.com/2020/01/thailand-moh-reports-2nd-novel.html …,2020-01-17 06:52:51
103,The government created coronavirus.,2020-01-23 23:16:09
104,i sneezed today and someone said i had the coronavirus,2020-01-28 23:58:30
105,"Haiku time!

Coronavirus?
Luckily we have the NHS
For now... Cough cough cough",2020-01-28 23:42:06
106,Australia scientists claim first re-creation of coronavirus outside China - Reuters https://u.theedgemarkets.com/r/601700 ,2020-01-28 23:42:04
107,DEVELOPING: China Dismisses U.S. Help on Coronavirus https://thepoliticalinsider.com/developing-china-dismisses-u-s-help-on-coronavirus/ … via @TPInsidr,2020-01-28 23:36:28
108,"Let's have a nice recap shall we?

WW3
Niel Peart
Australia Fires
Corona Virus
Kobe

All in the first month of the New Year.",2020-01-28 23:35:20
109,If that coronavirus comes to UK it will 100% begin in Hull,2020-01-25 23:57:52
110,"Flight #MU749 to #Sydney emerges as key link in effort to contain #coronavirus - #ABC #News

Why was this flight allowed to even land here?? Knowing where it came from!! #auspolhttps://apple.news/AqNMpC6odTceNWGSo2mK-eg …",2020-01-25 23:53:21
111,"Flight MU749 to Sydney - coronavirus: ""We have asked the National Incident Room to pull the records for those people that were on the flight and we are getting the seat details,"" NSW chief medical officer said.
 https://www.abc.net.au/news/2020-01-26/australian-health-officials-race-to-trace-airline-passengers-wh/11901274 … via @ABCNews",2020-01-25 23:52:04
112,"Loooolll nah imagine going on the bus at rush hour, sneezing and being like sorry, Coronavirus  ffs you’ll deffo get a seat https://twitter.com/coronavcharts/status/1220895316897140738 …",2020-01-25 23:50:55
113,"BBC News - China coronavirus spread is accelerating, Xi Jinping warns
https://www.bbc.co.uk/news/world-asia-china-51249208 …",2020-01-25 23:48:03
114,B.C. Minister of Health Adrian Dix and Provincial Health Officer Dr. Bonnie Henry have this afternoon issued a joint statement about the first Canadian case of novel #coronavirus coronavirus https://www.e-know.ca/regions/east-kootenay/joint-statement-on-first-canadian-case-of-novel-coronavirus/ …pic.twitter.com/4bIXxAp7F5,2020-01-25 23:42:54
115,bet the coronavirus wouldn’t be a thing if jeremy corbyn was our prime minister,2020-01-25 23:34:20
116,"Coronavirus: first human-to-human transmission confirmed in US

https://f7td5.app.goo.gl/UPeXFa 

Sent via @updayUK",2020-01-30 23:47:57
117,#TBT - Who’s still claiming #Blackanese now the #Coronavirus is hittin?!  #ThrowBackThursday #ChrisTucker #JamesCarter #RushHour #RushHourMovie #Oldskool #ClassicComedy https://www.instagram.com/p/B79m41EhscQ/?igshid=1qdhb41d0by65 …,2020-01-30 23:42:04
118,"Build the wall.
Deport them all.

Also,
#nukechina to solve coronavirus
",2020-01-30 23:40:50
119,"Possible Case of Chinese Coronavirus Reaches Mexican Border State: Mexican President

https://www.theepochtimes.com/possible-case-of-chinese-coronavirus-reaches-mexican-border-state-mexican-president_3212720.html …",2020-01-22 23:16:40
120,"help I have coronavirus, I can't stop drinking shitty beer",2020-01-21 23:53:23
121,"840,275,265 Undernourished people in the world @nytimesworld #coronavirus
https://www.worldometers.info/ ",2020-01-21 23:48:42
122,"For everyone I've seen whining about how we don't need the CDC and/or should privatize it, I'd advise taking a look at the #coronavirus tag, and maybe rethinking your ideas.",2020-01-21 23:47:10
123,God I hope that they contain it.  Last thing the US needs is #Coronavirus.  https://twitter.com/CBCAlerts/status/1219594906856980480 …,2020-01-21 23:24:06
124,"Coronavirus: Cancel travel to China, say health officials https://bayareane.ws/37yWynJ pic.twitter.com/aM5fuvIxCs",2020-01-27 23:51:52
125,Maybe you should post some news about what we’re doing to address the coronavirus instead?,2020-01-27 23:34:34
126,"First case of Coronavirus confirmed in Germany 

https://www.deutschlandfunk.de/gesundheit-erster-coronavirus-fall-in-deutschland-bestaetigt.1939.de.html?drn:news_id=1095326 …",2020-01-27 23:28:54
127,"2 cases of the #coronavirus in the US , they need to shut down the airports in China and contain that shit over there , stop letting it spread to other countries .",2020-01-24 23:38:31
128,".Report: Ground Zero for Corona-Virus Is Also Home to 'Covert Biological Weapons' Lab, but No Link Established https://pjmedia.com/lifestyle/report-ground-zero-for-corona-virus-is-also-home-to-covert-biological-weapons-lab-but-no-link-established/ … #Culture via @pjmedia_com",2020-01-29 23:32:25
129,Update On Corona Virus!!!! I mean holy shite!!!! https://youtu.be/LKLbMG-g0Wo ,2020-01-26 23:59:41
130,"AFD Blog `CDC Statement On 3 Novel #Coronavirus Cases Reported Today (2 CA, 1 AZ)' https://afludiary.blogspot.com/2020/01/cdc-statement-on-3-novel-coronavirus.html …",2020-01-26 23:42:09
131,"UPDATE: A student at Texas A&M University does not have the 2019 novel coronavirus, Brazos County officials said Sunday. http://www.newswest9.com/article/news/health/possible-case-of-coronavirus-in-brazos-county-health-department-confirms/285-c0fb43c0-6c58-4011-bc1d-7ccfa329169f …",2020-01-26 23:18:33
132,Know more facts about Coronavirus http://bit.ly/2OvwXnW ,2020-02-07 23:57:45
133,The Brits in France caught #coronavirus from the Brighton guy. Bit close to me now.,2020-02-08 23:47:24
134,The novel #coronavirus has now killed more people than Sars https://www.reuters.com/article/us-china-health-hubei-idUSKBN2020SN …,2020-02-08 23:38:36
135,AFD Blog `NHC Reports 3694 New #Coronavirus Cases Over Past 24 Hours' https://afludiary.blogspot.com/2020/02/nhc-reports-3694-new-coronavirus-cases.html …,2020-02-05 23:54:35
136,leeds would have took over coronavirus,2020-02-09 23:51:22
137,AFD Blog `NHC Reports 2829 New #Coronavirus Cases Over Past 24 Hours' https://afludiary.blogspot.com/2020/02/nhc-reports-2829-new-coronavirus-cases.html …,2020-02-02 23:59:56
138,When you've had one Chinese Coronavirus you want another one later on,2020-02-02 23:48:21
139,"#Coronavirus 
Containment BREACHED: The nCoV coronavirus is out of control; mainstream health experts warn world to prepare for global spread – http://NaturalNews.com https://www.naturalnews.com/2020-02-06-containment-the-coronavirus-prepare-for-global-spread.html …",2020-02-06 23:58:25
140,Coronavirus isn’t playing any games.,2020-02-06 23:37:51
141,Another Case of Person to Person Transmission Coronavirus this in Califo... https://youtu.be/aD1sTLI5BkQ  via @YouTube,2020-02-03 23:51:22
142,The driver had coronavirus https://twitter.com/elguapo64/status/1228803919100301312 …,2020-02-15 23:55:47
143,AFD Blog `Harvard Gazette: Dr. Marc Lipsitch On The Novel #Coronavirus (COVID-19)' #COVID-19 https://afludiary.blogspot.com/2020/02/harvard-gazette-dr-marc-lipsitch-on.html …,2020-02-11 23:40:23
144,Whistleblower doctors say coronavirus reinfection even deadlier http://va.newsrepublic.net/s/dehcYM ,2020-02-19 23:30:01
145,"Sounds legit, #WuhanCoronavius #WuhanOutbreak #WuhanLockDown #coronavirus #COVID_2019
#COVID19製造機
#COrVID19https://twitter.com/IamMsFF/status/1226887581805109249 …",2020-02-19 23:25:54
146,"China's Hubei reports 349 new coronavirus cases, lowest since Jan 25 - Reuters https://u.theedgemarkets.com/r/604820 ",2020-02-19 23:14:04
147,44 Americans On The Diamond Princess Cruise Ship Diagnosed With #Coronavirus http://ow.ly/b98g30qic2K  #WuhanVirus,2020-02-16 23:30:07
148,"Stop recycling out of date scary news headlines on #coronavirus #NCOV19 
One wonders about your state of mind to be so enjoying circulating this old or fake news out? 
Check your facts, it’s not a game.
#weirdos",2020-02-16 23:28:48
149,Commodities: Oil rises over 3% as demand worries ease amid fewer new coronavirus cases - Reuters https://u.theedgemarkets.com/r/603794 ,2020-02-12 23:56:04
150,"“A Chinese film director, his sister, mother and father have all died from the coronavirus” https://gu.com/p/dacmm/stw ",2020-02-18 23:58:56
151,"Tom Cotton is playing a dangerous game with his coronavirus speculation
https://www.cnn.com/2020/02/18/politics/tom-cotton-coronavirus/index.html … @HouseDemocrats @HouseGOP @GOP @SenateGOP @SenateDems It's good to research& seek facts, question foreign governments when it comes to pathogens like coronavirus. Don't scare Americans",2020-02-18 23:44:09
152,"I realised during the show tonight that actually, it’s you who is promoting the spread of coronavirus. Please rethink ur logo pic.twitter.com/IndG9fCP5Y",2020-02-14 23:59:25
153,"I wonder why the Democrat Presidential candidates dont mention that they want open borders any more. Is it the corona virus or is it because 75% of the US population wants secured borders 
Has everyone forgotten Barbra Jordan?
https://www.c-span.org/video/?c4555772/user-clip-barbara-jordans-immigration-speech …",2020-02-14 23:55:40
154,Coronavirus don enter Africa. Chai make I go my village ,2020-02-14 23:52:55
155,News: Coronavirus Update http://www.tinyurl.com/wz55sbb ,2020-02-14 23:48:12
156,BBC News - Coronavirus: UK conference attendees warned over case https://www.bbc.co.uk/news/uk-51503292 …,2020-02-14 23:40:19
157,BBC News - Coronavirus: Beijing orders 14-day quarantine for returnees https://www.bbc.co.uk/news/world-asia-china-51509248 …,2020-02-14 23:39:52
158,"Apple warns coronavirus will cut into iPhone production, sales https://bayareane.ws/3bEvfuu pic.twitter.com/G3MVus8hma",2020-02-17 23:24:37
159,"If coronavirus spreads within the US, here's how daily life might change #SmartNewshttps://www.cnn.com/2020/02/27/health/coronavirus-community-spread-us-response-explainer/index.html …",2020-02-28 23:56:07
160,"Anyone but Bloomberg. 

They think that people are idiots. 
#Bloomberg = #coronavirus",2020-02-21 23:57:23
161,"The Centers for Disease Control and Prevention announced in a news conference Friday that it is preparing to further contain the spread of the coronavirus, or COVID-19, in the United States. https://www.newswest9.com/article/news/health/cdc-announces-new-plan-to-handle-further-spread-of-coronavirus-in-us/273-ff3f7d5e-2c4d-4883-8430-5ad3e24ffcbd …",2020-02-22 23:30:00
