,Tweets,Date
0,follow me on Facebook and come hang out! http://www.facebook.com/cwademusic #show #coronavirus #covers #original #music #musician #followme #guitarist #guitarplayer,2020-04-29 23:52:55+00:00
1,.@Judge_wolff and @Ron_Nirenberg have been wannabe tyrants through all of this. They're now extending the stay at home order for San Antonio and Bexar county to May 19th. Why? Because they are pushing back against @GovAbbott. Next election? Vote them out! #coronavirus,2020-04-29 23:34:27+00:00
2,"Please RT! Both me/my husband work 2 jobs. With coronavirus, we have lost this additional income. I could really use help getting ready for the fall! After this trauma, I'm hoping to start it off great! #amazonwishlist #clearthelists #support_a_teacher https://www.amazon.com/hz/wishlist/ls/TAR4VESI6I65?ref_=wl_share",2020-04-29 23:33:09+00:00
3,I Got Divorced on a Conference Call Because of Coronavirus - Yahoo Lifestyle http://dlvr.it/RVjpcS,2020-04-29 23:32:33+00:00
4,"Please RT! Both me/my husband work 2 jobs. With coronavirus, we have lost this additional income. I could really use help getting ready for the fall! After this trauma, I'm hoping to start it off great! #amazonwishlist #clearthelists #support_a_teacher https://www.amazon.com/hz/wishlist/ls/TAR4VESI6I65?ref_=wl_share",2020-04-29 23:33:09+00:00
5,"Starting soon! Have questions for our team, Robert Rivard, the Mayor, or the Judge? Want to hear more about the survey, SA’s Coronavirus response, etc? Comment below! ",2020-04-29 23:19:33+00:00
6,Welp!!! #Sydney #Australia #COVID19 #coronavirus #travel,2020-04-29 23:16:58+00:00
7,The race for coronavirus vaccines: a graphical guide ,2020-04-29 23:13:33+00:00
8,"Latest batches. Just need elastic. I got 3 more batches to make. Yes, I am selling. #makingmask #makingmasks #masks #maskmaking #maskprotection #coronavirus #covid19 #coronavirusmask #sewing #sewlikethewind… https://www.instagram.com/p/B_lQ0Mpjqla/?igshid=1lc8gcshevswk",2020-04-29 22:52:58+00:00
9,The city says 44% of residents that tested positive for coronavirus have recovered but Metro Health doesn't require a follow-up test before they consider them healed. So how do we know if the virus is *really* out of someone's system? Metro Health doesn't even know. @KENS5,2020-04-29 22:40:43+00:00
10,"Will a pneumonia shot prevent coronavirus? No. That and other questions addressed by the EN's answerman, @JohnMacCormack |",2020-04-29 22:27:32+00:00
11,"Oh my God, this pisses me off. As a movie thearter employee and a fan of Halloween, I could understand where the company is coming from. If alot of people show up to theater, someone is going to get sick.#HalloweenKills #coronavirus ",2020-04-29 22:21:43+00:00
12,BBC News - Coronavirus: India to loosen lockdown despite record cases ,2020-05-30 23:51:45+00:00
13,"Meanwhile...amid the protest, mayor @Ron_Nirenberg giving his daily coronavirus briefing. Big jump in overall confirmed cases. Total of 2,825 (189 new cases), HOWEVER, the mayor attributes that to a back log of tests from mid May. Good news...hospitalizations went down a bit ",2020-05-30 23:17:24+00:00
14,"Coronavirus live updates: Merkel declines Trump’s invitation to G-7 summit in Washington, citing pandemic - The Washington Post ",2020-05-30 23:11:18+00:00
15,"#Coronavirus A #Belgian prince has contracted coronavirus after attending a party during #lockdown in #Spain, the country's royal palace says. #LockdownHouseParty #PrinceJoachim, 28, travelled from #Belgium to #Spain for an internship on 26 May, the palace said. Source: BBC",2020-05-30 23:10:02+00:00
16,Coronavirus wave 2 coming in from all the people protesting.,2020-05-30 22:44:39+00:00
17,"Coronavirus May Be a Blood Vessel Disease, Which Explains Everything by @SmithDanaG in @elemental",2020-05-30 23:53:56+00:00
18,Ensuring Biodiversity Now will Prevent Pandemics Later https://bit.ly/2ZT1fYA #Biodiversity #pandemics #COVID19Pandemic #Coronavirus ,2020-05-30 20:11:55+00:00
19,Coronavirus a has been the TOP excuse to bail on plans. #2020,2020-05-30 19:40:55+00:00
20,What Actually Happens If You Get Coronavirus? ,2020-01-30 23:57:57+00:00
21,“I have CoronaVirus”,2020-01-30 23:32:36+00:00
22,You got coronavirus,2020-01-30 23:09:02+00:00
23,Google launches 'SOS Alert' with WHO in response to the coronavirus http://bit.ly/31dqSSj,2020-01-30 23:08:21+00:00
24,same energy #coronavirus ,2020-01-30 23:06:49+00:00
25,The Coronavirus Is Now Infecting People Who Haven't Traveled to China | WIRED ,2020-01-30 22:57:25+00:00
26,Coronavirus knows better than to mess with @kaskade,2020-01-30 22:33:48+00:00
27,"The fact that this is even a remote belief (covid19 having anything to do w/ Corona beer) is a frightful example of public rampant ignorance. Our education system has failed, or is incredibly lacking. Folks need to read something other than rag mags. Non-fiction books, perhaps.",2020-02-28 19:49:02+00:00
28,"Observation: Kids naming their #hardcore #punk band #Coronavirus will sound campy and fun with psych and surf influenced sounds like Dead Kennedys, kids choosing #COVID19 will have an angrier snottier Regan Youth sound.",2020-02-28 14:52:32+00:00
29,"Novel #coronavirus (2019-nCoV) outbreak in China, no clear evidence of human to human transmission so far. https://twitter.com/WHO/status/1216393218625064968 …",2020-01-12 17:28:47
30,"""Japan Confirms First Case of New Chinese Coronavirus"" by BY SUI-LEE WEE via NYT https://ift.tt/36TRPfU ",2020-01-16 08:47:11
31,Im Gucci the coronavirus won’t effect me I only drink Modelo ,2020-01-23 23:46:25
32,I can’t get the coronavirus I only drink modelo,2020-01-23 23:45:27
33,Coronavirus by Lebouche ,2020-01-23 23:31:32
34,Psshh basic ass people getting that coronavirus. We all know da dosequivirus is where it’s at,2020-01-23 23:28:46
35,Can I put “ surviving coronavirus “ on my resume ??,2020-01-23 23:15:00
36,What Actually Happens If You Get Coronavirus? https://www.youtube.com/watch?v=OTYfke545vI …,2020-01-30 23:57:57
37,"The Wuhan Coronavirus:  What is it, how is it spread, what are the symptoms,and  whatever else you should know... sounds a lot like the flu to me!

CHECK IT OUT! and be in the know! https://www.cnn.com/2020/01/20/health/what-is-coronavirus-explained/index.html …",2020-01-21 23:26:41
38,Someone pls explain to San Antonio that the coronavirus is not the same thing as the modelovirus,2020-01-24 23:32:35
39,"Health officials: ⁦@Baylor⁩ University student being tested for possible case of #coronavirus
https://www.ksat.com/news/local/2020/01/24/health-officials-baylor-university-student-being-tested-for-possible-case-of-coronavirus/ …",2020-01-24 23:22:46
40,A competent POTUS would have done that as soon as even 1 case of coronavirus was confirmed in the US. Emphasis on competent. https://twitter.com/ABC/status/1221496723832496129 …,2020-01-26 23:30:33
41,"scp-049 >w> (although i want to draw a slime scp and lewd coronavirus too) 
#scp #scp049 #scpfoundation #plaguedoctorpic.twitter.com/oIuUsQ5L65",2020-02-07 23:50:43
42,American Dies From Coronavirus in Wuhan https://www.weather.com/health/cold-flu/news/2020-02-08-american-dies-from-coronavirus-in-wuhan-china …pic.twitter.com/3INKKVRE6E,2020-02-08 23:42:26
43,WHO Director-General Tweets: We are mobilizing the UN http://disq.us/t/3lzjvwp  #coronavirus #2019nCoV #kungflu,2020-02-09 23:58:56
44,The coronavirus is a population control stunt. They are spreading it on purpose. #wakeup #modern #day #plague,2020-02-01 23:57:49
45,"MSM Suppresses Coronavirus: ""UNCANNY Similarity to HIV?!?"" https://youtu.be/w0ahdrYFe9Q  via @YouTube",2020-02-01 23:45:41
46,i dont speak coronavirus,2020-02-06 23:37:01
47,"U.S. announces more coronavirus cases, details quarantine plans for... https://reut.rs/2RU6Mth  #coronavirus #2019nCoV #kungflu",2020-02-03 23:47:17
48,Are You Prepared To Shelter-In-Place Today? Imagine Turning On The News To Learn Coronavirus Had Arrived In Your City! Getting Ready For The Worst Case Scenario http://allnewspipeline.com/Shelter_In_Place_Coronavirus.php#.XjivuoZ5-W0.twitter … #coronavirus #2019nCoV #kungflu,2020-02-03 23:42:15
49,View From China: Coronavirus is Biowar! (Kevin Barrett Interviews Jeff Brown) https://www.veteranstoday.com/2020/02/19/jeff-brown-biowar/ … via @veteranstoday,2020-02-19 23:35:34
50,"#coronavirus Rep. Chip Roy sent a letter yesterday to Sectys. Azar + Esper asking 11 questions including why JBSA was chosen as a quarantine site; the reasoning on sending  Diamond Princess evacuees ""carrying the virus"" here + details of the testing/monitoring process. Good!",2020-02-19 23:23:10
51,Epeople are going to invade us all and take over the coronavirus,2020-02-12 23:44:38
52,#coronavirus Now we're hearing that Diamond Princess passengers will be barred from the USA until ok for 14 days. Finally the CDC is understanding what real quarantine means. But they flew many of the highest risk people right into San Antonio.,2020-02-18 23:43:50
53,Bexar County Judge Nelson Wolff asks for quarantined people to be tested for coronavirus at JBSA-Lackland rather than local hospitals http://www.kens5.com/article/news/bexar-county-judge-nelson-wolff-asks-for-quarantined-people-to-be-tested-for-coronavirus-at-jbsa-lackland-rather-than-local-hospitals/273-f5d64975-3367-4b90-8212-56df33b15dea … via @KENS5,2020-02-18 23:23:54
54,Let me hear your “yeeee” then we’ll talk coronavirus https://twitter.com/DamianCasiano1/status/1228016100488753153 …,2020-02-14 23:33:20
55,China vows to house all coronavirus patients. Treatment isn’t guaranteed - Inkstone https://www.inkstonenews.com/health/patients-complain-grim-conditions-wuhans-quarantine-centers/article/3050291 …,2020-02-13 23:53:49
56,Apple says coronavirus is screwing up iPhone sales http://bit.ly/38CtvjC pic.twitter.com/QJZ1dddOvJ,2020-02-17 23:39:26
57,More than sure Neriyah drew the coronavirus.... pic.twitter.com/su63ESmBW6,2020-02-17 23:35:43
58,you’re coming back with Coronavirus,2020-02-24 23:44:27
