,Tweets,Date
0,"""'No doubt in my mind #Hydroxychloriquine is very effective' against COVID-19: Palmer"" ""Australian billionaire says he bought 32 million doses of HCQ to combat coronavirus because he 'didn't want to see our nation destroyed in the longer term'."" ",2020-04-29 23:48:23+00:00
1,"""I Just Came Home to Sweden. I’m Horrified by the Coronavirus Response Here."" - Slate ",2020-04-29 23:42:30+00:00
2,Live: How does a logistics company deliver during #COVID19 pandemic? #coronavirus ,2020-04-29 23:39:58+00:00
3,BBC News - Remdesivir: Drug has 'clear cut' power to fight coronavirus ,2020-04-29 23:38:32+00:00
4,No small feat. #Coronavirus #TinyKindness,2020-04-29 22:58:22+00:00
5,"#US #GDP contracted 4.8% in Q1 due to economic disruption caused by the global coronavirus pandemic. Economists predict 28% quarter-on-quarter contraction for Q2, and economic recovery might take two or three years. https://bit.ly/2yb6yqz",2020-04-29 22:40:03+00:00
6,"Well, a Class-5 CoronaVirus was coming towards the USA and experts alerts the POTUS and it is not his fault that the virus was on the way but it is his fault if he doesn't do things to protect the nation or doesn't do things afterwards, right?",2020-04-29 22:16:39+00:00
7,I’m anticipating Republicans to be blamed if there’s a sharp increase in coronavirus cases in Democrat-led cities hosting protests and riots.,2020-05-30 22:07:00+00:00
8,#BREAKING: Global #coronavirus cases surpass 6 MILLION: Johns Hopkins University tally ,2020-05-30 21:17:27+00:00
9,Coronavirus aid corridor from China to Spain closing down - https://www.shanghaibeat.com/coronavirus-aid-corridor-from-china-to-spain-closing-down-2/ #Shanghai #China #上海,2020-05-30 19:56:02+00:00
10,"Separately, a Chicago man became the first case of human-to-human transmission in the U.S., after his wife returned from Wuhan with coronavirus-related symptoms. ""It is clear that this virus is highly transmittable."" ",2020-01-30 23:53:50+00:00
11,"#Updates: till 7:30 am 31 January Beijing time , in total 9099 cases of novel #coronavirus in China, 12167 suspected cases and 168 discharged from hospitals and 213 deaths.. ",2020-01-30 23:43:48+00:00
12,The Japan times : Coronavirus a disease of Chinese autocracy ,2020-01-30 23:41:34+00:00
13,Virgin Atlantic has suspended flights to and from #shanghai. #coronavirus ,2020-01-30 23:40:35+00:00
14,What do we know about the new coronavirus? ,2020-01-30 23:27:05+00:00
15,Coronavirus: What it does to the body: Chinese doctors detail the impact the new coronavirus has on patients. http://dlvr.it/RP4rbh,2020-01-30 23:24:03+00:00
16,"Wuhan airport has become a vital link in China's fight against the novel #coronavirus. A total of 155 aircraft took off from the Wuhan Tianhe International Airport, sending 4,895 medical personnel and 268.2 tons of aid materials to regions in Hubei province. ",2020-01-30 23:20:01+00:00
17,"""We have a database of everyone who has been in #China since December and we are trying to track them down to see how they are doing"" - looking at the responses to date to #coronavirus in different #African countries such as #Mauritius &amp; #Liberia",2020-01-30 23:16:22+00:00
18,Please help sign this petition. It's for precautionary measures to avoid the spread of the coronavirus. This is a large scale festival and Baguio City is a big tourist destination. The Ph has now confirmed a case of the ncov. We can't let our guard down. ,2020-01-30 23:11:27+00:00
19," #LastMinute There have been 7711 confirmed cases, 7626 in China and 85 cases in 18 countries. #coronaravirus #2019nCoV 07:09 (Real-time) Friday, January 31, 2020 Wuhan, Hubei, China ",2020-01-30 23:09:17+00:00
20,"Insightful perspective on the corona virus and health care in China in general: “Death is an infinite gravitational well, bending time and space in its proximity. Nothing unites or divides us like the idea of loss.” ",2020-01-30 22:52:24+00:00
21,"Looking at the current statistics of coronavirus, streets ain’t safe!! Nevertheless am going back to China to fight for my degree! This is my year!! OLUWA SEE US THROUGH! EXAMS WERE HARD ",2020-01-30 22:44:32+00:00
22,Good morning Beijing. Wuhan's coronavirus is now officially a public health emergency of international concern. @Brabbott42 @airhen,2020-01-30 22:32:33+00:00
23,Tackling the 2019-nCoV coronavirus – what the experts are doing #CoronavirusOutbreak #coronarvirus #coronavirusindia https://bit.ly/37JSGQW,2020-01-30 22:07:33+00:00
24,"Canadians in #China who need consular assistance regarding the novel #coronavirus, call collect +1 613 996 8885 or contact us at sos@international.gc.ca. #2019nCoV",2020-01-30 21:52:25+00:00
25,#Updated UK health officials confirmed the country’s first domestic #coronavirus case on Friday. #COVID19 ,2020-02-28 23:30:52+00:00
26,"How Disease X, the epidemic-in-waiting, erupted in China via @SCMPgraphics https://sc.mp/coronavirus #COVID19 #coronavirus #wuhan",2020-02-28 23:17:18+00:00
27,"A total of 25.7 billion yuan (3.68 billion U.S. dollars) of charitable donations across #China for #coronavirus epidemic prevention and control had been received by end of Feb.26, according to the China Charity Alliance on Friday #COVID19 ",2020-02-28 22:05:00+00:00
28,"A vlogger documented a day’s work of buying and delivering supplies for villagers under lockdown in rural areas of Huanggang, a city located 75 kilometers from the #COVID19 outbreak’s epicenter of Wuhan. ",2020-02-28 22:00:00+00:00
29,"How the Coronavirus is Impacting China Businesses. An Interview with Arie Schreier from PTL Group China, by James Eron from Kung Fu Data. https://lnkd.in/dzzdn8x #ptlgroup #china #coronavirusoutbreak #covid19",2020-02-28 21:07:22+00:00
30,"As Wuhan grapples the #COVID19 outbreak, residents, doctors, and experts have organized counseling and support groups online. He Huijuan, a social worker, details her work providing assistance and counseling to people living in quarantine. ",2020-02-28 20:01:19+00:00
31,"#China will do what it can to provide assistance to #SouthKorea and #Iran in fighting the novel #coronavirus as #COVID19 continues to spread overseas, Foreign Ministry said Friday ",2020-02-28 19:03:00+00:00
32,"Migrant workers board the chartered train from Nehe to Zhuanghe on Friday, maintaining more than 1 meter of distance between them. #BackToWork #COVID19 ",2020-02-28 19:00:23+00:00
33,"Lately, I have gotten a lot of questions on how #COVID19 has affected China’s crypto industry. Luckily, crypto is one of the least impacted industries because it's entirely digital and can be done remotely. Here are some of my observations:",2020-02-28 18:33:01+00:00
34,"#Opinion: In times of misfortune a good neighbor is a blessing. By upholding their pledges to stand together, the three neighbors can make their troubles less. #COVID19 #Japan #SouthKorea",2020-02-28 18:30:00+00:00
35,"Vaccines may not be the only option to cure #COVID19, says geneticist Zhang Dexing. DNA sequencing is essential to first identify and diagnose a widespread epidemic, and efforts should be made to inspect patients without symptoms, he adds. http://bit.ly/2Th74d6",2020-02-28 18:30:00+00:00
36,"The staff members of a designated pharmacy for medicines against chronic serious diseases often have to work from early morning to late night to meet the demand, dispensing an average of 1,000 orders comprising 30,000 packs of medicines each staff member per day. #COVID19 ",2020-02-28 17:30:11+00:00
37,"US CDC officials have warned of the possibility of a community spread in the US. Under such circumstance, experts called on the US to be more transparent in epidemic related information and more cooperative with the international community. http://bit.ly/32xV2k2 #COVID19 ",2020-02-28 17:20:04+00:00
38,Mexican authorities have confirmed this Friday (February 28) the first case of coronavirus in Mexico. He is a 35-year-old man who was recently in Italy and is now in Mexico City. #Coronavirusmexico #coronavirus #COVID19 #Pandemia,2020-02-28 15:47:25+00:00
39,A team of Chinese experts are now on their way to Iran. #COVID19 is enemy of all. We must fight together. Nothing could defeat the Iranian people! @IRIMFA @IRIMFA_EN @SAMOUSAVI9 @IraninChina,2020-02-28 15:35:33+00:00
40,Exclusive: A source who prefers not to be named confirmed with the Global Times on Friday that China is sending a medical expert team from Shanghai to #Iran to help the country fight the epidemic. #COVID19 ,2020-02-28 14:49:27+00:00
41,Chinese doctors do remote #COVID19 diagnosis with #5G,2020-02-28 14:35:51+00:00
