,Tweets,Date
0,"""Navajo Nation Continues Weekend Lockdown Due to Coronavirus"" by The Associated Press via NYT https://www.nytimes.com/aponline/2020/04/29/us/ap-us-virus-outbreak-navajo-nation.html?partner=IFTTT",2020-04-29 23:25:29+00:00
1,"Trump's penchant for lying angers me CNBC: Coronavirus testing chief says 'no way on Earth' US can test 5 million a day, despite what Trump says. https://www.cnbc.com/2020/04/29/coronavirus-testing-chief-says-no-way-on-earth-us-can-test-5-million-a-day.html via @GoogleNews",2020-04-29 23:19:38+00:00
2,Coronavirus: Medical cannabis access eased amid lockdown #MedicalMarijuana #CannabisCommunity #UnitedKingdom,2020-04-29 23:17:00+00:00
3,Gov. Jared Polis on Wednesday outlined how Colorado will ramp up its coronavirus testing as the state transitions away from a rigid stay-at-home order ,2020-04-29 23:16:32+00:00
4,Keep track of the Coronavirus numbers - ,2020-04-29 23:15:04+00:00
5,"#MassMurderer #realDonaldTrump's Coronavirus FAILURE is deadlier than any flu since 1967 as American Deaths top 60,000 @SenCoryGardner and @RepDLamborn say The #GOP State will never provide Affordable Healthcare For Americans or a Universal Basic Income",2020-04-29 23:11:13+00:00
6,"Trump Forces Media To Watch Their Own Coronavirus Failures, Video Broadcast to Nation ",2020-04-29 23:10:54+00:00
7,Big commercial labs given priority for coronavirus testing equipment by feds https://www.cnn.com/2020/04/28/politics/testing-coronavirus-hospitals-commercial-labs-invs/index.html,2020-04-29 23:09:07+00:00
8,"I can’t believe this needs to be said, but when you’re in public, the mask goes OVER your mouth AND nose. When you’re in the car or in private, do as you like. #coronavirus",2020-04-29 23:05:16+00:00
9,"COVID-19: Massachusetts Governor Extends Non-Essential Business Closures to May 18, 2020 http://ow.ly/joER30qBRsa @PierceAtwoodLLP #Coronavirus #PublicHealth",2020-04-29 23:05:08+00:00
10,How four Colorado companies answered the call to make coronavirus supplies for health care workers https://coloradosun.com/2020/04/29/the-coronavirus-crisis-drained-supplies-of-masks-and-shields-how-4-colorado-companies-an,2020-04-29 23:03:52+00:00
11,As many as two in five Americans report concerns about experiencing increased anxiety in the wake of coronavirus. 68% of people feel like everything is out of their control. 38% of Americans report feeling optimistic about the country's recovery. https://bit.ly/2zwrQ2e,2020-04-29 23:00:18+00:00
12,"#Coronavirus cases climb in #Fresno, amid debate over whether to reopen more businesses",2020-04-29 22:57:55+00:00
13,#coronavirus situation has exposed our hearts. Complaining is a natural response. Listen to today’s podcast ,2020-04-29 22:53:39+00:00
