,Tweets,Date
0,"“Eventually, doctors will find a coronavirus vaccine, but black people will continue to wait, despite the futility of hope, for a cure for racism. We will live with the knowledge that a hashtag is not a vaccine for white supremacy.” via ⁦@rgay⁩",2020-05-30 20:32:12+00:00
1,Texas Officials Investigating Suspected Case of Coronavirus http://cubanreporter.net/texas-officials-investigating-suspected-case-of-coronavirus/ …pic.twitter.com/I0y35K7Dw8,2020-01-23 23:37:31
2,Possible Case of Chinese Coronavirus Reaches Mexican Border State: Mexican President http://cubanreporter.net/possible-case-of-chinese-coronavirus-reaches-mexican-border-state-mexican-president-3/ …pic.twitter.com/pGlnCsb0x0,2020-01-23 23:19:41
3,Brazil Reports Suspected Case of Coronavirus http://cubanreporter.net/brazil-reports-suspected-case-of-coronavirus-3/ …pic.twitter.com/nHuBg1ejdH,2020-01-23 23:19:40
4,Mexico Probing Three New Possible Cases of Coronavirus After Ruling Two Others Out http://cubanreporter.net/mexico-probing-three-new-possible-cases-of-coronavirus-after-ruling-two-others-out/ …pic.twitter.com/DlSvkRV5mr,2020-01-23 23:18:16
5,Possible Case of Chinese Coronavirus Reaches Mexican Border State: Mexican President https://cubanreporter.net/possible-case-of-chinese-coronavirus-reaches-mexican-border-state-mexican-president-7/ …pic.twitter.com/Mll7jDvMyh,2020-01-25 23:39:54
6,Brazil Reports Suspected Case of Coronavirus https://cubanreporter.net/brazil-reports-suspected-case-of-coronavirus-7/ …pic.twitter.com/31pJ50xZCx,2020-01-25 23:39:53
7,Mexico Probing Three New Possible Cases of Coronavirus After Ruling Two Others Out https://cubanreporter.net/mexico-probing-three-new-possible-cases-of-coronavirus-after-ruling-two-others-out-5/ …pic.twitter.com/q2E2zZHRMM,2020-01-25 23:38:46
8,Possible Case of Chinese Coronavirus Reaches Mexican Border State: Mexican President http://cubanreporter.net/possible-case-of-chinese-coronavirus-reaches-mexican-border-state-mexican-president/ …pic.twitter.com/lZA9X2MFr6,2020-01-22 23:08:11
9,Brazil Reports Suspected Case of Coronavirus http://cubanreporter.net/brazil-reports-suspected-case-of-coronavirus/ …pic.twitter.com/vfBzFAQmZB,2020-01-22 23:08:11
10,Brazil Reports Suspected Case of Coronavirus https://cubanreporter.net/brazil-reports-suspected-case-of-coronavirus-11/ …pic.twitter.com/OfoIqmXIBb,2020-01-27 23:59:47
11,Mexico Probing Three New Possible Cases of Coronavirus After Ruling Two Others Out https://cubanreporter.net/mexico-probing-three-new-possible-cases-of-coronavirus-after-ruling-two-others-out-9/ …pic.twitter.com/4P9U5qny2b,2020-01-27 23:59:47
12,"Coronavirus Could Infect 250,000 in Wuhan in Next 11 Days, Researchers Say http://cubanreporter.net/coronavirus-could-infect-250000-in-wuhan-in-next-11-days-researchers-say/ …pic.twitter.com/NALaetdIZS",2020-01-24 23:37:04
13,Possible Case of Chinese Coronavirus Reaches Mexican Border State: Mexican President http://cubanreporter.net/possible-case-of-chinese-coronavirus-reaches-mexican-border-state-mexican-president-5/ …pic.twitter.com/7X33W35KZM,2020-01-24 23:30:39
14,Brazil Reports Suspected Case of Coronavirus http://cubanreporter.net/brazil-reports-suspected-case-of-coronavirus-5/ …pic.twitter.com/IhVSNEFl1g,2020-01-24 23:29:38
15,Mexico Probing Three New Possible Cases of Coronavirus After Ruling Two Others Out http://cubanreporter.net/mexico-probing-three-new-possible-cases-of-coronavirus-after-ruling-two-others-out-3/ …pic.twitter.com/cC0qJdb483,2020-01-24 23:28:40
16,Possible Case of Chinese Coronavirus Reaches Mexican Border State: Mexican President http://cubanreporter.net/possible-case-of-chinese-coronavirus-reaches-mexican-border-state-mexican-president-9/ …pic.twitter.com/xtOLGbGZfN,2020-01-26 23:49:47
17,Brazil Reports Suspected Case of Coronavirus http://cubanreporter.net/brazil-reports-suspected-case-of-coronavirus-9/ …pic.twitter.com/YvkEoXf22O,2020-01-26 23:49:47
18,Mexico Probing Three New Possible Cases of Coronavirus After Ruling Two Others Out http://cubanreporter.net/mexico-probing-three-new-possible-cases-of-coronavirus-after-ruling-two-others-out-7/ …pic.twitter.com/H7UNkVBfQx,2020-01-26 23:48:22
19,Gretell es una de los  estudiantes #cubanos  que se encuentran en #China  en medio de la pandemia de #coronavirus (2019-nCoV). Por @ClaudiaDRebeldehttp://www.radiorebelde.cu/noticia/gretell-china-20200205/ …,2020-02-05 23:53:20
20,Radio Havana Cuba | Russia sends plane with help to China to fight coronavirus: http://www.radiohc.cu/en/noticias/internacionales/214018-russia-sends-plane-with-help-to-china-to-fight-coronavirus …,2020-02-09 23:42:06
21,Mexico Confirms 2 Cases of New Coronavirus https://cubanreporter.net/mexico-confirms-2-cases-of-new-coronavirus-2/ …pic.twitter.com/IcqEYCzFFt,2020-02-28 23:57:29
22,RT @escambraytoday: Foreign media acknowledges #Cuba's efforts on the fight against the #NovelCoronavirus and #COVID19 https://t.co/EjegACm…,Sat Jun 13 10:48:32 +0000 2020
23,RT @escambraytoday: Foreign media acknowledges #Cuba's efforts on the fight against the #NovelCoronavirus and #COVID19 https://t.co/EjegACm…,Sat Jun 13 10:48:32 +0000 2020
24,"RT @NeceTexas: Again, half the deaths today were nursing home residents. @GovMLG seems proud to broadcast this. She failed to protect these…",Sat Jun 13 12:47:19 +0000 2020
25,"#June13 #COVID19 #Cuba
5 new cases. (Total: 2238)
229 still active. (10,23%)
5 of them seriously ill
No deceased in… https://t.co/r3ISnG8FXR",Sat Jun 13 13:14:54 +0000 2020
26,RT @globaltimesnews: #Beijing has called for heightened inspection of inbound cargo planes and their cargo after the city reported six new…,Sat Jun 13 13:27:01 +0000 2020
27,"RT @GuamaRadio: #June13 #COVID19 #Cuba
5 new cases. (Total: 2238)
229 still active. (10,23%)
5 of them seriously ill
No deceased in the las…",Sat Jun 13 13:27:48 +0000 2020
28,RT @ana_alicia_m3: @DiazCanelB President @DiazCanelB and Prime Minister @MMarreroCruz appeared on Cuban television last night to explain de…,Sat Jun 13 13:44:38 +0000 2020
29,"RT @SecySanjay: Responding to your requests, further relaxations extended to foreign nationals/#OCIs who are minors, spouses, students, dep…",Sat Jun 13 10:01:47 +0000 2020
30,RT @EmbaCuIndonesia: #Cuba is planning to welcome tourists with #COVID19 tests and limit their contact with locals as part of a raft of mea…,Sat Jun 13 14:15:29 +0000 2020
31,RT @JWatch: The Latest in #COVID19 News from @Physns1stWatch: Week Ending June 13 https://t.co/5cdXZG1F92 https://t.co/z6G7hrVK7e,Sat Jun 13 14:17:39 +0000 2020
32,Washington State Nursing Home on Lockdown After Coronavirus Cases Confirmed http://cubanreporter.net/washington-state-nursing-home-on-lockdown-after-coronavirus-cases-confirmed/ …pic.twitter.com/LCbKOz9SwB,2020-03-01 23:57:36
33,British Airways pilots to face 50% pay cut over coronavirus: FT https://cubanreporter.net/british-airways-pilots-to-face-50-pay-cut-over-coronavirus-ft/ …pic.twitter.com/jZt9OSbi41,2020-03-19 23:57:26
34,"I agree with @realDonaldTrump
, #coronavirus is a hidden enemy. Best way to find out? Just look at the Democrats reactions to every single actions our great President and Vice President's China's COVID-19 Virus Task Force have done. The @TheDemocrats will soon seized to exist.",2020-03-17 23:57:49
35,Two more #coronavirus cases confirmed in #Cuba bringing total tally up to seven in the island of 11 millionhttps://twitter.com/StampaEmbaCuba/status/1240061053029007361 …,2020-03-17 23:57:44
36,Chile Closes Borders over Spread of New Coronavirus https://ift.tt/2ITyNMs ,2020-03-16 23:59:05
37,British Airways pilots to face 50% pay cut over coronavirus: FT https://cubanreporter.net/british-airways-pilots-to-face-50-pay-cut-over-coronavirus-ft/ …pic.twitter.com/jZt9OSbi41,2020-03-19 23:57:26
38,Chile Closes Borders over Spread of New Coronavirus https://ift.tt/2ITyNMs ,2020-03-16 23:59:05
39,"I agree with @realDonaldTrump
, #coronavirus is a hidden enemy. Best way to find out? Just look at the Democrats reactions to every single actions our great President and Vice President's China's COVID-19 Virus Task Force have done. The @TheDemocrats will soon seized to exist.",2020-03-17 23:57:49
40,Two more #coronavirus cases confirmed in #Cuba bringing total tally up to seven in the island of 11 millionhttps://twitter.com/StampaEmbaCuba/status/1240061053029007361 …,2020-03-17 23:57:44
