,Tweets,Date
0,#SaudiArabia to initiate national screening of the whole population at their homes for #coronavirus ,2020-04-29 23:16:15+00:00
1,Vermont records zero new coronavirus cases for first time in nearly 7 weeks ,2020-04-29 23:03:48+00:00
2,Remdesivir....the new vaccine for coronavirus.... ,2020-04-29 22:41:09+00:00
3,Remdesivir....the new vaccine for coronavirus.... ,2020-04-29 22:41:09+00:00
4,Tonj ku Jala Gogrial are the projects of the so called Coronavirus of RMTD and his team Yesterday was Tonj and today Gogrial Did Someone come back to Juba because of Warrap State? Sir you wont receive any vote again ask Former President Bashir,2020-04-29 22:34:53+00:00
5,"Sisi, African Leaders Hold Video Summit Over Coronavirus #SEENews #Egypt #Sisi @AlsisiOfficial",2020-04-29 22:31:02+00:00
6,"Tunisian minister warns against 2nd wave of #coronavirus outbreak. Lobna Jribi, Tunisian Minister in charge of major national projects, announced that nationwide #COVID19 lockdown will be phased out starting May 4. #COVIDー19 #Tunisia #Covid_19",2020-04-29 22:29:50+00:00
7,A penguins from the Kansas City Zoo recently paid a visit to the nearby Nelson-Atkins Museum of Art https://www.insider.com/penguins-visit-art-museum-for-the-day-2020-5?utmSource=twitter&amp;utmContent=referral&amp;utmTerm=topbar&amp;referrer=twitter #aquarium #museum #Art #Animals #nature #wildlife #Zoo #paintings #Lockdown #COVID19 #COVID #corona #coronavirus #penguins,2020-05-30 23:29:43+00:00
8,Python Script to Track Coronavirus in Your Country ,2020-05-30 22:15:39+00:00
9,#Egypt's Health Minister calls recovered #Coronavirus patients to donate blood plasma to help critical conditions #Egypt's health minister calls on recov... via 24liveblog,2020-05-30 22:10:58+00:00
10,What is the relationship between Bill Gates and Corona virus and his astonishing relationship with vaccines? While he has no degree in medicine? ,2020-05-30 21:33:13+00:00
11,"The Coronavirus Closed Schools in a Flash. But Detailed Planning Must Guide Students’ Return to Classrooms, Groups Urge https://buff.ly/2WCRhbF #TESOL #ESOL #ESL #ELT #schoolsreopening #COVID19",2020-05-30 21:30:10+00:00
12,"The #Photo of the day : The ""fresaka"" street vendor with a face mask in times of #Coronavirus From Cairo by Omar Zoheiry via 24liveblog ",2020-05-30 21:04:23+00:00
13,"With cases rising and Alexandria entering the first phase of reopening, the city wants feedback on its coronavirus response ",2020-05-30 21:01:28+00:00
14,#Egypt's health minister calls on recovered #coronavirus patients to donate blood to help treat critical cases http://english.ahram.org.eg/News/370174.aspx via @ahramonline,2020-05-30 20:53:19+00:00
15,"Germany from March to May Coronavirus Cases:183,149 Deaths:8,598 Total test: around 4 M Population: around 83 M ",2020-05-30 20:31:46+00:00
16,"BuzzFeed Staff Take Pay Cuts, Shared Workload to Stave Off More Coronavirus Furloughs https://www.thedailybeast.com/buzzfeed-staff-take-pay-cuts-shared-workload-to-stave-off-more-coronavirus-furloughs?source=twitter&amp;via=desktop via @thedailybeast",2020-05-30 19:51:11+00:00
17,"You know this coronavirus? I say it won't last long, wanna know why...? It won't last long as it's made in China... ",2020-01-30 23:31:20+00:00
18,Google launches 'SOS Alert' with WHO in response to the coronavirus http://dlvr.it/RP4nHR #mrahmedserougi,2020-01-30 22:58:02+00:00
19,#Coronavirus up to date mapping https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,2020-01-30 22:20:38+00:00
20,"On #ISD's Friday afternoon call we discussed impact of #COVID19 on the #stockmarkets and #economy. Losers: travel &amp; tourism, energy, retail; Winners: US domestics (flight to safety), supply chain substitutes, virtual/online, GrubHub and other anti-social stocks + oversold names.",2020-02-28 22:02:31+00:00
21,"Italy & Iran with higher cases of COVID19, is not on your list.",2020-02-28 15:43:53+00:00
22,"New coronavirus 'preventable and controllable', China says pic.twitter.com/hHbIL2scBb",2020-01-19 16:29:33
23,China's Wuhan City Confirms 17 New Novel Coronavirus Cases http://dlvr.it/RNK0f7 ,2020-01-19 02:55:32
24,Japanese driver of Chinese tourist bus contracts coronavirus https://asia.nikkei.com/Spotlight/Coronavirus-outbreak/Japanese-driver-of-Chinese-tourist-bus-contracts-coronavirus …,2020-01-28 23:40:14
25,I swear if we get corona virus in Egypt I’m not leaving my house until they find a cure y’allll,2020-01-25 23:58:51
26,How to Prevent Coronavirus https://www.wikihow.com/Prevent-Coronavirus …,2020-01-25 23:57:15
27,Canada Reports Its First Case of Coronavirus http://dlvr.it/RNllfP ,2020-01-25 23:49:32
28,That coronavirus has hit Canada for the first time.  Yikes.  That's too close to the #USA.,2020-01-25 23:42:13
29,Cathay to let crew wear masks on all flights due to new coronavirus http://dlvr.it/RNYkzM pic.twitter.com/b5j1BsmbVW,2020-01-22 22:31:03
30,Passengers to be Screened for New Coronavirus at Three Major US Airports - Here's What You Need to Know | https://bit.ly/3avwqfq ,2020-01-21 22:30:00
31,"Countries with confirmed #coronavirus cases:

China
Thailand
Taiwan
Japan
Singapore
South Korea
Vietnam
US
France
Australia
Malaysia
Nepal
Canada

(NBC News)",2020-01-27 23:31:33
32,"Here's A Running List Of Disinformation Spreading About The Coronavirus: { ""id"": 124023764… https://goo.gl/fb/FMFNU8 ",2020-01-24 23:43:30
33,Here's A Running List Of Disinformation Spreading About The Coronavirus - https://www.cupbord.com/index.php/heres-a-running-list-of-disinformation-spreading-about-the-coronavirus/ …pic.twitter.com/OllcnreSaX,2020-01-24 23:42:18
34,"Early Transmission Dynamics in Wuhan, China, of Novel Coronavirus–Infected Pneumonia | NEJM 
Considerable efforts to reduce transmission will be required to control outbreaks... #coronaviruschina Travel ban
https://www.nejm.org/doi/full/10.1056/NEJMoa2001316#.XjIVYAhuVGM.twitter …pic.twitter.com/MlfK7DXMpS",2020-01-29 23:31:30
35,"The #UAE has confirmed 2 more cases of the Wuhan #coronavirus in the country. The total in the UAE now stands at 7 cases. !!!
#nCoV2019https://twitter.com/wamnews/status/1225917890915897350 …",2020-02-07 23:34:49
36,"#coronavirus the down trend in new cases is back as previously predicted (green part), hopefuly it will stay in China and be contained, and doesn't start all over again in another country. @rileyraygriffin @FayCortez @cedricsam @maryad5https://docs.google.com/spreadsheets/d/18mZPp7EqKqxybzl1sEy_BVtMY5cDN9CJkdQRnMQzzy8/edit?usp=drivesdk …",2020-02-05 23:32:59
37,Sony Drops PAX East Over Coronavirus http://dlvr.it/RQMy9L ,2020-02-19 23:41:32
38,The coronavirus doesn’t give you the right to be an asshole to Chinese people. Seriously stop giving every Asian you see a glaring death stare. Grow up.,2020-02-19 23:15:09
39,Its turns out that he has a regular flu  not coronavirus,2020-02-14 23:43:03
40,Coronavirus can spread just for the mere fact many Americans don’t have sick leave. Good point raised by @MidwinCharles,2020-02-25 23:50:04
41,"3 matches will be suspended in the northern area due to #coronavirus
#COVID #COVID19italia

Inter Milan vs. Sampdoria, 
Atalanta vs. Sassuolo and 
Hellas Verona vs. Cagliari.https://apnews.com/96ff9285d67cd7beb66387e001e0aedb …",2020-02-22 23:46:00
42,Did Azar just say their first priority for responding to coronavirus is EXPANDING SURVEILLANCE?  Wtf?,2020-02-26 23:55:51
43,The world economy shudders as coronavirus threatens global supply chains amid manufacturers’ increased reliance on more interconnected China https://www.wsj.com/articles/world-economy-shudders-as-coronavirus-threatens-global-supply-chains-11582474608 …,2020-02-23 23:32:26
44,"RT @AFPphoto: #Coronavirus #COVID19 #Italy
Venice comes back to life after lockdown.
📸 Andrea Pattaro #AFP
More pictures on AFP Forum: http…",Sat Jun 13 08:00:53 +0000 2020
45,EVA Pharma Granted License to Manufacture and Distribute “Remdesivir” in 127 countries for the battle against… https://t.co/mZCyeFojg2,Sat Jun 13 09:09:39 +0000 2020
46,"RT @Rue23613927: Save us from #COVID19 
@ABOUBAKRLAWFIRM
@BakryMP
@WHO
@WHOEgypt
@AlsisiOfficial
#ندعم_قضية_الطباخ3ث
#بعد_رئيسنا_مين_ينقذنا…",Sat Jun 13 10:00:36 +0000 2020
47,RT @ernestngBRO: If #covid19 was an anime PART 11 (1/3) https://t.co/PPdKJE1NM4,Sat Jun 13 09:53:10 +0000 2020
48,#Egypt will enter soon the herd immunity phase - The Head of the Scientific committee to Egyptian state-run newspap… https://t.co/nQfuCbdPvx,Sat Jun 13 10:41:12 +0000 2020
49,Explore how the #COVID19 pandemic impacts women and girls disproportionately with far reaching consequences around… https://t.co/CdygFytHgI,Sat Jun 13 11:02:41 +0000 2020
50,M*A*S*H and the #Coronavirus (Video) https://t.co/Jd9TP8W5NF  #COVID #COVID19,Sat Jun 13 11:03:45 +0000 2020
51,"RT @CanadaTrade: On June 15, #Canada will host a virtual meeting of the Ottawa Group: a Canada-led initiative of 13 like-minded #WTO member…",Sat Jun 13 11:21:06 +0000 2020
52,RT @jedipadmaster: Let’s talk Clorox wipes &amp; #ReopeningSchools #COVID19 https://t.co/wnRjTSuXM4,Sat Jun 13 11:24:43 +0000 2020
