,Tweets,Date
0,Coronavirus timeline: How the disease spread throughout the US https://nypost.com/2020/04/29/coronavirus-timeline-how-the-disease-spread-throughout-the-us/?utm_source=twitter_sitebuttons&amp;utm_medium=site%20buttons&amp;utm_campaign=site%20buttons via @nypost,2020-04-29 23:23:46+00:00
1,The Armed Forces have recovered from the coronavirus almost 4000 people | src: https://rg.ru/2020/05/30/v-vooruzhennyh-silah-vylechilis-ot-koronavirusa-pochti-4-tysiachi-chelovek.html | rmw: https://russiamilitarywatch.com/?date=30.05.2020&amp;id=51366,2020-05-30 20:07:58+00:00
2,"#Coronavirus reminds me of the old Rice And Chessboard Story, where rice grains multiple in each square. We are now only at square 10, few more to go to find out how this game ends. http://www.dr-mikes-math-games-for-kids.com/rice-and-chessboard.html",2020-01-30 23:55:29+00:00
3,Note : This Coronavirus IS NOT the first one of it's kind. SARS was pretty deadly for example.,2020-01-30 23:24:48+00:00
4,"Why i say so? There was a tweet, about 1 specialist traffic Between States and China (Wuhan) ... long before #Coronavirus start 01.12-2019",2020-01-30 22:22:50+00:00
5,"#Italy and #Iran, what gives? #COVID19",2020-02-28 19:41:12+00:00
6,I predict that multiple Eastern European countries will close their borders before the week is over. These will be among the few countries that may not see #COVID19 outbreaks..,2020-02-28 18:47:18+00:00
7,Today’s #Offshorecomic. It’s better to be paranoid than terminated ... only slightly ripping off @nntaleb’s bear-stone analogy here #coronavirus #COVID19 For more visit https://buff.ly/2FtBAIE Buy books here https://buff.ly/32k8OVz,2020-02-28 16:22:03+00:00
8,"All of us will get exposed to #COVID19 during the following few months. If you can hermit away for months and months, then maybe not. The WHO fucked up. Health officials/governments all over the world fucked up. International travel should have been halted weeks ago. Too late now",2020-02-28 15:50:11+00:00
9,"According to WSJ, a novel coronavirus has been discovered in patient samples from the viral pneumonia outbreak i Wuhan in China. https://www.wsj.com/articles/new-virus-discovered-by-chinese-scientists-investigating-pneumonia-outbreak-11578485668 …",2020-01-08 20:08:57
10,WHO statement on novel coronavirus in Thailand https://echa.smh.re/ao ,2020-01-15 19:03:20
