,Tweets,Date
0,Purdue University president on returning to campus amid coronavirus pandemic ,2020-04-29 23:48:14+00:00
1,Do you believe the Coronavirus Vaccine will become mandatory all over the world?,2020-04-29 23:47:15+00:00
2,Map: Coronavirus and School Closures ,2020-04-29 23:31:45+00:00
3,"Don't you really, really, secretly wish that the #coronavirus targeted 36 year old white guys?",2020-04-29 23:26:19+00:00
4,Many Americans 'comfort buying' during coronavirus lockdown ,2020-04-29 23:26:14+00:00
5,Phoebe Prepares to Discontinue Coronavirus Testing Site As the State Takes Over COVID-19 Testing - News &amp; Announcements https://www.phoebehealth.com/media-center/media-center-news-story?news=4624#.XqoLs0MO48A.twitter,2020-04-29 23:20:22+00:00
6,"Facebook on Tuesday reported its slowest quarterly growth as a public company, pressured by the coronavirus pandemic. ",2020-04-29 23:20:00+00:00
7,Just as coronavirus is terminal for many your Fake-News will be terminal for your paper! ,2020-04-29 22:53:14+00:00
8,Has to be coronavirus...,2020-04-29 22:23:48+00:00
9,#Secrets of a #yogateacher: #Howto strengthen your #immune system with Linga #mudra: https://unlimitedenergynow.com/linga-mudra-immunity/ #Coronavirus #wellness #naturalhealing #healing,2020-05-30 22:50:03+00:00
10,"‘I Thought I’d Bought a Home, Then The Coronavirus Hit’ Coldwell Banker Access Realty Direct: 478.207.0145 Office: 478.953.8595 liz@cbssk.com ",2020-05-30 21:00:52+00:00
11,Global champagne sales fizzle amid coronavirus pandemic because people aren't celebrating ,2020-05-30 21:00:23+00:00
12,"GA Tops 2,000 Coronavirus Deaths, Hospital Cases Grow http://dlvr.it/RXgZ3y",2020-05-30 20:13:03+00:00
13,"Everything You Should Know About Coronavirus, Which Just Hit The U.S. http://dlvr.it/RP4k29 #HealthChinadiseaseWuhanCoronavirus",2020-01-30 22:31:33+00:00
14,CDC reports 1st case of person-to-person spread of coronavirus in Illinois ,2020-01-30 21:31:31+00:00
15,"So, there is not a pandemic yet. But teachers typically don’t wait to prepare for something. #edchat #COVID19 ",2020-02-28 22:59:58+00:00
16,#COVID19 i would wait with tickets few weeks,2020-02-28 21:47:20+00:00
17,"Health officials investigating possible case of coronavirus in Brazos County, Texas https://abc7ny.com/health/authorities-investigating-possible-case-of-coronavirus-in-texas/5873725/ … via @ABC7NY",2020-01-23 23:50:49
18,New Suspected Coronavirus Cases Pop Up in Two States https://www.thedailybeast.com/new-suspected-coronavirus-cases-pop-up-in-texas-and-california?source=twitter&via=desktop … via @thedailybeast,2020-01-23 23:46:11
19,"Hopefully, there will not be a #Coronavirus #Outbreak where you live, but if there is you might want to get: N95 face masks, disposable gloves, and eye goggles. Be safe!pic.twitter.com/sA5m4jo3IE",2020-01-28 23:43:15
20,The Coronavirus can smd,2020-01-28 23:42:55
