,Tweets,Date
0,Sweden Represents Model To Battle Coronavirus ,2020-04-29 22:39:51+00:00
1,Riots beat Coronavirus??????,2020-05-30 20:16:34+00:00
2,Y’all gonna get the coronavirus smh,2020-01-30 22:42:08+00:00
3,1st case of coronavirus from China confirmed in U.S. https://on.msnbc.com/38wh6xh ,2020-01-21 22:43:26
4,Do math bro. That's info of more than 100 days. Coronavirus has killed 170 in 15 days,2020-01-29 23:48:47
5,"RT @ScienceMagazine: A new off-label observational study suggests that the FDA-approved drug acalabrutinib, already used to treat several B…",Sat Jun 13 11:01:13 +0000 2020
6,Accurate death certification related to coronavirus disease 2019 (COVID-19) is vital to understand the extent and p… https://t.co/M8oWwzS7LH,Sat Jun 13 12:48:15 +0000 2020
7,"RT @AFPphoto: #Coronavirus #COVID19 #Guatemala
Women's national football team player Gloria Aguilar trains on her rooftop in Guatemala City…",Sat Jun 13 12:14:45 +0000 2020
8,"RT @AFPphoto: #Coronavirus #COVID19 #Guatemala
Women's national football team player Gloria Aguilar trains on her rooftop in Guatemala City…",Sat Jun 13 12:14:45 +0000 2020
9,What countries have been affected by the Novel coronavirus? How many cases are there in China? Real-time updates on the number of cases worldwide. https://infographics.channelnewsasia.com/covid-19/map.html … vía @ChannelNewsAsia,2020-03-01 23:55:15
