,Tweets,Date
0,"#childrenunderattack we can’t forget the world is a dangerous place for so many in the world - with hot wars, not just the Coronavirus. Watch this video fro ⁦@UNICEF⁩ ⁦@StephMillerShow⁩ ⁦@fromthebunkerjr⁩ ⁦@robreiner⁩",2020-04-29 22:46:44+00:00
1,NFL PAY CUTS: Commissioner Roger Goodell has reduced his salary to $0 and other NFL employees will be taking pay cuts or furloughs due to the coronavirus pandemic. ,2020-04-29 22:30:01+00:00
2,"GA Tops 2,000 Coronavirus Deaths, Hospital Cases Grow http://dlvr.it/RXgZ34",2020-05-30 20:13:02+00:00
3,US reports its 1st case of person-to-person spread of coronavirus ,2020-01-30 21:57:21+00:00
4,First confirmed case of the coronavirus in Iceland. It's here. #COVID19,2020-02-28 15:01:57+00:00
5,This is how you deal with Covid-19 and keep the public trust. #COVID19 #coronavirus,2020-02-28 13:25:39+00:00
6,Coronavirus Alert: What GA Health-Care Workers Need To Know http://dlvr.it/RNj56Z ,2020-01-24 23:54:31
7,"Eight Uniformed Services, if the #SpaceForce is the sixth military service. Given #CoronaVirus, you may wish to learn more about why #PublicHealth is uniformed.",2020-02-02 23:49:15
8,"""‘I Feel Abandoned’: How Residents in Wuhan Are Coping With Coronavirus"" by BY MUYI XIAO, BARBARA MARCOLINI AND NATALIE RENEAU via NYT New York Times https://ift.tt/37YmhpU ",2020-02-03 23:57:15
9,"fort the break #tytlive 

Trump Bogies As Coronavirus Spreads https://youtu.be/Df6FdSGayUM  via @YouTube",2020-02-03 23:42:55
10,"""A Store, a Chalet, an Unsealed Pipe: Coronavirus Hot Spots Flare Far From Wuhan"" by BY VIVIAN WANG, AUSTIN RAMZY AND MEGAN SPECIA via NYT New York Times https://ift.tt/31LmSc0 ",2020-02-11 23:29:19
11,Coronavirus Containment Has Failed http://dlvr.it/RQq3Yy pic.twitter.com/LgVNZvR1qy,2020-02-26 23:58:32
12,"I heard him say ""well we'll see what happens"" when asked about Coronavirus. Exactly what you want to hear from a president when talking about an infectious virus.",2020-02-23 23:50:31
13,"RT @himantabiswa: 📌Alert ~ 25 new #COVID19+ cases reported

10 Karbi Anglong West, 5 Jorhat, 3 Karbi Anglong, 3 Baksa, 2 Dhemaji, 1 Golagha…",Sat Jun 13 10:36:00 +0000 2020
14,"RT @OffGuardian0: Let's be clear - whatever the motivation/good intentions of isolated individuals may have been, the degree of coordinatio…",Sat Jun 13 09:52:55 +0000 2020
15,"RT @BjpBiplab: Out of 210 samples tested for #COVID19, 37 Cases found  #POSITIVE. All of them have travel history.

The count includes :

🔹…",Sat Jun 13 10:04:19 +0000 2020
16,"RT @WFPUSA: In #Bangladesh, students have been home from school for over 2 months because of #COVID19. 

But that hasn’t stopped @WFP deliv…",Sat Jun 13 12:46:08 +0000 2020
17,"Warning, this might make you apprehensive.
What the Impact of Coronavirus Looks Like From Space
https://nyti.ms/2Tnqher  via @nytvideo",2020-03-05 23:58:11
