,Tweets,Date
0,"Medscape http://medscape.com Widely-Cited Aerosolization Study Retracted A study that found that aerosolized novel coronavirus could be spread nearly 15 feet — twice what health officials had believed — has been retracted, but the journal isn't saying why.",2020-04-29 23:50:10+00:00
1,"I think the news should have a Coronavirus word of the day. And, every other day, the word should be asymptomatic. How about that for a bit, @toddmeany ?",2020-04-29 23:46:24+00:00
2,Young Doctors Struggle to Treat Coronavirus Patients: ‘We Are Horrified and Scared’ ,2020-04-29 23:22:12+00:00
3,Who is the master? Who is the slave? novax #coronavirus #quarantena #5g #libertadiparola #tamponiinfetti #fakenews #mascherineinfette #antibiotici #cortisonici #vaccini… https://www.instagram.com/p/B_lTWGgFlRD0xxu9gBoWhqAPSZQrrOdRtK22jA0/?igshid=1l9mtawi25uz6,2020-04-29 23:15:03+00:00
4,"Coronavirus Italia, Colao: opening in waves as proof ",2020-04-29 22:36:41+00:00
5,Contemplatives Launch Global Pray Initiative to Battle Coronavirus ,2020-04-29 22:23:54+00:00
6,Crushing the coronavirus is good economics. Hoping it goes away is not. ,2020-04-29 22:22:03+00:00
7,Coronavirus: Two men in US drink disinfectants in bid to prevent Covid-19 | The Independent ,2020-04-29 22:19:44+00:00
8,#Coronavirus #COVID19 Global Cases @JHUSystems 4/29/2020 11:32:27 PM » https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6 Novel Coronavirus COVID-19 @UW HGIS Lab 2020-04-29 13:11:26 PST » https://hgis.uw.edu/virus/ COVID-19 #Italia - @DPCgov Ultimo aggiornamento 29/04/2020 17:00 » https://datastudio.google.com/u/0/reporting/91350339-2c97-49b5-92b8-965996530f00/page/RdlHB,2020-04-29 22:18:44+00:00
9,Hard to say with coronavirus. His tour was supposed to kick off in pleasant park last week but it got pushed back bc covid,2020-05-30 23:45:27+00:00
10,Roberts joins with liberal justices against churches defying coronavirus lockdowns; Kavanaugh dissents – The Right Scoop ,2020-05-30 23:35:03+00:00
11,Wealthy Fliers Worried About Coronavirus Turn to Private Jet Service http://dlvr.it/RXgp1t,2020-05-30 22:34:32+00:00
12,"One in 8 museums around the world may never reopen due to the coronavirus pandemic, UNESCO reports ",2020-05-30 22:07:20+00:00
13,RT @wef:Coronavirus: here’s what you need to know about face masks https://bit.ly/2ypZZRb #coronavirus #PPE,2020-05-30 22:06:58+00:00
14,"The coronavirus could give bioterrorists ideas, security group warns ",2020-05-30 22:04:52+00:00
15,Would have been at the actual #Glasgow gig if it wasn't for #coronavirus and #lockdown. ,2020-05-30 22:03:27+00:00
16,Frecce Tricolori thanks #Italy #freccetricolori #support for emergency #COVIDー19 #Coronavirus ,2020-05-30 21:52:28+00:00
17,Kidneys And Covid-19: Renal Manifestations Of The Novel Coronavirus ,2020-05-30 23:10:12+00:00
18,Kidneys And Covid-19: Renal Manifestations Of The Novel Coronavirus ,2020-05-30 23:10:12+00:00
19,Neuropathogenesis and Neurologic Manifestations of the Coronaviruses in the Age of Coronavirus Disease 2019: A Review | Global Health | JAMA Neurology | JAMA Network ,2020-05-30 22:45:41+00:00
20,"A man wearing a face mask as a precaution against the #COVID_19 #coronavirus is sitting on the bank of Regi Lagni canal in #CastelVolturno, southern #Italy, on May 30, 2020",2020-05-30 19:56:19+00:00
21,2 meters away #coronavirus #covid19 #weightlifting,2020-05-30 19:49:39+00:00
22,Yesterday Pakistan was at 19th number and today is at 17th number mostly coronavirus affected country according to the world o meter ,2020-05-30 19:33:30+00:00
23,"Early Transmission Dynamics of 2019-nCoV » https://www.nejm.org/doi/full/10.1056/NEJMoa2001316 An epidemiologic analysis of the first 425 cases of #2019nCoV #coronavirus in #Wuhan, #China, and an estimate of the epidemic doubling time and the basic reproductive number sustaining human-to-human transmission.",2020-01-30 23:53:10+00:00
24,Adding #CoronaVirus to the list. ,2020-01-30 23:48:21+00:00
25,TRANQUILLI. #coronavirus ,2020-01-30 23:47:06+00:00
26,The latest micheledisalvo reports! https://paper.li/micheledisalvo/1363307593?edition_id=714e5070-43b9-11ea-ae35-0cc47a0d15fd Thanks to @kiara86769608 @TeleradioNews @UrraciR #piazzapulita #coronavirus,2020-01-30 23:37:16+00:00
27,"After the worldwide emergency for the #coronavirus issued by @WHO , do you provide or allow your employees in contact with the public to wear masks or other protective clothing? @SEA_Press @RegLombardia",2020-01-30 23:36:32+00:00
28,the telly says people are not going to Chinatown as much in Milan because they're scared of the new coronavirus… fucking hell… I'm going to find a place where they serve vegan food there and I'm eating there soon,2020-01-30 23:34:31+00:00
29,Everybody is confirming #coronavirus except one country I know ,2020-01-30 22:53:50+00:00
30,"First two cases of #Coronavirus just confirmed in Rome, Italy. A couple that came from Wuhan and toured Italy's provinces. Their trip started in Milano. They spent 1 week in Italy so far. Their hotel room in Rome has been sealed.",2020-01-30 22:46:01+00:00
31,First two coronavirus cases confirmed in Italy ,2020-01-30 22:42:43+00:00
32,I liked a YouTube video https://youtu.be/OTYfke545vI What Actually Happens If You Get Coronavirus?,2020-01-30 22:34:14+00:00
33,STREAM #CORONAVIRUS Y'ALL ,2020-01-30 22:33:06+00:00
34,Stommale #coronavirus #coronarvirus,2020-01-30 22:19:25+00:00
35, Italia 2020. #coronavirus ,2020-01-30 22:17:40+00:00
36,Coronavirus Like Plague inc. ,2020-01-30 21:52:27+00:00
37,"The boat already sailed to Savona at 18:00 hrs as the results of the analyses were favorable, the tourists don’t have Coronavirus, no contamination onboard. The passengers were able to descend before the afternoon departure. continua su: ",2020-01-30 21:43:21+00:00
38,"The guy sitting next me at the barber today “the #coronavirus came from the markets where they were eating/selling baby mice, baby wolves, snakes, and other animal organ wines” uh animal organ wine?! I sure hope not",2020-01-30 21:42:02+00:00
39,Actually there are 2 cases of coronavirus confirmed in Italy,2020-01-30 21:41:13+00:00
40,"Coronavirus hits India and the Philippines as China reports more than 7,700 cases ",2020-01-30 21:28:19+00:00
41,First two cases in Italy #coronavirus ,2020-01-30 21:27:51+00:00
42,"India, Philippines confirm 1st cases of coronavirus ",2020-01-30 21:27:40+00:00
43,"Researchers at Johns Hopkins Univ., have created an online dashboard to track the global spread of the #Covid19 virus. The map collects case data from multiple govt sources: @WHO @CDCgov @ECDC_EU, China’s Nat'l Health Comm., &amp; Chinese site DXY. #nCoV19 https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6",2020-02-28 23:38:04+00:00
44,At the moment italian government is the most collaborative and transpadent to share numbers and data abour #COVID19 .,2020-02-28 23:13:07+00:00
45,"Pictured: the S&P 500, index of the largest stock-traded companies, crashing 3 trillion dollars down in a single week. Risk factors may have been multiplied by COVID19, but the structural fragility of finance is proving again unworthy of economic management and responsibility.",2020-02-28 23:10:06+00:00
46,"A man wears a protective mask as a preventive measure regarding the #COVID19 #virus while walking downtown #Naples, southern #Italy, on February 27, 2020. #coronavirus",2020-02-28 22:57:21+00:00
47,How to respond to COVID-19 https://gatesnot.es/2wdJh60?WT.mc_id=00_00_00_share_tw via @billgates #COVID19 #COVID2019 #,2020-02-28 21:08:20+00:00
48,"Hey! Checking in from #Milan, Italy - I’m a filmmaker and put together a video of how calm the situation actually is here - pointing out the media exaggerations... #coronavirus #CoronaVirusItalia #COVID2019 #COVID19 #COVID19US",2020-02-28 19:49:10+00:00
49,You are shutting down MF Turin but Lyon is still a thing? Lyon has a lot more confirmed COVID19 cases than Turin itself.....unbelievable,2020-02-28 19:44:56+00:00
50,Complete agree! Checking in from #Milan - aiming to show the media exaggerations that have lead to a mass panic. #coronavirus #CoronaVirusUpdate #CoronaVirusItalia #COVID2019 #COVID19 #COVID19US,2020-02-28 19:41:50+00:00
51,"Covid19 arriving in Munich, Germany... #tuttoilmondoèpaese",2020-02-28 18:56:15+00:00
52,Guess I know what I'll be drinking tonight. #COVID2019 #COVID19italia #COVID19 #Covid_19 #coronarvirusitalia #coronavirus,2020-02-28 18:53:09+00:00
53,"I updated the graphs comparing Italy's #COVID19 cases with South Korea and Hubei province, and added trendlines. R^2 = 1??? Using data from http://covid2019.app @jodigraphics15 #CoronaVirusItalia",2020-02-28 18:36:20+00:00
54,We #Oklahoma are waiting on the #COVID19 test results for 2 people who recently returned from an effected region. Three people have already texted negative fortunately. ,2020-02-28 17:34:50+00:00
