,Tweets,Date
0,WW3 Coronavirus Kobe passing away. @2020 WHAT THE FUCK?!,2020-01-30 23:32:25+00:00
1,BBC News - Coronavirus: Scientists race to develop a vaccine ,2020-01-30 22:58:56+00:00
2,"first ww3 is looming , now some coronavirus from china has made it to u.s. , first confirmed case , in seattle no less , jesus christ wtf 's next ?!  we are all really doomed. fuck.",2020-01-21 23:06:35
3,"WHO: The coronavirus has reached the US

Me: pic.twitter.com/SqrRqPfoFA",2020-01-21 22:58:19
4,@ChantTea monkey why are you on here.  Should you not be Thailanding with your coronavirus buddies!?,2020-02-02 23:35:43
5,Where are we going All nations should join hands in assisting China to fight coronavirus,2020-02-11 23:57:25
6,RT @GESCI: Secondary school students can access  learning resources via our online learning platform at : https://t.co/6jH9LgYp2w #ICTInEdu…,Sat Jun 13 13:19:52 +0000 2020
7,Remember condition of Indore during the early stages of Coronavirus pendemic? @ChouhanShivraj gov has done a commen… https://t.co/kpdn2oQzc4,Sat Jun 13 13:21:19 +0000 2020
8,Me finding out all the Italy semester people at my college just got back and one of them might have Coronavirus: https://twitter.com/nocontext_su/status/1167633359830433793 …,2020-03-06 23:58:24
9,"The Africa CEO Forum #ACF2020 the largest annual gathering of the African private sector, which was scheduled to be held on March 9-10, 2020 in Abidjan, Côte d'Ivoire, was postponed due to the coronavirus.
No case has so far been registered in the country! https://twitter.com/africaceoforum/status/1235299327242899457 …",2020-03-06 23:54:47
10,Is there a reason we're getting a WH #coronavirus briefing via Twitter?,2020-03-03 23:55:38
11,CORONAVIRUS GOT NOTHING ON TDS https://twitter.com/twistedmic24/status/1239335143514484736 …,2020-03-15 23:56:54
12,coronavirus got nothing on TDS,2020-03-20 23:59:12
13,Me in the Age of Coronavirus pic.twitter.com/OYel5WcEEA,2020-03-16 23:59:18
14,coronavirus got nothing on TDS,2020-03-20 23:59:12
15,Me in the Age of Coronavirus pic.twitter.com/OYel5WcEEA,2020-03-16 23:59:18
16,CORONAVIRUS GOT NOTHING ON TDS https://twitter.com/twistedmic24/status/1239335143514484736 …,2020-03-15 23:56:54
