,Tweets,Date
0,Y’all it’s 100% possible that my eyebrows may emerge victorious from this coronavirus situation,2020-05-30 22:49:08+00:00
1,Of course. He also said the Coronavirus wasn’t coming to the US. ,2020-05-30 22:33:15+00:00
2,"nobody is gonna pay attention to the coronavirus until it’s too late, even though it’s silently traveling through the world and killed 17 people already",2020-01-23 23:30:06
3,Don’t underestimate the corona virus Dom.  If we start building a hospital now that guy from patriotic street has our best chance.,2020-01-24 23:21:35
4,I just need this Coronavirus cleared up by the time of my cruise in July.,2020-02-07 23:57:47
5,Rest In Power to Li Wenliang .. he did the realist shit ever alerting the world about what China was tryna keep secret about this coronavirus.. bro deserve a drink in memory ! #LiWenliangHero #LiWenliang,2020-02-08 23:40:12
6,In a nutshell.,Sat Jun 13 11:57:02 +0000 2020
7,Coronavirus canceling everything but these student loans,2020-03-06 23:57:20
8,tell me why i just went to blow on my cereal like it was hot. #coronavirus took my last brain cells,2020-03-16 23:58:49
9,"“We are now nothing but giant buildings with seats,” said one theater owner about what the coronavirus has done to the industry. https://www.insider.com/what-movie-theaters-are-doing-stay-open-coronavirus-2020-3 …",2020-03-16 23:56:59
10,tell me why i just went to blow on my cereal like it was hot. #coronavirus took my last brain cells,2020-03-16 23:58:49
11,"“We are now nothing but giant buildings with seats,” said one theater owner about what the coronavirus has done to the industry. https://www.insider.com/what-movie-theaters-are-doing-stay-open-coronavirus-2020-3 …",2020-03-16 23:56:59
