,Tweets,Date
0,BBC News - Coronavirus vaccine: When will we have one? ,2020-04-29 23:56:37+00:00
1,BBC News - Coronavirus: US economy shrinks at fastest rate since 2008 ,2020-04-29 23:41:24+00:00
2,Hisaabah vure gamaaru veema thihen ves vaane! Very few countries have got the test kit for the newfound coronavirus. Not even Singapore. ,2020-01-30 21:30:03+00:00
3,Simple ways to prevent the spread of #COVID19 in your workplace: #coronavirus,2020-02-28 18:54:20+00:00
4,heart pts require extra precautions against COViD19 ,2020-02-28 18:49:11+00:00
5,The great #COVID19 depression will be in the history books!,2020-02-28 17:42:35+00:00
6,Japan confirms first case of coronavirus - The Japan Times https://news.google.com/__i/rss/rd/articles/CBMiYmh0dHBzOi8vd3d3LmphcGFudGltZXMuY28uanAvbmV3cy8yMDIwLzAxLzE2L25hdGlvbmFsL3NjaWVuY2UtaGVhbHRoL2phcGFuLWZpcnN0LWNvcm9uYXZpcnVzLWNhc2Uv0gEA?oc=5?utm_content=socialchampAHWF0HpF_&utm_medium=social&utm_source=twitter.com&utm_campaign=socialchamp.io …,2020-01-16 02:17:16
7,"Also screen/isolate/treat the travellers coming from infective areas. 
#coronavirus https://twitter.com/Hisham_Imad/status/1218577268672327680 …",2020-01-19 01:44:36
8,RT @AlArabiya_Eng: Scientists have begun exploring how some individuals who have never come into contact with the novel #coronavirus are se…,Sat Jun 13 08:01:01 +0000 2020
9,"RT @srinivasiyc: If Maharashtra Government can do this,
Who is stopping Delhi Government ?",Sat Jun 13 10:21:33 +0000 2020
10,"RT @ARC_maldives: With your donations, ARC AID has reached 139 children &amp; their families in Fuahmulah City, including single parents, famil…",Sat Jun 13 10:42:20 +0000 2020
11,RT @HaswellUN: Join in all! Our new virtual reality increases the opportunities for dialogue locally in 🇲🇻 and globally🌎. Connect &amp; share y…,Sat Jun 13 10:48:29 +0000 2020
12,A previous draft proposal indicated travelers would need to present a medical certificate confirming proof of a neg… https://t.co/nrjEs7qzRk,Sat Jun 13 10:53:54 +0000 2020
13,"RT @presidencymv: As lockdown enters the next phase of easing, limit going out only for essentials, practice physical distancing &amp; hand hyg…",Sat Jun 13 11:20:03 +0000 2020
14,"RT @ImmigrationMV: Latest update on the evacuation process, amidst #Covid19. https://t.co/4KBospUd24",Sat Jun 13 12:26:01 +0000 2020
15,"RT @ImmigrationMV: Latest update on the evacuation process, amidst #Covid19. https://t.co/4KBospUd24",Sat Jun 13 12:26:01 +0000 2020
16,"RT @presidencymv: As lockdown enters the next phase of easing, limit going out only for essentials, practice physical distancing &amp; hand hyg…",Sat Jun 13 11:20:03 +0000 2020
17,"RT @meenakshisharan: A #Hindu businessman, from Dadu,  #Sindh Pakistan, Kewal Ram ji was found #COVID19 positive, unfortunately he didn’t s…",Sat Jun 13 09:53:52 +0000 2020
18,"RT @antonioguterres: #COVID19 has highlighted the threats posed by the unchecked use of digital technology - surveillance, human rights abu…",Sat Jun 13 09:57:01 +0000 2020
19,"#Throwback, one year ago today, after dinner chat with Prof.Grey &amp; Dr.Ambuj at The 7th China - South and Southeast… https://t.co/ItmoJiqwpV",Sat Jun 13 14:01:05 +0000 2020
20,"RT @ImmigrationMV: Latest update on the evacuation process, amidst #Covid19. https://t.co/4KBospUd24",Sat Jun 13 12:26:01 +0000 2020
21,RT @CGTNOfficial: Beijing shuts wholesale market linked to seven new #COVID19 cases https://t.co/pU2Ob8lgsJ,Sat Jun 13 13:40:47 +0000 2020
