,Tweets,Date
0,Report: North Korea to Lock Down Through 2020 Despite ‘Zero’ Coronavirus Cases ,2020-04-29 23:42:42+00:00
1,India's Serum Institute to Make Millions of Potential Coronavirus Vaccine Doses https://www.nytimes.com/reuters/2020/04/28/world/europe/28reuters-health-coronavirus-india-vaccine.html?smid=tw-share Vaccines Manufacturing &amp; Distribution Opportunities at San Jose-California.,2020-04-29 23:33:33+00:00
2,"A ""Light Message"" that has been on the minds of many. #resiliencechat #resilience #edchat #rethink_learning #tlap #COLchat #NYEDchat #weleaded #JoyfulLeaders #EdLinks #EducatingTheNewHumanity #ETNH #ThankaTeacher #satchat #COVID19 #Coronavirus ",2020-04-29 23:33:19+00:00
3,Two East #Oakland community volunteers claim they were pulled over and harassed by police officers moments after they helped place the homeless in a hotel to help curb the spread of the #coronavirus. @jeffreyschaub has the story.,2020-04-29 23:05:02+00:00
4,"From Table Wine in New York to Quarry Wine & Spirits in Baltimore, wine stores hold on as customers seek refuge from coronavirus. ",2020-04-29 23:05:02+00:00
5,"Coronavirus Quarantine plant-based protein food rediscovery: lentils. Cooked per package directions and then dressed with sautéed onion, garlic, ginger and curry for a nice curried lentils. No need to risk lives of meat packers. (Yes, am eating meat, but slightly less of it.) ",2020-04-29 22:47:46+00:00
6,The only thing we know for sure with the COVID-19 pandemic is that the workplace will never be the same again. Read Diana Maier's opinion piece here: https://maierlawgroup.com/blog/the-pandemic-workplace #employmentlaw #covid19 #coronavirus #pandemic,2020-04-29 22:42:39+00:00
7,"Grand Avenue, San Diego | WATCH: Gov. Newsom Gives Update On State’s Response To Coronavirus Outbreak ",2020-04-29 22:39:09+00:00
8,The curious case of the SF doctor who's been coronavirus-positive nearly 90 days and counting ,2020-05-30 23:44:06+00:00
9,"I'm happy about it, but simultaneously worried because of Coronavirus.",2020-05-30 23:13:22+00:00
10,Players And MLB Agree To Terms In Case Coronavirus Cancel Entire Baseball Season... ,2020-05-30 21:19:42+00:00
11,"""We have just reached a very sad milestone with the coronavirus pandemic deaths reaching 100,000. To all of the families &amp; friends of those who have passed, I want to extend my heartfelt sympathy."" Trump tweeted on Thursday",2020-05-30 19:36:52+00:00
12,The @CDCgov is screening passengers who have traveled through the affected #coronavirus area.,2020-01-30 23:55:04+00:00
13,my old friend visited me and gave me a lesson about Coronavirus,2020-01-30 23:29:12+00:00
14,"3）Some of my friends in Japan asked me how people in the U.S. were reacting to the novel corona virus. I happened to be at SFO, but I don’t see anybody wearing masks so far except for two Asian-looking people. ",2020-01-30 22:57:10+00:00
15,The provincial government of Ilocos Sur has ordered the implementation of strict quarantine procedures and other disease prevention and control measures to protect the province from the novel coronavirus and other similar strains. Read full story here: ,2020-01-30 21:58:39+00:00
16,"In light of the video being circulated online revealing alleged Novel Coronavirus (2019-nCoV) case in the province, the Provincial Health Office clarifies that Ilocos Norte is free from this contagious virus. Read full story here: https://pia.gov.ph/news/articles/1033673 #EmpoweringCommunities",2020-01-30 21:54:32+00:00
17,Does an entity that puts the very lives of millions of it's citizens on the line deserve to carry the name of the citizens? #stopflightstochina #ethiopia #covid19,2020-02-28 23:04:36+00:00
18,"Fourteen people in UK tested for coronavirus
http://news.sky.com/story/fourteen-people-in-uk-tested-for-coronavirus-11916186 …pic.twitter.com/agN9eUYBgU",2020-01-23 23:19:37
19,"@FoxNews that bashed ⁦@BarackObama⁩ daily when he fully controlled a similar outbreak is silent now: Stors in central Texas are running out of medical masks after possible case of coronavirus reported
https://www.cnn.com/2020/01/25/health/coronavirus-masks-shortage-trnd/index.html …",2020-01-25 23:55:11
20,"Ok , I'm very excited.
Any Question 
Is possible that China put #coronavirus for close the perimeter ? – at plaza de castilla de san rafael",2020-01-25 23:47:34
21,Man in Mexico Now Ill After Visiting Coronavirus Ground Zero http://dlvr.it/RNYqcx ,2020-01-22 23:11:48
22,"http://WritersViews.com  Today #LatestNews #Discussions : Technology shares led the S&P 500 marginally higher Wednesday, as a healthy forecast from IBM helped mitigate worries over the developing coronavirus outbreak. Fred Katayama reports. pic.twitter.com/gDJt0ombj1",2020-01-22 22:29:23
23,"Coronavirus https://wb.md/2fNoD4V 
 from @WebMD",2020-01-21 23:01:36
24,"""CDC has a rRT-PCR test to diagnose 2019-nCoV #coronavirus Currently, testing must take place at CDC, but will share tests w/ domestic & international partners through the agency’s International Reagent Resource."" 

Viral genome seq in Genbank (30kb ssRNA) https://www.ncbi.nlm.nih.gov/nuccore/MN908947 …https://twitter.com/CDCgov/status/1219725632906694663 …",2020-01-21 22:49:48
25,The BlueDot algorithm scours news reports and airline ticketing data to predict the spread of diseases like those linked to the flu outbreak in China. #coronavirus #Wuhan #AI https://www.wired.com/story/ai-epidemiologist-wuhan-public-health-warnings/ …,2020-01-27 23:32:08
26,"Shanghai Disneyland, Disneytown and Wishing Star Park will temporarily close beginning on Saturday amid the coronavirus outbreak. https://abc7ne.ws/2urq9AT ",2020-01-24 23:22:09
27,"Well, now there’s another potential case of coronavirus in Waco. Student has been isolated, is being cared for and entire residence hall sanitized. #coronoavirushttps://twitter.com/Baylor/status/1220823688104370176 …",2020-01-24 23:19:01
28,"The Los Angeles County Department of Public Health has confirmed the first case of novel coronavirus in Los Angeles County, the department said Sunday.
http://nbcbay.com/Ry1rI2u ",2020-01-26 23:32:06
29,Burberry warns on coronavirus https://www.drapersonline.com/news/burberry-warns-on-coronavirus/7039463.article … via @Drapers #makeup #fashionpic.twitter.com/fSFpdJ2lkT,2020-02-07 23:56:04
30,Could the #Coronavirus save the #Pangolin ?   #WeAreTheInvasiveSpecies,2020-02-07 23:37:09
31,"Stop the lies.
Cats do not spread coronavirus. https://twitter.com/PeterAskin1/status/1224912988185874433 …",2020-02-05 23:53:07
32,"As the nation's 8th case of coronavirus was confirmed on Saturday, Travis Air Force Base in Fairfield was tapped to be one of four U.S. military bases on standby to house overseas travelers who may need to be quarantined. https://sanfrancisco.cbslocal.com/2020/02/01/travis-afb-named-base-quarantined-coronavirus-evacuees/ …",2020-02-01 23:56:01
