,Tweets,Date
0,Will you go back to shows and big events as soon as the lockdown ends? Do you still hope to use your unrefunded concert tickets? https://bit.ly/2y3WiAG #coronavirus #COVID19Pandemic #poll #Reuters,2020-04-29 23:53:32+00:00
1,"the mayor said in one post. “When I heard, I went there myself to ensure the crowd was dispersed. And what I saw WILL NOT be tolerated so long as we are fighting the Coronavirus.”",2020-04-29 23:34:35+00:00
2,That’s why Bergen County have the most ppl with coronavirus ,2020-04-29 23:16:55+00:00
3,"Coronavirus lives for hours in air particles and days on surfaces, new US study shows ",2020-04-29 23:00:16+00:00
4,Wtf. See Olympic 2012 opening with dancing nurses. Coronavirus ,2020-04-29 22:54:45+00:00
5,Coronavirus live news: Brazil sees record increase in cases ,2020-04-29 23:13:50+00:00
6,This video about coronavirus charts is very clarifying: ,2020-04-29 22:40:32+00:00
7,GOP decries ‘impeachment 2.0’ as Pelosi names top Trump critics to coronavirus oversight panel #impeachment #coronavirus ,2020-04-29 22:29:14+00:00
8,"Check out video Bill Ryan excerpt (2010-1 min 22 sec), an engineered flu like virus to be released into the Chinese population and spreading to the West on http://youtu.be/0EO2jy6iskQ #coronavirus .......",2020-05-30 22:10:12+00:00
9,"Coronavirus May Be a Blood Vessel Disease, Which Explains Everything by @SmithDanaG in @elemental",2020-05-30 23:53:56+00:00
10,Of course there are several reasons for the success of #NewZealand's handling of the #corona virus so far. But #leadership is definitely one of them:,2020-05-30 20:55:06+00:00
11,#COVID19 #pandemic gets finally #mature #MinneapolisUprising #MinneapolisRiot #Minnesota #Plunder &amp; #arson DISASTER-DECADE 2017-2027 DISASTERS - #bushfires DISEASES - #coronavirus DEMOLITION- #Minneapolis AMAS; The Last Western #Prophet,2020-05-30 20:35:41+00:00
12,The Agenda Behind The Coronavirus Lockdown https://www.facebook.com/LondonReal/videos/577571826191161/ via @FacebookWatch,2020-05-30 20:14:15+00:00
13,Horowitz: The CDC confirms remarkably low coronavirus death rate. Where is the media? https://www.conservativereview.com/news/horowitz-cdc-confirms-remarkably-low-coronavirus-death-rate-media/ via @RMConservative,2020-05-30 20:05:56+00:00
14,#coronavirus some #opinions,2020-01-30 23:29:44+00:00
15,Bands ah make her dance #coronavirus https://store.playstation.com/#!/en-us/tid=CUSA08724_00,2020-01-30 23:26:11+00:00
16,"The government of China states the number of cases of patients with pneumonia, not just the number of (newly) infected people with the corona virus. Different things..",2020-01-30 23:24:20+00:00
17,"The corona virus has now hit Finland, may my Finnish #stezaanators be safe",2020-01-30 23:23:52+00:00
18,Here's the investment strategy Bridgewater's Ray Dalio is using to deal with coronavirus http://dlvr.it/RP4r8j,2020-01-30 23:19:32+00:00
19,Now with the coronavirus I would guess 600k this year is max.,2020-01-30 23:15:36+00:00
20,Coronavirus news just obliterated impeachment trial broadcast on Time livestreaming.,2020-01-30 22:30:41+00:00
21,It’ll be coronavirus or World War III.,2020-01-30 22:30:02+00:00
22,"wish the corona virus could just instantly move to people who use the word ""stan"" like please die",2020-01-30 21:55:18+00:00
23,With #coronavirus another pestilence in back #Mao #COVIDー19 #CreepyThingsThatShouldntExist #Covid19 #CoronaVirusUpdates #CoronavirusOutbreak,2020-02-28 22:57:54+00:00
24,#Coronavius #COVID19 #COVIDー19 resources and info via @ACPinternists @AcpCaribbean,2020-02-28 22:18:35+00:00
25,Three graphs on the daily new cases outside China for #COVID19 ,2020-02-28 22:05:30+00:00
26,"Status update on #covid19 / #sarscov2 for 28-Feb-2020, 22:00 UTC",2020-02-28 22:05:29+00:00
27,"""Propensity Probability"", #COVID19 have Large Data ,could #AI statistic base change variable find how its moves around the globe?",2020-02-28 21:45:07+00:00
28,Don't use the google search engine anymore to keep yourself safe from a viral infection! #COVID19 #coronavirus,2020-02-28 21:42:36+00:00
29,"A new experimental antibody test helped disease detectives at Singapore’s health ministry link two clusters of #COVID19 cases, each centered on a church in the city state. http://bit.ly/3adquGJ by @dnormile",2020-02-28 20:43:15+00:00
30,#China against #COVID19 should be #humanity against #COVID2019 too!,2020-02-28 19:48:22+00:00
31,Seems legit. #COVID19 #antivirus,2020-02-28 17:43:23+00:00
32,"@lookner Possible third case in the Netherlands. Child of woman in Amsterdan (2nd case) is reported sick. Investigation on going if the child is also infected. If so, the child's day care will close. #COVID2019 #COVID19",2020-02-28 17:18:21+00:00
33,We explore what #investors should know about the recent developments and market impacts of the #Coronavirus outbreak. #Finance #Investment #covid19 http://bit.ly/2Ta9WKi,2020-02-28 13:54:03+00:00
34,1+ x + x² + x³ + ... = x³² En dan is het over.. #coronavirus #covid19,2020-02-28 13:52:00+00:00
35,Second Dutch person in NL (unconnected to first) confirmed to have contracted #COVIDー19 #COVID19 after visiting Lombardy #coronavirus,2020-02-28 12:07:27+00:00
36,"first they ignore you, then they laugh at you, then they fight you, then you win #coronavirus #коронавирус #COVID19 #SARSCoV2",2020-02-28 10:51:04+00:00
37,@Worldometers 2nd case in Netherlands of #covid19,2020-02-28 10:46:11+00:00
38,"If I catch Covid19, I'm going to a hospital and cough in every doctor's face until I get some help. =)",2020-02-28 10:44:07+00:00
39,"In regards of #COVID19, make sure you eat spicy food once a day. Eating your daily dish with aprox 20k - 50k Scoville units decreases the chance of infection with 48% ",2020-02-28 10:41:16+00:00
40,"2nd case of Dutch #covid19 #Coronavid19 in the #netherlands confirmed. Well, this country is so small, we're all infected by the time I finished writing this tweet.",2020-02-28 10:37:43+00:00
41,New research proves #Coronavirus is lab edited and didnot evolve naturally: https://www.sciencedirect.com/science/article/pii/S0166354220300528 / https://www.naturalnews.com/2020-02-19-covid-19-coronavirus-found-to-contain-gain-of-function-for-efficient-spreading-human-population.html #covid19 #Amsterdam,2020-02-28 10:32:02+00:00
42,"#Dutch officials especially the #Rivm didnot take #Coronavirus serious at all. Carnavals went on, Flights to/From #China went on. while so many citizens complained about the attitude of #Rivm #Covid19 #Amsterdam",2020-02-28 10:26:17+00:00
43,Cryo-EM analysis of a feline coronavirus spike protein reveals a unique structure and camouflaging glycans https://www.pnas.org/content/early/2020/01/02/1908898117 …,2020-01-07 15:57:07
44,ProMed: The novel coronavirus was sequenced from a sample from 1 patient and subsequently found in some of the others affected. Chinese authorities haven't concluded that the strain is the underlying cause of sickness in all the patients http://www.promedmail.org/post/6876648 ,2020-01-08 17:07:51
45,Avian Flu Diary: WSJ Report Links Novel Coronavirus To Wuhan Pneumonia Cluster https://afludiary.blogspot.com/2020/01/wsj-report-links-novel-coronavirus-to.html …,2020-01-08 15:26:01
46,Thread on Wuhan pneumonia cases: presumably a novel coronavirus has been identified (preliminary determination).  https://twitter.com/WHOWPRO/status/1215167436804128776 …,2020-01-09 15:15:24
47,"WURS-CoV  Thus far no casualties, so WURS cases seem to do better than SARS and MERS cases #coronavirus #Wuhan #naminghttps://twitter.com/SmitsLab/status/1215194542976180224 …",2020-01-09 09:00:01
48,It is official: new coronavirus detected in 15 pts in the Wuhan outbreak. Entire genome sequence obtained (deposited where?). No mention yet of name (WARS/WERS-CoV?). Diagnostic PCR primers coming soon (I hope!) https://twitter.com/ProMED_mail/status/1215128079057739783 …,2020-01-09 08:50:50
49,"Initial protocol for detection of Wuhan coronavirus outside China. Further validation ongoing, stay tuned for updates  https://www.who.int/docs/default-source/coronaviruse/wuhan-virus-assay-v1991527e5122341d99287a1b17c111902.pdf?sfvrsn=d381fc88_2 …",2020-01-15 06:34:20
50,"Woman with new coronavirus quarantined in Thailand, 1st case outside China https://www.cbc.ca/news/health/coronavirus-thailand-1.5424811 …",2020-01-14 07:42:24
51,"Surveillance case definitions for human infection with novel coronavirus (nCoV). Interim guidance v1, January 2020 @WHO https://apps.who.int/iris/bitstream/handle/10665/330376/WHO-2019-nCoV-Surveillance-v2020.1-eng.pdf …",2020-01-11 13:00:04
52,"Exactly what crossed my mind. Korean patient also did not visit market. Market maybe only the tip of the iceberg. If we only had serology to probe extent of this outbreak, subclinical cases, etc #Wuhan #coronavirus #nCoV #serology #patiencehttps://twitter.com/SRileyIDD/status/1217780020665556992 …",2020-01-16 15:09:34
53,Some thoughts on the new coronavirus https://www.volkskrant.nl/ts-b370a7c7  via @volkskrant,2020-01-17 13:29:52
54,"Thailand detects 2nd case of 2019-nCov (new coronavirus) 

https://flutrackers.com/forum/forum/-2019-ncov-new-coronavirus/china-2019-ncov/821830-china-41-diagnosed-2019-ncov-new-coronavirus-cases-in-wuhan-hubei-province-december-30-2019-2-fatal-cases-119-under-observation?p=823055#post823055 … h/t Alert, Tetano",2020-01-17 08:12:49
55,Student at Texas A&M University being treated for suspected case of novel coronavirus https://www.click2houston.com/news/local/2020/01/23/brazos-county-investigating-suspected-case-of-novel-coronavirus/ …,2020-01-23 23:59:54
56,Virologist who helped identify SARS on current coronavirus: 'This time I'm scared' https://theweek.com/speedreads/891321/virologist-who-helped-identify-sars-current-coronavirus-time-im-scared …,2020-01-23 23:51:01
57,"Novel Coronavirus that recently emerged in China: The new cluster of viral pneumonia cases originating in Wuhan, China, marks the third time in 20 years that a member of the large family of coronaviruses (CoVs) has jumped from animals to humans and… http://dlvr.it/RNdX8p ",2020-01-23 23:29:32
58,Scientists race to find out how #Wuhan victims became ill. #coronavirus #Chinahttps://www.theguardian.com/science/2020/jan/25/scientists-race-to-find-out-how-wuhan-victims-became-ill-coronavirus?CMP=share_btn_tw …,2020-01-25 23:47:14
59,#coronavirus No victims in Russia yet! Though? pic.twitter.com/6iRQpfFpzJ,2020-01-25 23:46:59
60,Not so cute when you realize she brought the corona virus though is she https://twitter.com/mtrcycledriveby/status/1220920356577464320 …,2020-01-25 23:28:35
61,Watch Live: Coronavirus update from World Health Organization https://www.youtube.com/watch?v=64xY75MlbZ4&feature=share …,2020-01-22 22:52:20
62,"SPREADSHEET: https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6 …    TOTALS: https://docs.google.com/spreadsheets/d/1yZv9w9zRKwrGTaR-YzmAqMefw4wMlaXocejdxZaTs6w/htmlview?usp=sharing&sle=true …
#WuhanCoronavirus #CoronaOutbreak #CoronavirusOutbreak #coronarvirus #coronavirus #coronarovirus",2020-01-27 23:29:30
63,It's just the flu #coronavirus https://twitter.com/BNODesk/status/1226633282365857793 …,2020-02-09 23:52:09
64,"I have gained the title ""dancing coronavirus guy""",2020-02-01 23:35:47
65,Almost no new cases anymore.. this is fantastic news! Unfortunately not have see one video from recovering people who give hope to others. @NCOVNEWS @coronavirus,2020-02-11 23:50:22
66,"Freed from coronavirus quarantine, US evacuees face discrimination http://dlvr.it/RPrrFg ",2020-02-11 23:46:35
67,Ping An Good Doctor reports jump in users amid coronavirus outbreak http://dlvr.it/RPrrFX ,2020-02-11 23:46:34
68,Whats now exactly going on #Iran #Coronavirus #Covid19,2020-02-19 23:27:16
69,Two #Wuhan #Coronavirus cadavers dissected for medical study: Why so late? https://news.cgtn.com/news/2020-02-16/Two-coronavirus-cadavers-dissected-for-medical-study-Why-so-late--O8ybmJ1Jfy/index.html … via @cgtnofficial,2020-02-16 23:33:38
70,Perhaps the only good side of the #coronavirus #COVID19 - the whole World can now see how cruel the SYSTEM in #China truly is. You can't un-see these pictures. You can't say anymore that you were not aware....https://twitter.com/jenniferatntd/status/1228419572749012993 …,2020-02-14 23:57:40
71,The #HongKong hospital founder who raced to Wuhan coronavirus epicentre knowing full well of impending lockdown https://www.scmp.com/news/hong-kong/health-environment/article/3050467/my-presence-needed-wuhan-hospital-founder-hong …,2020-02-14 23:40:33
