,Tweets,Date
0,"#English | According to reports from the Ministry of Health, in Matagalpa, there are no positive cases of the novel Coronavirus. But doctors and residents already speak of dozens of suspected cases and even deaths from Covid-19 ",2020-05-30 21:00:14+00:00
1,Have you coronavirus?,2020-02-12 23:52:15
2,"World is approaching coronavirus tipping point, experts say https://www.theguardian.com/world/2020/feb/23/world-is-approaching-coronavirus-tipping-point-experts-say …",2020-02-23 23:58:35
3,The way he ate that,Sat Jun 13 10:37:19 +0000 2020
4,diloo,Sat Jun 13 10:49:05 +0000 2020
5,"RT @ANI: #WATCH We appointed a team of scientists after #COVID19 outbreak. Firstly, simulation was done&amp;compounds were identified which can…",Sat Jun 13 11:06:49 +0000 2020
6,Make Spain Gay Again 😍👏🏼🏳️‍🌈,Sat Jun 13 12:24:03 +0000 2020
7,Historia,Sat Jun 13 12:45:07 +0000 2020
8,Los shippeo 😍😍😍😭😭,Sat Jun 13 13:29:23 +0000 2020
9,"RT @ElPorvenir: Update!! Thanks to your donations and a matching grant from @OneDaysWages, #ElPorvenir has now distributed over 1,500 mini…",Sat Jun 13 13:45:15 +0000 2020
10,RT @ScienceMagazine: A recent first-of-its-kind study in @SciImmunology suggests that #SARSCoV2 may not spread via fecal-to-oral transmissi…,Sat Jun 13 14:01:52 +0000 2020
11,"RT @nicalone19: According to the government of #Nicaragua, they implemented the Swedish model to manage #COVID19. @guardian @euronews @dwne…",Sat Jun 13 14:33:59 +0000 2020
