,Tweets,Date
0,Here's why coronavirus is being classified as a biological agent - https://www.viralnews.monster/?p=8914,2020-04-29 23:40:00+00:00
1,"The United States and South Korea got their first coronavirus cases on the same day in January. Today, baseball returned in Korea because the country's new covid cases are down to 14 today, vs 24,000 new ones here. https://www.facebook.com/1102103/posts/10101829865636402/",2020-04-29 23:28:46+00:00
2,http://youtu.be/s8DCZBLndxQ video..UP #Europe #Subscribe #Romania #Trendingnow #covid19 #bucharest #cluj #staysafe #uk #russia #france #belarus #Ukraine #France #china #thailand #UAE #italy #india #spain #Belgium #Germany #iran #coronavirus #algeria #stayathome #YouTuber #poland #up,2020-04-29 23:03:02+00:00
3,"Romania's Orban breaches own coronavirus rules, pays fine ",2020-05-30 20:38:15+00:00
4,"Romania's Orban breaches own coronavirus rules, pays fine ",2020-05-30 20:38:15+00:00
5,"Coronavirus Origins, State Dept Emails Revealed, Rudy To Release Docs https://www.youtube.com/watch?v=FoNLE70DJZk&feature=share …",2020-01-23 23:52:57
6,RT @TJRyan_77: Really a must read paper from Mario Molina. Masks do not just help prevent SARS-CoV-2 transmission (we've known that for a l…,Sat Jun 13 08:09:31 +0000 2020
7,RT @Cartoon4sale: Peter Brookes on #BorisJohnson #BritishEconomy #COVID-19 #EndingLockdown #£ #Coronavirus - political cartoon gallery in L…,Sat Jun 13 08:41:30 +0000 2020
8,"RT @EU_Commission: Micro, small and start-up companies face specific challenges as a result of the #coronavirus crisis. 

We have proposed…",Sat Jun 13 08:41:02 +0000 2020
9,"RT @UN_Women: Young people, especially young women, face an insecure future because of #COVID19 impacts.

Empowering them will empower a be…",Sat Jun 13 09:56:47 +0000 2020
10,RT @anytaskofficial: Forget to take your lunch hour this week? You can get apps that lock you out of your computer for 60 minutes. Make sur…,Sat Jun 13 11:00:24 +0000 2020
11,Environment Minister: Coronavirus began with the wildlife trade. Ban the trade in Australia now - Sign the Petition… https://t.co/9zHW486qgH,Sat Jun 13 13:48:56 +0000 2020
12,Russia Closes Border With Iran as Coronavirus Spread Worsens https://www.usnews.com/news/world-report/articles/2020-03-06/russia-closes-border-with-iran-as-coronavirus-spread-worsens?src=usn_tw …,2020-03-06 23:57:42
