,Tweets,Date
0,"Now Fu has admitted no viruses were detected in animal samples. He said they were found only in environmental samples, including sewage – before adding an intriguing aside that ‘the novel #coronavirus had existed long before’. #WuhanLab",2020-05-30 22:08:00+00:00
1,we are all the coronavirus now!!!!!!!!!!!!!!!!!!!!!!,2020-05-30 21:50:16+00:00
2,Best Supplements To Take For Your Mental Health During Coronavirus Crisis : https://news.jobssopportunities.com/best-supplements-to-take-for-your-mental-health-during-coronavirus-crisis/,2020-05-30 21:05:13+00:00
3," Important READ #Infection, #antibioticresistance #coronavirus #Covid_19 #AnimalAg #BigPharma",2020-05-30 20:51:47+00:00
4,Coronavirus: BBC's biz charts [Feb-Apr 2019/20-GWD] visual guide to the worldwide economic impact ,2020-05-30 20:18:05+00:00
5,"I saw something on Twitter, Russian media focused only on Coronavirus and Minneapolis. What NATO said about it? In the end Turkey is a NATO member state.",2020-05-30 20:13:34+00:00
6,keep your throat moist #zombievirus #China #coronavirus ,2020-01-30 23:31:20+00:00
7,First case of new coronavirus in Moscow not confirmed — authorities: https://tass.com/world/1114893 © Taisiya Vorontsova/TASS,2020-01-30 23:09:52+00:00
8,"""There are now 98 #2019nCoV cases in 18 countries outside #China, including 8 cases of human-to-human transmission in four countries: #Germany #Japan, #VietNam and the #UnitedStates “ #WuhanCoronavirus #WuhanVirus #Pneumonia #CoronaVirus #Wuhan #WuhanSARS #WuhanPneumonia",2020-01-30 22:59:38+00:00
9,+ coronavirus is around,2020-01-30 22:42:22+00:00
10,Covid19 ≠ covefefe,2020-02-28 22:06:53+00:00
11,Belarus got one #COVID19 patient. He went home from #Iran,2020-02-28 17:42:25+00:00
12,"Republicans, please stop comparing #COVID19 to the freaking Flu! Concentrate on saving American lives and less the Stock Market! #justathought #COVID19US",2020-02-28 15:39:42+00:00
13,"#Iran after spreading out #coronavirus to several countries, without keep any precautions, found a new way of haircut #covid19 #CoronavirusOutbreak #wohan",2020-02-28 12:07:31+00:00
14,"#Pittsburgh, #SanFrancisco, #NewYork and #LosAngeles #Airports to implement health screenings for novel #coronavirus.",2020-01-18 16:27:23
15,Bats and Snakes Are The Likely Cause of China's Coronavirus. Here's Why http://dlvr.it/RNbZpf ,2020-01-23 23:51:07
16,"@GregMannarino
@seemorerocks
Must watch video: biowarfare against China as part of trade wars by Trump & Neocons including Swine Flu & Corona Virus:

https://youtu.be/VAJsuE4p4FI ",2020-01-28 23:54:38
17,You all joking about the coronavirus but watch it’s ganna get us and we’ll see who’s laughing,2020-01-27 23:40:35
18,The Coronavirus is now in Europe ,2020-01-24 23:47:13
19,Moscow metro threatens to contact police over coronavirus pranks https://www.russianinsight.com/moscow-metro-threatens-to-contact-police-over-coronavirus-pranks/ …,2020-02-07 23:53:19
20,Wish you luck and not getting Corona virus,2020-02-08 23:45:35
21,Coronavirus detected in Russia: What we know so far — Meduza https://meduza.io/en/feature/2020/01/31/coronavirus-detected-in-russia-what-we-know-so-far?utm_source=t.co&utm_medium=share_twitter&utm_campaign=share … via @meduzaproject,2020-02-01 23:41:09
22,Coronavirus Update: Russia Reacts to First Cases https://www.russianinsight.com/coronavirus-update-russia-reacts-to-first-cases-2/ …,2020-02-01 23:38:11
23,Every Indian wants to help them but according to international rules indian government can't help without permission of @PakPMO  we also helped to #Maldivians students #shameonyoupakgoverment #coronavirus https://twitter.com/AlbeliLadki/status/1223598595279994881 …,2020-02-02 23:55:57
24,Coronavirus and vaccines  https://youtu.be/ZQ6G4WQgSRs ,2020-02-02 23:51:25
25,Its Russia! #russia #putin #coronavirus #syria #Venezuela #politics #NATO #Trumphttps://twitter.com/russya24/status/1227673054882430977 …,2020-02-12 23:55:11
26,"A Russian court has ordered Alla Ilyina to be placed back into coronavirus quarantine days after she escaped from a hospital in St. Petersburg
https://www.themoscowtimes.com/2020/02/17/russian-court-orders-escapee-to-return-to-coronavirus-quarantine-a69310 …",2020-02-17 23:44:00
27,Five vaccine prototypes against novel coronavirus developed in Russia https://www.russianinsight.com/five-vaccine-prototypes-against-novel-coronavirus-developed-in-russia/ …,2020-02-26 23:57:46
28,The Chinese government released the experimental coronavirus in an attempt to silence the protests. But that's just a theory.,2020-02-27 23:53:59
29,"Surprise exam:
1.- Spell coronavirus
2.- Make a sentence saying that you need medical assistance. And you need it quick.
3.- Say 5 Pokémon moves in english. Remember is pokemon day!",2020-02-27 23:53:35
30,We all agree victims of the Coronavirus have suffered enough. https://twitter.com/SenShelby/status/1231671542582513665 …,2020-02-23 23:55:51
31,"RT @AFPphoto: #Coronavirus #COVID19 #Italy
Venice comes back to life after lockdown.
📸 Andrea Pattaro #AFP
More pictures on AFP Forum: http…",Sat Jun 13 08:00:53 +0000 2020
32,"RT @Ruptly: Police shut down several residential blocks surrounding a marketplace in #Beijing on Saturday, after 45 of the market's workers…",Sat Jun 13 10:57:47 +0000 2020
33,Or consequences of ... https://t.co/r5lf1jdqTR,Sat Jun 13 11:32:40 +0000 2020
34,"RT @OffGuardian0: Let's be clear - whatever the motivation/good intentions of isolated individuals may have been, the degree of coordinatio…",Sat Jun 13 09:52:55 +0000 2020
35,"RT @BishopLGaiters: Mark Your Calendars For August 1st, 3pm (NYC Time) 7pm (Reykjavik Time) Will Be Special Guest On The RUV RAS 2 Radio Ne…",Sat Jun 13 12:15:30 +0000 2020
36,"RT @StephenMcDonell: In #Beijing a new cluster of #covid19 cases emanating from, wait for it, a seafood market. Footage appears to show hun…",Sat Jun 13 07:51:36 +0000 2020
37,I cannot even imagine the coming tsunami of #plastic #covid19 related #medicalwaste https://t.co/svANRwu3mF,Sat Jun 13 12:32:27 +0000 2020
38,"RT @ANI: #WATCH We appointed a team of scientists after #COVID19 outbreak. Firstly, simulation was done&amp;compounds were identified which can…",Sat Jun 13 11:06:49 +0000 2020
39,Coronavirus Alert: Russian Cossacks Told Not to Kiss Orthodox Icons https://www.russianinsight.com/coronavirus-alert-russian-cossacks-told-not-to-kiss-orthodox-icons/ …,2020-03-02 23:53:11
40,"me, u and the corona virus. let’s call it a date ",2020-03-05 23:57:03
41,China's coronavirus slowdown hits workers in diamond hub Surat https://www.livemint.com/news/india/china-s-coronavirus-slowdown-hits-workers-in-diamond-hub-surat-11583417965020.html …,2020-03-05 23:55:11
42,coronavirus got me fucked up wanting to go to school,2020-03-18 23:58:19
43,coronavirus got me fucked up wanting to go to school,2020-03-18 23:58:19
