,Tweets,Date
0,"The authorities in #SaudiArabia have eased a #coronavirus lockdown in the Qatif region, allowing people to move in and out of the city during daytime hours. ",2020-04-29 23:00:00+00:00
1,Iraq is seeking financial assistance from the US to help the country combat the fallout of coronavirus and plummeting oil revenue ,2020-04-29 22:36:26+00:00
2,Coronavirus Pandemic Update 63: Is COVID-19 a Disease of the Endothelium... https://youtu.be/Aj2vB_VITXQ via @YouTube,2020-04-29 22:51:02+00:00
3,It time to get your ERP #ERP #CRM #Finance #HRM #coronavirus ,2020-05-30 22:49:24+00:00
4,No handshaking to avoid #coronavirus ,2020-05-30 21:58:48+00:00
5,Wowthesalon follow Guidelines given by GHMC and Minister of http://Health.How to reopen salons after Coronavirus lockdown? @wowhyd @hydhttps://blog.letsryl.com/how-to-reopen-salons-after-lockdown/,2020-05-30 21:35:17+00:00
6,Ensure there is a blue authentication mark next to social media accounts that publish news and information during the pandemic #new_coronavirus #COVID_19 ,2020-05-30 21:05:02+00:00
7,"While ANTIFA was busy burning down America to free America from America leaving Americans out of work, robbed, looted and hungry. China's Corona virus count hasn't changed in two months... How can a country with a total pop of 35m out-infect a nation with a population of 1 BN? ",2020-05-30 20:37:28+00:00
8,Adopt official sources to take certified information about the emerging #new_coronavirus pandemic while sharing #COVID_19 ,2020-05-30 20:35:06+00:00
9,"Shisha sessions (hookah) sharing with family and friends increase the chance of transmission of the #new_coronavirus , while sharing the nozzle and hose, besides creating appropriate environment for germs and virus #COVID_19 ",2020-05-30 20:05:03+00:00
10,"Millions of people in the Kingdom of Saudi Arabia are preparing to return to the Masjids/Mosques after more than two months of closure due to the Coronavirus Pandemic. 90,000 masjids/mosques in the Kingdom are preparing to open tomorrow, Sunday, May 31, while maintaining social",2020-05-30 19:57:15+00:00
11,"The #new_coronavirus affects the respiratory system among smokers when exchanging cigarettes, due to contact and contaminated cigarettes of the mouth and lips #COVID_19 ",2020-05-30 19:39:49+00:00
12,Coronavirus: What We Mean When We Say ‘Pandemic’ via @TheTyee,2020-01-30 23:55:25+00:00
13,#CoronavirusOutbreak #coronavirus My Allah save and protect all #Chinese Drs and all medical stuff those who serves the patients. Keep fighting against the virus ,2020-01-30 23:31:03+00:00
14,Coronavirus statistics update... LIVE!! https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6,2020-01-30 22:10:34+00:00
15,Coronavirus: What We Mean When We Say ‘Pandemic’  via @TheTyeehttps://thetyee.ca/Analysis/2020/01/29/Coronovirus-Pandemic-Scary-What-We-Mean/?utm_source=twitter&utm_medium=social&utm_content=013020-2&utm_campaign=editorial-0120 …,2020-01-30 23:55:25
16,US announces first case of Chinese coronavirus near Seattle. https://twitter.com/AFP/status/1219756561150763015 …,2020-01-21 23:24:28
