,Tweets,Date
0,The California hippie town where everybody could get a coronavirus test https://www.motherjones.com/coronavirus-updates/2020/04/bolinas-california-covid-testing/ via @MotherJones,2020-04-29 22:44:37+00:00
1,ICE detainees terrified of coronavirus wanted to be deported. Guards pepper-sprayed them. https://www.motherjones.com/politics/2020/04/ice-detainees-terrified-of-the-coronavirus-wanted-to-be-deported-guards-pepper-sprayed-them/ via @MotherJones,2020-04-29 22:39:34+00:00
2,Cuomo says New York's coronavirus situation is back to where it was 21 days ago https://news.yahoo.com/cuomo-says-yorks-coronavirus-situation-165400904.html?soc_src=hl-viewer&amp;soc_trk=tw via @YahooNews,2020-04-29 22:21:42+00:00
3,"Arkansas coronavirus cases rise by 236, to pass 7,000 total #ARNews #KTLOnews",2020-05-30 21:26:53+00:00
4,RT @karynmaughan: South Africa now ranked 21 in the world for its number of #COVID19 infections. It has most cases in Africa - 20000 more t…,Sat Jun 13 09:53:50 +0000 2020
5,We need to critically examine the impact that would likely to be brought by #Covid19 Specially after this un-confir… https://t.co/gpV9PSl5fg,Sat Jun 13 11:01:03 +0000 2020
6,"RT @unicefssudan: Meet @WaniMichael57 a youth leader in #SouthSudan, who has been wearing a mask before he goes out to into his neighborhoo…",Sat Jun 13 11:16:58 +0000 2020
7,The latest The Real Estate Report! https://t.co/DAl5AMSw2F Thanks to @MichaelFormisa1 @GlobalDMS @HoustonAgentMag #covid19 #realestate,Sat Jun 13 12:48:33 +0000 2020
8,"RT @TheDailyEdge: Fact Check: Joe Biden oversaw the longest period of uninterrupted job growth in HISTORY.

Meanwhile, @realDonaldTrump cau…",Sat Jun 13 13:09:57 +0000 2020
9,NGO CSW64 is cancelled due to #Coronavirus.,2020-03-02 23:57:06
10,"This would be a fantastic response had he been asked to explain anything about the coronavirus. Whether or not the team had travelling concerns because of it is actually a legitimate question. If they're taking precautions, etc. Way for him to take a shot though, lol.",2020-03-04 23:49:42
