,Tweets,Date
0,"Two groups of #Taiwanese have finally returned home after being stranded by the #coronavirus #pandemic. About 30 people arrived last night via a #SouthKorean flight from #India and #Maldives, while 11 more from #SaudiArabia were brought back through cooperation with #Japan.",2020-04-29 23:34:09+00:00
1,Dukes has always been a dirty pit I would avoid. Got some fresh #coronavirus on tap. #COVID19,2020-05-30 21:50:37+00:00
2,"Coronavirus: Risk in UK lockdown easing too soon, warn scientists ",2020-05-30 21:52:35+00:00
3,"@WHO Person-to-person transmission has been seen in at least countries outside #China – Japan , Vietnam &amp; Germany - and Taiwan #coronavirus TAIWAN is NOT a part of China！",2020-01-30 23:55:51+00:00
4,"@WHO Person-to-person transmission has been seen in at least countries outside #China – Japan , Vietnam &amp; Germany - and Taiwan ,USA #coronavirus TAIWAN is NOT a part of China！",2020-01-30 23:53:34+00:00
5,FUNDAMENTALLY /7 Potential Possibilities of #coronavirus /1 Lock Down Hong Kong. ,2020-01-30 23:46:32+00:00
6,Global Battle on Coronavirus (Podcast) ,2020-01-30 22:58:03+00:00
7,"FUNDAMENTALLY /6 ALL Chinese have read the same kind of books, and know how to deal with the Hong Kong Rioters. This is WHY I said The Current #coronavirus is A MOBILIZATION against The Washington Swamp plus their RUNNING DOGS including major US Media. ",2020-01-30 22:43:32+00:00
8,"@WHO Person-to-person transmission has been seen in at least countries outside #China – Japan , Vietnam &amp; Germany - and Taiwan #coronavirus TAIWAN is NOT a part of China. ",2020-01-30 22:10:44+00:00
9,The Tourism Bureau says the suspension of tours to China imposed on local travel agencies will be extended until the end of February amid an increase in the number of 2019 coronavirus cases.,2020-01-30 21:32:52+00:00
10,Health Minister Chen Shih-chung says authorities have confirmed Taiwan's second domestic case of the 2019 novel coronavirus.,2020-01-30 21:31:51+00:00
11,Japan now has 233 #COVID19 cases and 11 deaths. The Diamond Princess cruise ship docking over Yokohama has 705 cases in total. ,2020-02-28 20:03:29+00:00
12,"Italy now has 888 #COVID19 cases, 21 deaths and 46 patients have been discharged. A professional football player has been tested positive for the virus. ",2020-02-28 19:56:20+00:00
13,Covid19 fears are determined to tear my family apart. Thankfully my dad has a clearer head.,2020-02-28 17:31:18+00:00
14,"Bahrain recorded 3 more #COVID19 cases, bringing the total number of cases to 36. ",2020-02-28 14:57:52+00:00
15,"Meanwhile, Spain now has 32 confirmed #COVID19 cases and 29 of the patients have history related to an area of outbreak but three patients’ transmission history is unclear. ",2020-02-28 14:45:26+00:00
16,More on #COVID19 - Mexico reported its first two cases today. ,2020-02-28 14:44:05+00:00
17,"One more citizen journalist in #China is missing, source from Kcriss Li 李澤華's channel: http://youtu.be/np8ZOQATLGY #CoronavirusOutbreak #coronavirus #COVID19 #Wuhan",2020-02-28 14:40:44+00:00
18,Hong Kong added 1 more #COVID19 case and bring the total number to 94. ,2020-02-28 13:56:28+00:00
19,France recorded 3 more #COVID19 cases following a major jump of 20 cases the previous day. The country now has 41 cases. ,2020-02-28 13:54:31+00:00
20,Indian School Teacher in Shenzhen Becomes First Foreigner to Contract Coronavirus in China https://flip.it/WiTunQ ,2020-01-19 23:42:38
21,China coronavirus: Washington asks Beijing for permission to send health team to China https://www.scmp.com/news/china/article/3047967/china-coronavirus-washington-asks-beijing-permission-send-health-team …,2020-01-28 23:43:59
22,"@WHO Person-to-person transmission has been seen in at least  countries outside #China – Japan  , Vietnam  & Germany  - and Taiwan  #coronavirus

TAIWAN is NOT a part of China！",2020-01-30 23:55:51
23,"FUNDAMENTALLY /7
Potential Possibilities
of #coronavirus /1
Lock Down Hong Kong. pic.twitter.com/mhBrAwBsu5",2020-01-30 23:46:32
24,Transportation shut down in city where new coronavirus originated https://www.theverge.com/2020/1/22/21077545/coronavirus-transportation-shut-down-wuhan-china-who-emergency-public-health?utm_campaign=theverge&utm_content=entry&utm_medium=social&utm_source=twitter … via @Verge,2020-01-22 23:29:06
25,"Hong Kong faces a public health emergency at a time when the city’s trust in their leaders to deal with it is at an all-time low, explains @holmeschan_ #HongKong #coronavirus https://www.telegraph.co.uk/global-health/science-and-disease/hong-kong-virus-lockdown-reminds-dark-days-sars/ …",2020-01-27 23:42:46
26,".@WHO: “There is no particular treatment for Coronavirus, but it doesn’t mean that you cannot treat people” #coronavirus https://twitter.com/NEJM/status/1220833179696816129 …",2020-01-24 23:38:36
27,"Stigmatization of #COVID19 naming - I’ve posted about this before but I’m doing it here again. After @WHO officially designated a name for the disease caused by #coronavirus, #Taiwan’s CDC announced that officially, it will go with the name created by ...https://www.google.com.tw/amp/s/www.thenewslens.com/amparticle/131115 …",2020-02-12 23:47:18
28,"1/ Because, 
- If it was the PRC (China)
that started
the #coronavirus outbreak,
the PRC must have obtained
the antidote /ANTI-ENZYME
before the outbreak 
to win the Warfare against 
the Washington Swamp.
- It's not clear
what's the motive of
the Washington Swamp. pic.twitter.com/Etv6FA2fb3",2020-02-18 23:34:52
29,I Flew to See My Parents and Ended Up in Coronavirus Quarantine http://dlvr.it/RQDZBs ,2020-02-17 23:30:33
30,Uncertainty Surrounding Coronavirus Similar to Category 6 Hurricane: Loews CEO http://dlvr.it/RQy6GK ,2020-02-28 23:55:02
31,"Sound On: Markets and Coronavirus, SC Primary Preview (Podcast) http://dlvr.it/RQy6Ff ",2020-02-28 23:55:02
32,Coronavirus' International Spread http://dlvr.it/RQYsp9 ,2020-02-22 23:42:32
33,"RT @StephenMcDonell: In #Beijing a new cluster of #covid19 cases emanating from, wait for it, a seafood market. Footage appears to show hun…",Sat Jun 13 07:51:36 +0000 2020
34,"🙍🏻‍♂️😛  @JLin7 did the 2nd COVID-19 testing on June 12 to prepare for CBA restart. 
The CBA asked each team has to… https://t.co/to3gidcnNt",Sat Jun 13 13:45:36 +0000 2020
35,RT @ScienceMagazine: A recent first-of-its-kind study in @SciImmunology suggests that #SARSCoV2 may not spread via fecal-to-oral transmissi…,Sat Jun 13 14:01:52 +0000 2020
36,What Taiwan can teach the world on fighting the coronavirus https://www.nbcnews.com/health/health-news/what-taiwan-can-teach-world-fighting-coronavirus-n1153826 … via @nbcnews,2020-03-10 23:57:25
37,"2020
January : almost world war 3, kobe
February : Coronavirus started everywhere
March : Coronavirus is pandemic and many football league are suspended

what a year https://twitter.com/guardian_sport/status/1238104148693966849 …",2020-03-12 23:58:07
38,Coronavirus has emptied flights. It could end up changing flying for ever https://www.theguardian.com/business/2020/mar/15/coronavirus-airlines-emptied-flights-changing-flying …,2020-03-15 23:59:23
39,"ATS2020 international conference CANCELLED!
Taiwan has foreseen the need to preserve healthcare manpower, and banned medical professionals from traveling overseas back in February anyway. 
#COVID2019 #coronavirus https://twitter.com/atscommunity/status/1240385294081368068 …",2020-03-20 23:59:30
40,France's coronavirus lockdown: What you can and can't do http://f24.my/6IHB.T  via @FRANCE24,2020-03-17 23:57:01
41,"ATS2020 international conference CANCELLED!
Taiwan has foreseen the need to preserve healthcare manpower, and banned medical professionals from traveling overseas back in February anyway. 
#COVID2019 #coronavirus https://twitter.com/atscommunity/status/1240385294081368068 …",2020-03-20 23:59:30
42,Coronavirus has emptied flights. It could end up changing flying for ever https://www.theguardian.com/business/2020/mar/15/coronavirus-airlines-emptied-flights-changing-flying …,2020-03-15 23:59:23
