,Tweets,Date
0,It’s 110 outside fam. Lol @coronavirus,2020-05-30 23:33:11+00:00
1,More imported cases are going to happen... coronavirus is still happening outside.,2020-05-30 23:23:43+00:00
2,This coronavirus got me drinking modelo now.,2020-01-30 23:58:42+00:00
3,Japan and Thailand Confirm New Cases of Chinese Coronavirus https://nyti.ms/388fWrq ,2020-01-19 04:52:57
4,"I sat down on break and watched the news for 10 minutes and I found out : Jeff Bezos may have been hacked by a Saudi Prince, Coronavirus is gonna kill everyone l, and trump wishes he could be at his impeachment trials. Like what’s going on",2020-01-22 23:42:53
5,Tourism Minister: Coronavirus precautions in place as visitors arrive @rmitchellsfe @newsgovttpic.twitter.com/e9wgK1Mk6b,2020-01-22 23:27:20
6,Coronavirus? Bet you I won’t drink them shits nomore. https://twitter.com/NPR/status/1219695146259841024 …,2020-01-21 23:59:26
7,Wuhan Coronavirus: China shuts down Disneyland and 14 cities https://www.dailymail.co.uk/health/article-7923913/Shanghai-Disney-closed-Saturday-help-prevent-spread-virus.html …,2020-01-24 23:31:41
8,"These Muslims are more deadly than CORONA Virus. Only Chinese know how to cure them... Call Xi, please...... https://twitter.com/rose_k01/status/1222599989517418496 …",2020-01-29 23:53:09
9,"Wuhan coronavirus: China cases overtake SARS, as virus spreads worldwide - CNN https://www.cnn.com/2020/01/28/asia/wuhan-coronavirus-update-jan-29-intl-hnk/index.html … … 
#coronarovirus #coronavirus #CoronavirusOutbreak #CORONAVIRUSFRANCE #CoronaOutbreak",2020-01-29 23:52:07
10,I hope is the Coronavirus u have yes https://twitter.com/jamescharles/status/1224584130236575744 …,2020-02-04 23:53:06
11,Trinidadians Tobagonians PNM UNC COP : Postpone 2020 Trinidad and Tobago carnival due to the coronavirus. - Sign the Petition! http://chng.it/pG6WFjtB  via @Change,2020-02-06 23:49:30
12,"Another Jim Traynor special, Scottish football’s very own Coronavirus.",2020-02-17 23:56:35
13,They are all infected by the Corona Virus.. must move out for the good of others ... https://twitter.com/RanaAyyub/status/1233307564194091008 …,2020-02-28 23:51:41
14,@suneelwattal @covid19indiaorg @COVIDKashmir @HaryanaUpd @YBISL @CoronaUpdates9 @BollyNumbers @ShamikaRavi… https://t.co/3uUDrva5TE,Sat Jun 13 11:05:48 +0000 2020
15,"🔥🔥🔥@AniaKinski🔥🔥🔥
See more --&gt; https://t.co/4dLvfW13IF
donate via #Ethereum address 0xcfeCd7799669e1d55aF3101122Ad4… https://t.co/nDrb1p9HHJ",Sat Jun 13 11:20:40 +0000 2020
16,"RT @fembeauties: 🔥🔥🔥@AniaKinski🔥🔥🔥
See more --&gt; https://t.co/4dLvfW13IF
donate via #Ethereum address 0xcfeCd7799669e1d55aF3101122Ad41556862…",Sat Jun 13 11:24:40 +0000 2020
17,RT @JoeThompsonMD: Arkansas’s record one-day increase of 731 new #COVID19 cases underscores the need for responsible behavior. If you walk…,Sat Jun 13 10:55:27 +0000 2020
18,RT @CDCgov: CDC recommends using an EPA-registered household disinfectant to protect against the virus that causes #COVID19. Visit the @EPA…,Sat Jun 13 11:01:51 +0000 2020
19,The response from most of the schools operating under the management of the Ministry of Education has been desultor… https://t.co/xd4CIAKVSj,Sat Jun 13 13:15:27 +0000 2020
20,The response from most of the schools operating under the management of the Ministry of Education has been desultor… https://t.co/BDSrgicsQn,Sat Jun 13 13:15:28 +0000 2020
21,"Gober #COVID19 research by Thali &amp; Taali school of thought🤣😂👇👇👇
https://t.co/uiy8jo3jXP https://t.co/FF1Ukg14mP",Sat Jun 13 13:22:47 +0000 2020
22,"RT @MOH_TT: 📺 Media Conference Alert 📺

The Ministry of Health will host a virtual media conference tomorrow Saturday 13 June 2020 at 11: 0…",Sat Jun 13 13:46:56 +0000 2020
23,What countries have been affected by the Novel coronavirus? How many cases are there in China? Real-time updates on the number of cases worldwide. https://infographics.channelnewsasia.com/covid-19/map.html … via @ChannelNewsAsia,2020-02-25 23:59:30
24,Stop the Coronavirus plz. Thx bro,2020-03-01 23:44:17
25,"Agriculture Minister Clarence Rambharat and Economist Dr. Kevin Fleary discuss the impact of Coronavirus on T&T.

http://ow.ly/xVjo50yEfXf ",2020-03-05 23:57:18
26,How DJs -- and Insurance Companies -- are Handling Coronavirus Cancellations https://www.djtimes.com/2020/03/how-djs-and-insurance-companies-are-handling-coronavirus-cancellations/ …,2020-03-12 23:57:39
27,@PharmaFactz which drug is used to treat CoronaVirus?,2020-03-15 23:59:43
28,@PharmaFactz which drug is used to treat CoronaVirus?,2020-03-15 23:59:43
