,Tweets,Date
0,Studies leave question of ‘airborne’ coronavirus transmission unanswered ,2020-04-29 23:59:52+00:00
1,"10) ""Project BioShield & The PREP Act ~ Legislation for Mass Adult Vaccination w Dr Sherri Tenpenny"" on YouTube https://youtu.be/zbE4Q9J-4Lw #COVID19 #coronavirus",2020-04-29 23:58:30+00:00
2,Meet a nurse practitioner and refugee fighting the coronavirus https://www.rescue.org/article/meet-nurse-practitioner-and-refugee-fighting-coronavirus via @RESCUEorg,2020-04-29 23:54:40+00:00
3,How Trump is exploiting the coronavirus chaos to hoard power and benefit personally ,2020-04-29 23:54:20+00:00
4,I saw some RT the White House is selling a coronavirus coin,2020-04-29 23:49:28+00:00
5,CNN: #LasVegas called “ground zero” for economic damage. #coronavirus #COVID19,2020-04-29 23:48:21+00:00
6,via @NYTimes - Funny. We should discuss this on a http://kosher.sex talk on @Facebook.. Should women dress up during coronavirus if they don’t leave home? ,2020-04-29 23:47:14+00:00
7,"4) ""THE FULLERTON INFORMER GOES ON JEFF RENSE TO TALK 5G, WIRELESS, AND ALL THE OTHER AGENDAS."" on YouTube https://youtu.be/Aj9n8fz4TwY #COVID19 #coronavirus #lockdownextension #5GKILLS #5GCoronavirus #5G",2020-04-29 23:42:28+00:00
8,"UPDATED: Nigeria’s coronavirus cases reach 1,728, fatalities 51 ",2020-04-29 23:42:21+00:00
9,"CORONAVIRUS UPDATES - Women are less likely to contract the novel coronavirus due to the presence of estrogen in their bodies, according to Dr. Ebru Karpuzoğlu, a Turkish specialist in molecular medicine and immunology at the University of Georgia. #Turkey https://www.duvarenglish.com/health-2/coronavirus/2020/04/29/women-less-likely-to-catch-coronavirus-due-to-estrogen/",2020-04-29 23:40:00+00:00
10,"We need this song, more than ever, right now. (One person’s negligence could easily lead to another’s death!) https://youtu.be/tnPkEyP_Tzg #COVID19 #coronavirus #ThemeSong #America #Pandemics",2020-04-29 23:37:58+00:00
11,'About 60%' of #WestPoint cadets being forced to listen to #Trump's #bullshit rambling could have the #coronavirus. #usmilitary #deadamericans #covid19 @gop @housegop @senategop @mike_pence #MikePenceIsAnIdiot #parasite @realdonaldtrump #trumptard #gop,2020-04-29 23:33:57+00:00
12,"I'll tell you this... As an essential employee right now during the #coronavirus, though my hours are horrible and I'm doing work I don't typically do, the hazard pay has been good. No time to spend it. Nor do I really have anything I want to spend it on.",2020-04-29 23:27:52+00:00
13,"Guys, the canine coronavirus vaccine targets a strain that causes diarrhea in dogs. It does not target the strain that's causing COVID-19. No one is keeping the miracle cure from you in the form of a dog vaccine...",2020-04-29 23:25:58+00:00
14,#Woman Who Fed #Husband #FishTankCleaner and Blamed #Trump Now Under #investigation For #Murder https://www.youtube.com/watch?v=KY6bq0cSGrs #WandaLenius #chloroquine #coronavirus #COVID__19 #CCPVirus_Coronavirus #USA #news #Wednesday #wednesdaymorning @HeidiNBC,2020-04-29 23:25:12+00:00
15,"‘What the f*ck’ — Elon Musk goes off on coronavirus on Tesla earnings call, ‘Give people back their god damn freedom’ ",2020-04-29 23:21:54+00:00
16,WHY IN THE FUCK WOULD ANYONE WANT A CORONAVIRUS COIN?!! &amp; PAY $100 FOR IT ,2020-04-29 23:19:31+00:00
17,One month into quarantine #coronavirus #COVID19 #StayHome,2020-04-29 23:19:24+00:00
18,How China is planning to stop a second wave of coronavirus https://www.weforum.org/agenda/2020/04/china-covid-19-second-wave-prevention/ via @wef,2020-04-29 23:09:16+00:00
19,"#Coronavirus—Adult Social Care #ActionPlan https://www.gov.uk/government/publications/coronavirus-covid-19-adult-social-care-action-plan Plan applies to all settings &amp; contexts in which people receive adult #socialcare. This includes people’s own homes, #ResidentialCareHomes &amp; #NursingHomes, and other community settings #COVID19 #Quarantine #NHS",2020-04-29 23:08:59+00:00
20,I have a feeling that the Coronavirus is going to disappear very quickly now! ,2020-04-29 23:05:28+00:00
21,"Before Coronavirus, Dr. Fauci said this years FLU season would be one of the deadliest in decades. Ingraham: Are Americans starting to tune out blue state politicians? ",2020-04-29 23:04:53+00:00
22,NYC Michelin-Starred Restaurants Still Open During Coronavirus http://dlvr.it/RVjllv,2020-04-29 23:04:32+00:00
23,California Doctors Dan Erickson and Artin Massihi Speaking the Truth from their Vast Experience Working with Patients for Decades... #coronavirus Medical Facilities Overwhelmed by Influenza in 2017! If you need a ventilator you're most likely dead anyhow. ,2020-04-29 23:03:48+00:00
24,Say what you want about my governor but at least he didn't sacrifice the people of his most populated city to the #CoronaVirus in the name of the liberal agenda and a possible shot at the presidency. ,2020-04-29 23:03:37+00:00
25,Media Watchdog Names Sean Hannity as a Chief Source of Coronavirus Misinformation ,2020-04-29 23:01:49+00:00
26,The only planet Earth is among the planets ready for human existence. Do scientists have a solution to this human catastrophe that has affected the world that there will be another planet to live in? #COVID19 #coronavirus,2020-04-29 22:57:03+00:00
27,'You all absolutely did this': Rutgers professor blames Trump supporters for coronavirus deaths #SmartNews. BRITTANY COOPER.....really?,2020-04-29 22:53:32+00:00
28,Fake story again. True story: Wife poisoned her husband with fish cleaner. MSM said President Trump said to drink tank cleaner to stop Coronavirus so married couple drinks it. https://youtu.be/8W4cp2Rj-dM via @YouTube,2020-04-29 22:51:51+00:00
29,"It is hard being in quarantine when you are a big dicked, chick magnet like I am. Is deep dicking the ladies an essential service. #COVID19 #coronavirus",2020-04-29 22:51:11+00:00
