,Tweets,Date
0,How you became Africa American (roots) poetic #America #coronavirus ,2020-04-29 23:10:25+00:00
1,#Uganda Confirms 84 New #COVID19 Cases To Push Total To 413 Cases http://healthnews.co.ug/index.php/news/item/379-uganda-confirms-84-new-covid-19-cases-to-push-total-to-413-cases #coronavirus ,2020-05-30 22:37:21+00:00
2,"Lol, death is an easy way out, give him the corona virus and let him heal to infect him again ",2020-05-30 22:36:45+00:00
3,"Lol, death is an easy way out, give him the corona virus and let him heal to infect him again, thanks ",2020-05-30 22:36:27+00:00
4,"COVID-19: Uganda Registers 84 New Cases, Total Shoots To 413 #COVID19 #COVID__19 #covid19ug #StayAlert #StaySafeUG #StaySafeSaveLives #StayAlert #CoronaUpdates #Covid19UK #StayHomeStaySafe #StayHomeSaveLives #COVIDIOTS #COVIDWebinarsUG #coronavirus ",2020-05-30 22:36:07+00:00
5,"Really, but I don't know why more #coronavirus cases are reported when president is soon to address the Nation? Someone May be behind this big thing #BBSOmudigido #BBSOmudigido #BBSOmudigido #BBSOmudigido",2020-05-30 22:36:01+00:00
6,@MinofHealthUG says 84 new cases!! #COVID__19 #COVID19 #coronavirus #News #Uganda #WhisperEyeUpdates,2020-05-30 22:29:40+00:00
7,"I used to update my parents on the corona virus cases till the numbers stopped adding up. I just tell them, we shall be fine ",2020-05-30 22:17:58+00:00
8,84 new cases today. It is time for Ugandans to face #coronavirus head-on.,2020-05-30 22:16:18+00:00
9,#Uganda records highest single-day #COVID19 case spike as #Rwanda registers first #coronavirus death. Full #Africa report here: https://observer.ug/news/headlines/65040-uganda-records-its-highest-new-covid-cases-as-rwanda-registers-first-death,2020-05-30 22:15:14+00:00
10,Coronavirus is here to stay so we are having party time #NTVDanceParty,2020-05-30 22:14:58+00:00
11,84 new #COVID19 cases confirmed and it's not #coronavirus trending but @nbstv #NBSSNL and @ntvuganda #NTVDanceParty @cindysanyu with her amazing #ClubBeatzAtHome show that was on @ClubPilsener which she killed.. #Nansana Guess we are tired of sickness. #IfWeDieWeDie https://twitter.com/GalaxyFMUg/status/1266851074490732547,2020-05-30 22:05:28+00:00
12,Those ones are safe from Corona Virus as long as they are out there,2020-05-30 20:13:35+00:00
13,@WHO @WHOUganda says #coronavirus #africa,2020-05-30 19:55:45+00:00
14,The global spread of the coronavirus. DETAILS http://bit.ly/37BXMyq,2020-01-30 21:30:00+00:00
15,Dr Muwanga the Hospital Director Informs the media of the facility’s readiness to manage #COVID19 ,2020-02-28 09:13:57+00:00
16,"The Minister of Health, @JaneRuth_Aceng leads a team of @MinofHealthUG officials, @WHOUganda @tegegny, CDC Director, Lisa Nelson have toured Entebbe RRH- one of the designated isolation centers for #COVID19 to assess the level of preparedness of the facility. ",2020-02-28 09:13:50+00:00
17,@MOHUg_PHEOC @WHOUganda @JaneRuth_Aceng @olaro_charles @ainbyoo @jacob_ampeire @MinofHealthUG Updates on #WuhanPneumonia #coronavirus https://twitter.com/cmyeaton/status/1215784765078548485 …,2020-01-11 00:48:38
18,Novel Coronavirus – Thailand (ex-China) https://www.who.int/csr/don/14-january-2020-novel-coronavirus-thailand-ex-china/en/#.Xh-xgICVcKs.twitter …,2020-01-16 00:44:39
19,Laboratory testing for 2019 novel coronavirus (2019-nCoV) in suspected human cases http://ow.ly/ev1130qa9Ar ,2020-01-17 06:40:15
20,You  are all being emotional.  If there is a coronavirus outbreak in Kampala will u build a hospital in 48hrs? Let those people have a better chance of survival there than bringing the virus home,2020-02-06 23:55:01
21,Bismillah! Eyes &amp; Ears on ground.....@ubctvuganda @StartvUganda @MagiconeTv #COVID19 #Covid19Uganda #coronavirus… https://t.co/BNGli2lxCV,Sat Jun 13 07:57:56 +0000 2020
22,"RT @SkyNews: ""Please, for the sake of your health and of your friends and families, don't attend mass gatherings.""

Transport Secretary Gra…",Sat Jun 13 08:01:05 +0000 2020
23,@WorldVisionUg Musinguzi Moses: You find that home is sometimes not conducive for learning. Some children have lost… https://t.co/7bUI8tnkw1,Sat Jun 13 09:54:40 +0000 2020
24,"RT @OlivielOfficial: We shall be reading your comments in a few.
#NBSYouthVoice",Sat Jun 13 10:01:41 +0000 2020
25,"RT @EYnews: In a post #COVID19 landscape, boards must proactively work with management to address issues they did not as major immediate or…",Sat Jun 13 10:02:43 +0000 2020
26,"RT @IMFNews: .@KGeorgieva will join @GLOBSEC, @Bruegel_org and @i_montaigne on Monday, June 15 at 10:30AM ET (4:30PM CET) for a conversatio…",Sat Jun 13 10:05:04 +0000 2020
27,RT @willswanson: Story by @Nicholasbariyo with my pics in this piece on the impact of #covid19 on East Africa’s trade network https://t.co/…,Sat Jun 13 10:05:34 +0000 2020
28,"RT @CovidFoodFuture: 📌It is unrealistic to expect all households to become fully self sufficient, it is possible to meet family needs for s…",Sat Jun 13 10:11:00 +0000 2020
29,RT @UNFPAUganda: We @GlobalSpotlight and @UNinUganda are mindful that many of our friends and partners living with disabilities are struggl…,Sat Jun 13 10:16:54 +0000 2020
30,#UOT ARE YOU LISTENING!!,Sat Jun 13 10:18:06 +0000 2020
31,"For only 30 $ you can feed a family of 4 people for a full month with #Food 10kgs beans and 25kgs Maize floor,… https://t.co/WIdSxWffvO",Sat Jun 13 10:19:23 +0000 2020
32,"RT @UNFPAUganda: In the spirit of leaving no one behind, @UNFPAUganda has supported Moroto district with an assortment of #SRH supplies for…",Sat Jun 13 10:22:15 +0000 2020
33,RT @nzeyokana: Let me just leave this here. @MinofHealthUG.,Sat Jun 13 10:24:46 +0000 2020
34,"RT @drdavidsamadi: The WHO is now announcing that asymptomatic transfer of #COVID19 is rare.

This is a complete turnaround from their init…",Sat Jun 13 10:09:23 +0000 2020
35,"RT @BuffaloSoldierA: Nakasero Hospital - Temporary Salary Reductions:
1-Jun 2020 to 31-Aug 2020 (3 months)
#COVID19  #Uganda 

All hospital…",Sat Jun 13 10:57:30 +0000 2020
36,RT @ObunuziReal: #Covid19 we bind you in the name of Jesus. Get out of Uganda. Out of Africa. Out of the world. You have overstayed your ti…,Sat Jun 13 11:10:19 +0000 2020
37,"RT @UNAIDS: Mark your calendars!

Next week @Winnie_Byanyima will join @alexawiti, @cobbo3 and @njokichege for a discussion about the impac…",Sat Jun 13 10:49:08 +0000 2020
38,RT @anytaskofficial: Forget to take your lunch hour this week? You can get apps that lock you out of your computer for 60 minutes. Make sur…,Sat Jun 13 11:00:24 +0000 2020
39,This woman should be sacked,Sat Jun 13 11:38:03 +0000 2020
40,After the president talked about fake coronavirus positive cases now cases are low. #COVID19UG,Sat Jun 13 11:46:37 +0000 2020
41,RT @WBG_SocialDev: The World Bank continues to prioritize the resilience of communities in the global fight against #COVID19. Follow us for…,Sat Jun 13 12:01:49 +0000 2020
