,Tweets,Date
0,"Pfluger: Asks Conaway about Chinese direct investment, “alleged coverups of coronavirus”, asks for response to recent articles on both. 14/x",2020-04-29 23:27:31+00:00
1,"I called in to August Pfluger’s tele-town hall with Mike Conaway on coronavirus. Join me at 877-729-8493, code: 119522. I was just going to listen, but Mike Conaway has already blamed China 4 minutes in, so here’s a live-tweet thread: 1/x",2020-04-29 23:10:50+00:00
2,"Some news from Asia. #coronavirus
#coronaviruspneumonia #chinanews #wuhan20199https://www.ecdc.europa.eu/en/news-events/update-cluster-pneumonia-cases-associated-novel-coronavirus-wuhan-china-2019 …",2020-01-15 05:21:58
3,WHO Does Not Rule Out Human to Human Spread of New Coronavirus https://vidkryta.com/opinions/2020/01/18/who-does-not-rule-out-human-to-human-spread-of-new-coronavirus.html …,2020-01-18 13:55:08
4,#Wuhan will be on full carantine now due to #coronavirus . https://twitter.com/aldin_ww/status/1220063531002929162 …,2020-01-22 22:30:45
5,"#coronavirus #gretinism RED QUEEN // GTCA
----
More than 2700 posters by Anton Myrzin aka Paperdaemon here: http://bit.ly/paperdaemon pic.twitter.com/QR3Z3TwPXg",2020-02-08 23:52:44
6,RT @LouiseSaward: I never did post the final version of this. #portraits #COVID19 #coronavirus #Watercolour #watercolorpainting https://t.c…,Sat Jun 13 08:55:48 +0000 2020
7,"RT @UNICEFSocPolicy: #COVID19 pandemic is expected to push 100 million more people into extreme poverty. 

As of Jun 12, 195 countries have…",Sat Jun 13 10:28:04 +0000 2020
8,RT @fotograhper: @octagon_game_st this game is mad(amazing) #LiveAtLunchxBrightWin #Chernobyl #BreakingNews #14deAbril #COVID19 #sophieNdab…,Sat Jun 13 10:50:00 +0000 2020
9,"RT @autoimmunitymd: Patients with very severe #COVID19 #pneumonia in conjunction with autoimmune diseases might face challenges, in particu…",Sat Jun 13 11:58:22 +0000 2020
10,RT @CGTNOfficial: Beijing shuts wholesale market linked to seven new #COVID19 cases https://t.co/pU2Ob8lgsJ,Sat Jun 13 13:40:47 +0000 2020
11,"Hmmm; Coronavirus is often used by travel companies to cancel routes forever, which were not profitable even before the Coronavirus",2020-03-02 23:55:19
