,Tweets,Date
0,"Bro wtf. All this rioting and marching, did we cure coronavirus?!",2020-05-30 23:30:46+00:00
1,"Some smart person needs to model the economic consequences of the Chinese Plague.
#coronavirus",2020-02-15 23:32:55
2,"Say goodbye to ""The Love Boat"". #coronavirus https://twitter.com/genteonline/status/1229550390372335616 …",2020-02-17 23:41:06
3,"Remember when your mom told you that ""fresh air"" was healthful. Well we are re-learning that lesson. Stale air can kill you.
#coronavirus",2020-02-17 23:26:19
4,Trump needs to put the #coronavirus under a czar such as Pence. Fire the head of the CDC. https://twitter.com/kr3at/status/1231361748873158656 …,2020-02-22 23:37:05
5,"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…",Sat Jun 13 10:14:30 +0000 2020
6,"RT @PeterHotez: Looking like any hope for high temps, humidity, sunlight to mitigate #covid19 not working for us, at least in this first wa…",Sat Jun 13 11:49:52 +0000 2020
7,Have to be smart! Let the March continue and let’s see what else will happen,Sat Jun 13 13:56:07 +0000 2020
8,"We should follow Italy’s lead on this, end community spread. stop letting corporate America run the show #Coronavirus",2020-03-09 23:57:39
9,@ErinBurnett It will  be interesting if European countries put a ban on  Trump because he was exposed to Coronavirus.,2020-03-12 23:57:25
10,"#coronavirus update:

FLA Rep @MarioDB becomes first member of congress to test positive for #COVID19 

Our thoughts and prayers are with him at this time.

#COVID2019 #covid #bluekeyrxhttps://twitter.com/MarioDB/status/1240409251471937537 …",2020-03-18 23:57:19
