,Tweets,Date
0,Does anyone else feel like they’re aging by years over the last 2-3 months? I swear my crows feet have doubled! #coronavirus #quarantine #lockdown #gettingold #crowsfeet,2020-04-29 23:23:51+00:00
1,Wall Street rallies on promising coronavirus drug ,2020-04-29 23:20:21+00:00
2,"On a day of economic gloom, scientists offered a ray of hope: the first effective treatment against the coronavirus. Get a recap of important developments in the COVID-19 crisis. https://missoulian.com/news/national/virus-in-brief-what-is-remdesivir-experimental-drug-proves-effective-in-early-tests-heres-the/article_fd4f08e5-9bed-5e91-8a9e-ef786065284f.html#utm_campaign=blox&amp;utm_source=twitter&amp;utm_medium=social",2020-04-29 22:15:29+00:00
3,The massive protests sweeping across U.S. cities following the police killing of a black man in Minnesota have sent shudders through the health community and elevated fears that the huge crowds will lead to a new surge in cases of the coronavirus. ,2020-05-30 23:30:00+00:00
4,Coronavirus excess deaths: UK has one of highest levels in Europe ,2020-05-30 20:13:02+00:00
5,Covid-19 killer! #COVID19 ,2020-02-28 20:46:40+00:00
6,Chinese report says illnesses may be from new coronavirus https://apnews.com/1565541fb13b6a2f0c871e0eae02bd7d …,2020-01-09 18:11:47
7,"Health authorities in the central Chinese city of Wuhan on Saturday reported the country's first death from a new type of coronavirus. 
https://nbcmontana.com/news/nation-world/china-reports-1st-death-from-new-type-of-coronavirus …",2020-01-11 21:47:54
8,Coronavirus: more cases and second death reported in China | World news | The Guardian https://www.theguardian.com/world/2020/jan/17/corona-second-death-in-china-after-sars-like-outbreak?utm_term=RWRpdG9yaWFsX0d1YXJkaWFuVG9kYXlVS19XZWVrZW5kLTIwMDExOA%3D%3D&utm_source=esp&utm_medium=Email&CMP=GTUK_email&utm_campaign=GuardianTodayUK …,2020-01-18 13:30:15
9,"Stocks end mixed, with earnings reports offset by lingering coronavirus worries https://on.mktw.net/3aRALtf ",2020-01-29 23:53:52
10,Sure he has warned about the coronavirus.....Bill Gates the SOCIOPATH helped create the virus!!! How bout he and his family vaccinate themselves!!!,2020-01-29 23:43:16
11,"Maybe stating the obvious, but if #stocks get smashed on #coronavirus fears, it could be the perfect chance to buy shares of unaffected businesses on the cheap.

So, what stocks would you want to buy on such a pullback?",2020-01-26 23:33:48
12,Fake Facts Are Flying About Coronavirus. Now There's A Plan To Debunk Them https://www.npr.org/sections/goatsandsoda/2020/02/21/805287609/theres-a-flood-of-fake-news-about-coronavirus-and-a-plan-to-stop-it?utm_campaign=storyshare&utm_source=twitter.com&utm_medium=social …,2020-02-21 23:21:18
13,@SenatorTester    We need a free standing bill https://apnews.com/c3b49aaa207f10607f4affcc821d42d4 … #coronavirus,2020-02-27 23:53:57
14,The general election. People are trying to steer clear of the Corona Virus where so many are following the #Cult45 where this puts our Democracy in peril.,2020-02-23 23:52:54
15,RT @JanieHsieh: Last checked 87% of Brazilian death toll in states that don't support Bolsonaro and prohibited hydroxychloroquine. The left…,Sat Jun 13 08:13:16 +0000 2020
16,RT @CDCgov: #Employers: Antibody tests for #COVID19 should not be used to determine if someone can return to work. There is not enough info…,Sat Jun 13 09:52:47 +0000 2020
17,Medical Professor Praises Trump Admin for Coronavirus Response:  Never Seen One Handled Better https://www.westernjournal.com/medical-professor-praises-trump-admin-coronavirus-response-never-seen-one-handled-better/?utm_source=Twitter&utm_medium=PostSideSharingButtons&utm_campaign=websitesharingbuttons …,2020-03-02 23:51:15
18,"@RealJamesWoods James, if you want to see convincing evidence that the Coronavirus was Bio-Engineered let me know..",2020-03-01 23:49:36
19,"In light of the ~7% decline in the stock market today & the emergency closing of the market, and

in light of Trump's weak leadership on coronavirus,

I think there are going to be working-class people wondering if their well-being is safe with Trump. pic.twitter.com/QvIQyc0RMr",2020-03-09 23:54:52
20,DeBlasio won't know what to do--->New York City Declares State of Emergency Over Coronavirus http://bit.ly/39Hrx1T  via @BreitbartNews,2020-03-12 23:59:12
21,"They're low on their blood. But, it's not for the use of any victims--->FDA Calls for Public to Donate Blood in Wake of Coronavirus, Stresses Safety http://bit.ly/2TLLizH  via @BreitbartNews",2020-03-12 23:58:41
22,"Gov. Steve Bullock has ordered all public K-12 schools in Montana  to close for two weeks following additional in-state cases of the novel coronavirus. About half a dozen Montana patients have tested presumptively positive for the virus.

https://www.mtpr.org/post/gov-closes-k-12-schools-due-coronavirus … #mtnews",2020-03-15 23:59:12
23,"Coronavirus testing: State has about 2,000 tests available, Sullivan says http://dlvr.it/RSKQy3 ",2020-03-21 23:55:32
24,"Coronavirus affecting my work @msubillings in an interesting way: Providing thesis consultation at an expressway exit, on a picnic table outside McDonalds (31 degrees) because only the drive-thru was open. We revised plans for a systematic review for over an hour on a cold day.",2020-03-21 23:54:44
25,"Oh really? Wow. I called their 1-800-476-9669 number and got through with little wait. I called March 10, so maybe they were more staffed before the Coronavirus concerns?  I hope you’re able to connect with them sooner rather then later!",2020-03-18 23:59:00
26,".@AGTimFox and @GovernorBullock announced plans to give a 90-day extension to Montana drivers whose licenses are set to expire in March, April or May. The @MT_MVD is also suspending non-commercial driving tests over #coronavirus concerns. https://www.ktvh.com/news/montana-news/montana-extending-drivers-license-deadlines-suspending-driving-tests-over-coronavirus … #MTNews #COVID19",2020-03-17 23:57:48
