,Tweets,Date
0,Wonderful work and data collected.. @AKTKadmin #coronavirus #IndiaFightsCornona,2020-04-29 22:48:13+00:00
1,Anthony Fauci Praises Study on Remdesivir‘s Effectiveness v. Coronavirus https://www.breitbart.com/politics/2020/04/29/dr-anthony-fauci-praises-important-study-on-remdesivirs-effectiveness-against-coronavirus/ via @BreitbartNews,2020-04-29 22:34:57+00:00
2,"For the first time, a major study has found that an experimental drug works against the new coronavirus, and U.S. government officials said they would work to make it available to appropriate patients as quickly as possible. ",2020-04-29 22:30:02+00:00
3,"In Kayleigh McEnany, Trump Taps a Press Fighter for the Coronavirus Era ",2020-04-29 22:29:57+00:00
4,My daughter is celebrating her 21st Birthday at home due to Coronavirus. Since I can’t be there and she won’t be celebrating with her friends can I get all you wonderful folks to help me wish her a Happy 21st Birthday. Cheers ,2020-04-29 22:27:38+00:00
5,"5pm 5/30/20 #coronavirus update from @GovAndyBeshear: There were 247 new positive cases reported Saturday. #Kentucky is now up to at least 9,704 CONFIRMED positive cases of #COVID19. 3,232 people have recovered from the virus. 13 NEW deaths reported, statewide total is now 431",2020-05-30 22:15:24+00:00
6,Cities Are Ordering Curfews--Right After the Coronavirus Lockdown is Eased. ,2020-05-30 22:13:26+00:00
7,"Coronavirus didn’t come from China COVID-19 did.....huge difference, and it doesn’t give him the right to rename it to “Chinese virus” if you support that you need to be checked ",2020-05-30 20:10:30+00:00
8,"One store was all out of masks. Every type of mask was gone. The painter/carpentry masks- gone. Medical protection masks-gone. I got a box of nitrile gloves-nice ones too. I'll have to check kRog & Walgreens for masks, I suppose. #COVID19 #coronavirus",2020-02-28 18:59:49+00:00
9,Has anyone else felt a newfound wonder of what this administration will do once this coronavirus hits the US...what kind of shit they’re going to try to pull then?,2020-01-25 23:46:16
10,No one here has the coronavirus right?,2020-01-29 23:59:15
11,R.I.P loves you guys will be missesd im heartbroken age 13!!! And 41!! life is short so live it the best you can!  #BlackMamba #KobeBryant #RIPGIGI #coronavirus #MambaForever #RoyalRumble #RIPKobe #RIPGiannaBryant #RIPBlackMambapic.twitter.com/pf0LSEpSWK,2020-01-26 23:44:51
12,What’s amazing to me is that there is a city in China with 11 million people and I’ve never heard of it. A population of 11 million is more than New York City #coronavirus,2020-01-26 23:43:35
13,There's a big difference. #NRA is a Russian asset https://www.npr.org/2019/09/27/764879242/nra-was-foreign-asset-to-russia-ahead-of-2016-new-senate-report-reveals … #coronavirus didn't have the good sense to line up international sponsors. If figures out how to funnel through #coronaviruses @GOP will sponsor bills to make it mandatory.https://twitter.com/DadoftheDecade/status/1223428166330523648 …,2020-02-01 23:48:32
14,"It seems like a simple request, but people couldn’t stay loyal even if it made you immune to the coronavirus https://twitter.com/Avkyz/status/1229581792203673600 …",2020-02-18 23:56:55
15,"Ah, Jim Bakker. You can trust him with faith, politics, and, even this Coronavirus supplement. Right? https://twitter.com/nowthisnews/status/1228079651655782400 …",2020-02-13 23:50:04
16,"The Precious Metals Week in Review – February 28th, 2020.
#BullionPMI #WeekInReview #COVID19 #Coronavirus #CrudeOilPrices #StateUnemployment https://blog.pmi.ky/2020/02/28/the-precious-metals-week-in-review-february-28th-2020/ …pic.twitter.com/bgDffKKy4z",2020-02-28 23:52:43
17,RT @CDCgov: #Employers: Antibody tests for #COVID19 should not be used to determine if someone can return to work. There is not enough info…,Sat Jun 13 09:52:47 +0000 2020
18,Interesting case report and detailed pharm/physiology if you are interested in #toxicology or #EmergencyMedicine,Sat Jun 13 11:20:50 +0000 2020
19,"RT @JNJNews: When Dr. Ed Kuffner, CMO, Consumer, #JNJ, returned to the frontlines to treat #COVID19 patients, he didn’t realize the impact…",Sat Jun 13 09:53:55 +0000 2020
20,"Very, very telling numbers right here. So, when you hear those “models” projecting a resurgence, keep this in mind.… https://t.co/n7BDcE5DVu",Sat Jun 13 13:11:38 +0000 2020
21,"RT @Scott502: Voting made simple and safe folks.

https://t.co/jd33jyRCnx #GoVoteKY #Kentucky 

Ballot request due: June 15 https://t.co/nJ…",Sat Jun 13 14:14:24 +0000 2020
22,Coronavirus quarantine of one Princess Cruises ship 'failed' in Japan last month. Will officials get it right the second time in California? With @MorganEmHines for @usatodaytravelhttps://www.usatoday.com/story/travel/cruises/2020/03/06/coronavirus-cruise-ship-off-california-coast-risk-japan-repeat/4974471002/ …,2020-03-06 23:58:13
23,They couldn't keep track of the children they separated from parents.  I knew they couldn't track the number of patients being tested for coronavirus.,2020-03-09 23:55:46
24,"Like @KySportsRadio has been saying all year, “College basketball is drunk.” Now it’s also infected. #BBN #coronavirus",2020-03-11 23:59:07
25,We won’t need it! Because we might be off for a whole year when they find the cure of the Coronavirus.,2020-03-11 23:58:52
26,"Well, supposedly, China is getting harmed by it. Their manufacturing PMI cut in half thanks to their own reaction to Coronavirus. Some suggest this will be short-lived, however.

https://seekingalpha.com/article/4329320-dont-panic-chinas-manufacturing-pmi-falls-off-cliff …",2020-03-10 23:59:18
27,"Ben Shapiro slams media for suggesting Trump avoided this coronavirus question: 'You're out of your mind'

https://www.foxnews.com/media/ben-shapiro-mainstream-media-trump-coronavirus …",2020-03-10 23:59:16
28,"To be honest, Prep and Villa’s entire student body would get coronavirus and would still have class.",2020-03-10 23:56:37
29,Coronavirus has taught me that when shit isn’t hitting the fan that most people don’t wipe their ass very well and don’t wash their hands with soap.,2020-03-10 23:56:22
30,"You must be thanking your lucky stripes!

So far your legacy has just been about restricting adults access to lifesaving #vapor products and misinformation...

Today you're on @GMA.

Thank you coronavirus from yours truly, @JeromeAdamsMD",2020-03-10 23:55:14
31,Live! Coronavirus free Zone! http://Twitch.tv/DewittEagle ,2020-03-13 23:59:10
32,"Well, rock my pneumonia! It's an all-new episode of GEEKIN OUT!
We are required by some Term or Condition to do an obligatory episode about CORONAVIRUS!
So, wash your funky hands with soap and hot water and GEEKIN OUT!
https://www.facebook.com/spike.nchris.9/videos/vb.100038091160604/198693744743663/?type=2&theater&notif_t=video_processed&notif_id=1584316588383507 …",2020-03-15 23:58:27
33,Coronavirus #Chopped challenge: pick whatever protein you manage to find/have in a can/shoot out the window with a bb-gun up in a tree. Try to find starch/veggie to use.Pick 2-3 other ingredients. Feel free to use some condiments here to get creative. Make a meal!. @TheTedAllen,2020-03-19 23:59:04
34,"Team Highlander -
Please take all precautionary measures to protect yourself and family members from the Corona Virus. #1 priority is the health and safety of our Soldiers, Families and DA civilians.
H7",2020-03-20 23:57:21
35,White claws variety pack cures Coronavirus,2020-03-20 23:55:58
36,An excellent read.  #COVID19 #coronavirus #science #God  Interview With Francis Collins of NIH - The Atlantichttps://www.theatlantic.com/ideas/archive/2020/03/interview-francis-collins-nih/608221/ …,2020-03-18 23:59:30
37,Absolutely. @Yair_Rosenberg Thank you. #coronavirus #COVID19 #https://twitter.com/Yair_Rosenberg/status/1239638416318500866 …,2020-03-16 23:59:41
38,Great resource for #homeschool options by the way #coronavirus #COVID19https://twitter.com/brycebutler/status/1239681044594544640 …,2020-03-16 23:57:25
