,Tweets,Date
0,Coronavirus can spread up to a 4 meters from an infected person according to studies...,2020-04-29 22:41:31+00:00
1,Do Americans approve of Trump’s response to the coronavirus crisis? A calculation of the share of all Americans who approve of the president’s handling of the coronavirus outbreak. ,2020-04-29 22:29:52+00:00
2,Italy prepares for Phase-2 as coronavirus patients decrease ,2020-04-29 22:27:28+00:00
3,Coronavirus: US expected to approve use of remdesivir after trials show it helped Covid-19 patients - South China Morning Post ,2020-04-29 22:23:06+00:00
4," ""BBC News - Coronavirus: Belgian Prince Joachim tests positive after lockdown party ",2020-05-30 21:44:28+00:00
5,"Well, Ebola is not an Coronavirus but yeah.",2020-01-30 23:34:12+00:00
6,i know right like were like humans like them too. its really disgusting that those people pretty much justify their own racisms against asians because of the corona virus and our cuisines.,2020-01-30 21:46:23+00:00
7,#China: Respect Rights in #Coronavirus Response ,2020-01-30 21:41:00+00:00
8,Today I turned very pessimistic that #COVID19 could still be contained. Two percent of mankind is 150 million ,2020-02-28 20:09:37+00:00
9,"Bill Gates on #covid19: ”Goverments and industry will need to come to an agreement: during a pandemic, vaccines and antivirals can’t simply be sold to the highest bidder. They should be available and affordable for people who are a…https://lnkd.in/dAnVdat",2020-02-28 18:45:14+00:00
10,@Mike_Pence in charge of coronavirus response. What could go wrong? #COVID19 #CDC #MAGA,2020-02-28 18:34:01+00:00
11,@euronews: COVID-19 latest: WHO raises global threat level from coronavirus to 'very high' #covid19 #pandemia,2020-02-28 16:44:38+00:00
12,"Viruses don't know regions, countries, nor continents. International cooperation is crucial in stopping the spread of #Covid19. .@EU_Commission supports the delivery of over 25 tonnes of personal protective equipment to China. #EUCivPro #EUprotects",2020-02-28 12:29:28+00:00
13,"The mysterious lung infection in Wuhan, China is being identified. Like SARS (in 2002-3) and MERS (from2012), it's caused by a coronavirus. Up to last Sunday, 59 patients have been reported, of whom 7 in critical condition.",2020-01-08 18:44:42
14,China says pneumonia outbreak linked to new coronavirus - https://www.ft.com/content/7ac8b004-3285-11ea-9703-eea0cae3f0de?shareType=nongift … via @FT,2020-01-09 09:57:43
15,"1)As new probably zoonotic #coronavirus was found in China,I’m wondering about the debate around added value of the #GlobalViromeProject. Weigh the resources needed beforehand to a)find the virus,b)determine if it can jump to humans,b)assess spread between humans, PH importance",2020-01-11 09:22:15
16,First case of the new coronavirus in Japan (travelled from Wuhan). AND the first time I see this virus not being called 'mysterious' anymore. https://www.japantimes.co.jp/news/2020/01/16/national/science-health/japan-first-coronavirus-case/?utm_source=Global+Health+NOW+Main+List&utm_campaign=daae8fcc44-EMAIL_CAMPAIGN_2020_01_15_01_40&utm_medium=email&utm_term=0_8d0d062dbd-daae8fcc44-2980553#.XiClo8gzY2z …,2020-01-16 18:06:57
17,"#Japan confirms first case of new #China #coronavirus strain
https://www.theguardian.com/world/2020/jan/16/japan-confirms-first-case-of-new-china-coronavirus-strain?CMP=Share_AndroidApp_Twiitti …",2020-01-16 06:04:39
18,Factbox: New #coronavirus outbreak in Chinese city of #Wuhan https://reut.rs/362DH2B ,2020-01-19 06:50:52
19,#Coronavirus: #China reports 17 new cases of #Sars-like mystery virushttps://www.theguardian.com/world/2020/jan/19/coronavirus-china-reports-17-new-cases-of-sars-like-mystery-virus?CMP=Share_AndroidApp_Twiitti …,2020-01-19 06:50:23
20,"Coronavirus: more cases and second death reported in China

https://www.theguardian.com/world/2020/jan/17/corona-second-death-in-china-after-sars-like-outbreak?CMP=Share_AndroidApp_Twiitti …",2020-01-18 06:28:10
21,#Coronavirus: second death in #China after #Sars-like outbreakhttps://www.theguardian.com/world/2020/jan/17/corona-second-death-in-china-after-sars-like-outbreak?CMP=Share_AndroidApp_Twiitti …,2020-01-17 05:19:45
22,We can't stop #Coronavirus spreading all around world as long the picture of flights in air at the moment look like this.  https://flightradar.live/  #koronavirus #CoronaOutbreak #WuhanOutbreakpic.twitter.com/8yik6UHKJy,2020-01-27 23:33:07
23,"Sweden-Poland-China fight against Corona Virus outbreak. CEO Thor Lavold of Magisk & Zula A20 molecule medical tech developments; Prof Dr Laszlo Szekely Karolinska. #MiNiSV #KevinLiu #JohnMeewella http://www.minisv.com  http://www.johnmeewella.com  Stockholm,Sweden Wed29Jan2020pic.twitter.com/jXe4aOB1vs",2020-02-05 23:39:22
24,Shanghai & Beijing trafficrates knew #coronavirus numbers are going to hit record. They have been just cracking lower and lower every day. Resume for work does is not supported by them. pic.twitter.com/ub8vCmTbqa,2020-02-12 23:52:08
25,"""This is not the bat's fault"": A disease expert explains where the coronavirus likely comes from http://va.newsrepublic.net/s/jySvmM ",2020-02-12 23:30:20
26,"Its not communism in China, they only have the name of it. Real gov system is more like capitalism leaded totalitarism.",2020-02-14 23:39:56
27,RT @ndtv: Parts of Beijing put under lockdown due to fresh #coronavirus cluster https://t.co/5Ly9jtB1kZ https://t.co/6RK7dkyNgc,Sat Jun 13 07:53:37 +0000 2020
28,RT @AFP: #UPDATES Eleven residential estates in south Beijing are locked down due to a fresh cluster of #coronavirus cases linked to the ne…,Sat Jun 13 07:51:13 +0000 2020
29,RT @olumeeday: I know right 😂😂,Sat Jun 13 07:54:44 +0000 2020
30,"RT @en_germany: Even though the #corona-related #restrictions are being increasingly eased, the #Coronavirus is still present in #Germany.…",Sat Jun 13 10:07:13 +0000 2020
31,"New Commission report shows the importance of digital resilience in times of crisis!
#covid19 #desi #DESI2020",Sat Jun 13 10:47:29 +0000 2020
32,"RT @UN_Women: In some countries, #COVID19 infections among female health workers are 2x that of their male counterparts. 

Governments must…",Sat Jun 13 10:35:48 +0000 2020
33,"RT @VinceGW: 👇 Very short blog to recap how the #Eurosystem responded to the #COVID19 crisis: adjustment of our #credit operations, further…",Sat Jun 13 10:05:35 +0000 2020
34,"RT @FAO: Our food systems are failing us. And #COVID19 is making things worse.

We must invest in the future &amp; transform our food systems t…",Sat Jun 13 10:13:44 +0000 2020
35,RT @NEJM: Eighteen brains of patients who died 0 to 32 days after the onset of symptoms of SARS-CoV-2 infection showed hypoxic–ischemic cha…,Sat Jun 13 09:58:49 +0000 2020
36,Best wishes 👍 lets hope for the best✅,Sat Jun 13 12:13:23 +0000 2020
37,RT @socialistworker: Councils have already begun pressuring homeless people to leave temporary accommodation as the Tories ease the coronav…,Sat Jun 13 12:29:15 +0000 2020
38,"RT @francediplo_EN: #COVID19 
Travel restrictions to France from European countries will be lifted from 15 June, except:
By ✈️from 🇪🇸: rest…",Sat Jun 13 09:53:42 +0000 2020
39,"RT @FYEG: Thanks to a young green lobby, Greens across 🇪🇺 @ the #EGP31 🌻 agreed free mental health care will be included in our #COVID19 #R…",Sat Jun 13 12:46:21 +0000 2020
40,"RT @AuH2OPatriot: The airline company Norwegian Air, which suffered from the in economic crisis due to #COVID19 was bought by BOC Aviation…",Sat Jun 13 14:22:56 +0000 2020
