,Tweets,Date
0,"Jared Kushner Mocked For Calling Coronavirus Response ‘A Great Success Story.’ One Twitter user remarked, ""I wonder what he would consider to be a failure?"" - https://www.huffpost.com/entry/jared-kushner-mocked-great-success-story_n_5ea9b26ac5b61c645b83bcd5?ncid=engmodushpmg00000004 #via @HuffPostPol",2020-04-29 23:41:30+00:00
1,"SO, ARE TRUMP AND THE KUSHNERS TRYING TO PROFIT OFF THE #CORONAVIRUS? This German firm is rushing to develop a vaccine for COVID-19 — and the German government accused Trump of trying to poach the company #FBR",2020-04-29 23:27:19+00:00
2,What will coronavirus aka CO-VID 19 do to housing? Plus which will fair better; Commercial or Residential investment?#propertytips #realestate @propertytalks https://buff.ly/2QlCcaO,2020-04-29 23:00:01+00:00
3,#DYK SCORE Mentors has created a Coronavirus Small Business Resource Hub? Lots of great info including FREE webinars. Learn more: ,2020-04-29 23:00:00+00:00
4,"Hey Amanda, take a look at the graph of new Coronavirus cases in Georgia, as per the Georgia Department of Health, as of April 29. It shows a sharp DECREASE/ And contrary to your thinking, no one is being ""forced"" to go back to work ",2020-04-29 22:35:52+00:00
5,"""It may be easier to believe that the coronavirus was deliberately unleashed than to accept the harsher truth that we built a world that was prone to it, but not ready for it."" Truth ",2020-04-29 22:28:03+00:00
6,"Liberty County Manna House to host free lunch, drive-thru coronavirus testing event Friday ",2020-04-29 22:25:06+00:00
7,"Early Addition: Jared Kushner Declares Federal Coronavirus Response ""A Great Success Story"" - Gothamist ",2020-04-29 22:18:41+00:00
8,Dr. Bright says Trump’s obsession with hydroxychloroquine ‘was extremely distracting to dozens of federal scientists who were focused on the coronavirus’ 01 #FBR,2020-05-30 23:30:20+00:00
9,DON'T DECLARE WAR ON THE STATES: Trump enacting a quarantine in Coronavirus hotspots would be a “Federal declaration of war on states.” “I don’t think Trump is looking to start a lot of wars with a lot of states just about now for a lot of reasons” https://twitter.com/alx/status/1244031966833520642/video/1 06,2020-05-30 23:11:23+00:00
10,DON'T DECLARE WAR ON THE STATES: Trump enacting a quarantine in Coronavirus hotspots would be a “Federal declaration of war on states.” “I don’t think Trump is looking to start a lot of wars with a lot of states just about now for a lot of reasons” https://twitter.com/alx/status/1244031966833520642/video/1 02,2020-05-30 22:26:13+00:00
11," Trump doesn't wnt to do anotha rd of 1,200.he would rather agree on 450 bns. only.if we go bk to wrk. I WOULD RATHER AGREE ON VACCI B4.other than that.he can't wait to SACRIFICE us..$1,200 Checks? $450 Bonuses? The Latest on the Next Coronavirus Lifeline ",2020-05-30 22:25:19+00:00
12,"SO, ARE TRUMP AND THE KUSHNERS TRYING TO PROFIT OFF THE #CORONAVIRUS? This German firm is rushing to develop a vaccine for COVID-19 — and the German government accused Trump of trying to poach the company 01 #VoteBlueNoMatterWho",2020-05-30 21:20:17+00:00
13,CDC to resume coronavirus briefings after being sidelined by White House - ⁦@CNNPolitics⁩ This is great news and an important step in the pandemic response. We are as strong as ⁦@CDCgov⁩ is in our nation’s response.,2020-05-30 21:12:14+00:00
14,Been getting some compliments in my new beard friendly couture. Thank you Mister Langford and Miss Strickland! #coronavirus #instabear @jcrtplaid https://www.instagram.com/p/CA0050sj2Fh/?igshid=1vch4i3ht9p8j,2020-05-30 20:28:19+00:00
15,A LITTLE LEVITY TO BRIGHTEN YOUR DAY: Best advice to protect yourself. (Sound on) #Coronavirus via BuitengebiedenB 01 #COVID19,2020-05-30 20:28:16+00:00
16,"Greg Gutfeld claims the orange shitstain could probably cure the coronavirus. Please, send him to China immediately. Better yet, tell him Obama could cure it by going there with NO MASK or other protections! ",2020-01-30 23:28:40+00:00
17,Let's all lean in against dictators. Why can't all democracies demand freedom for all? A Communist Coronavirus ,2020-01-30 21:46:01+00:00
18,"CDC is working with Calif. to identify how the patient was exposed to the novel #coronavirus as well as identify people who might have been exposed to this patient. For information specific to California’s #COVID19 efforts, see https://bit.ly/3afNIw4.",2020-02-28 21:43:02+00:00
19,Revised EZ-BAA instructions from @BARDA are now available for requesting development support for 2019-nCoV technologies. New areas of interest include non-clinical models &amp; screening (AOI 4.2) and molecular diagnostic assays (AOI 4.1) https://beta.sam.gov/opp/560c7b048beb446b9ddf5e12744daf95/view #COVID19 #savinglives,2020-02-28 21:07:52+00:00
20,"CDC is working with Calif. to identify how the patient was exposed to the novel #coronavirus as well as identify people who might have been exposed to this patient. For information specific to California’s #COVID19 efforts, see http://bit.ly/39aWTgX.",2020-02-28 21:01:15+00:00
21,Thinking that #twitter shutting down / censoring all non-government tweets about #COVID19 is the right call. We’re not responsible enough to not be assholes.,2020-02-28 19:01:02+00:00
22,Good advice for #pwme about a reasonable approach to #COVID19 from @jspotila of Occupy ME. #MECFS #MyalgicE #coronavirus,2020-02-28 17:37:33+00:00
23,Well your government is not funding enough to combat the coronavirus (COVID19).,2020-02-28 17:20:53+00:00
