,Tweets,Date
0,Because of Coronavirus my daughters and I get to experience and enjoy homeschooling. The kids are totally motivated and we're having a great time. What a shame it will have to come to an end soon. It should be a permanent option in Germany!,2020-04-29 23:48:32+00:00
1,"State gov announced expanded coronavirus testing at shopping centres, including mobile stations at Pacific Werribee &amp; Bunnings West Footscray. People should get tested, even if symptoms are only mild. More info: https://www.premier.vic.gov.au/coronavirus-testing-expands-at-shopping-centres/ Testing locations: http://www.dhhs.vic.gov.au/victorian-public-coronavirus-disease-covid-19#where-can-i-get-tested-for-coronavirus-covid-19",2020-04-29 23:47:55+00:00
2,"Halt destruction of nature or suffer even worse pandemics, say world’s top scientists. Only one species is responsible for #coronavirus – humans – say world’s leading #biodiversity experts https://www.theguardian.com/world/2020/apr/27/halt-destruction-nature-worse-pandemics-top-scientists #CoronaCrisis",2020-04-29 23:45:40+00:00
3,"161,525 #coronavirus cases (+1.0%) in #Germany as of 30/04 00:00 due to 401 districts stats. 37,721 currently infected. 117,299 recovered. Sources: https://bit.ly/38WabgE 6474 deaths (+154). #StayHome #COVID19 3/401 districts with 0 cases.",2020-04-29 23:26:40+00:00
4,"Wisconsin @GOP Assembly @SpeakerVos, telling people it was totally safe to vote while decked out in protective gear. @GOP appealed to courts to force in-person voting. At least 40 positive #coronavirus cases have been directly linked to the election. ",2020-04-29 23:20:32+00:00
5,"In December 2019, China reported about the danger of a padenemic outbreak of coronavirus to the WHO. Who was the person who denied all anout it, who called corona a flu - was it your twin, Mr. Trump? Maybe you forget what you have said five minutes before, but we are awake!",2020-04-29 23:13:28+00:00
6,Wisconsin finds more people who worked or voted in primary tested positive for coronavirus https://fxn.ws/2YjSiXw #FoxNews,2020-04-29 23:05:09+00:00
7,Still Flying Blind: Can Meteorologists Help Epidemiologists with Coronavirus? https://cliffmass.blogspot.com/2020/04/still-flying-blind-can-meteorologists.html,2020-04-29 22:50:19+00:00
8,"There's never been a vaccine for a coronavirus, and there's really no reason to get our hopes up that there'll be one for this coronavirus. No, that's not completely true. There are reasons to get people's hopes up and they come in a variety of currencies ",2020-04-29 22:47:39+00:00
9,"A thoughtful and balanced take on the economic consequences of #coronavirus. Not surprised - it's from @CFAinstitute, which is a solid.",2020-04-29 22:46:41+00:00
