,Tweets,Date
0,"Donald J. Trump does not believe that the climate change affects our planet (which clearly does. ask the scientists) at the end of January, he wrote off the Coronavirus as some sort of ''hoax'' and now look at the results. the pandemic killed more Americans than the Vietnam War ",2020-04-29 23:41:12+00:00
1,"#News #AMD #Computing AMD bullish on Xbox Series X, PlayStation 5 sales despite coronavirus http://dlvr.it/RVjhh8",2020-04-29 22:34:07+00:00
2,The WHO has been more effective at fighting the coronavirus than Trump has. No wonder he hates it. - The Washington Post ,2020-05-30 23:43:02+00:00
3,"#Merck&amp;Co moved to bolster the global fight against the #coronavirus, unveiling plans for a #pill to #treat the infection &amp; 2 #vaccines to #prevent it, though a top executive cautioned it may take longer than expected to deliver a vaccine and make it available globally #COVID19",2020-05-30 22:57:02+00:00
4,"Trump should be out from Office right now, Obama was much better. He could defeat the Coronavirus in the US, just like he did with Ebola and H1N1. He could also put a new law to the Law Enforcement, every cop should go to the doctor for Mental or if they hate black people..",2020-05-30 22:18:20+00:00
5,"Stavros Niarchos Foundation Cultural Centre cancels all #carnival and Clean Monday events, due to the new #coronavirus http://www.amna.gr/en/article/434972/SNFCC-cancels-all-carnival-and-Clean-Monday-events #Greece #COVID19 #COVID19Greece #SNFCC",2020-02-28 12:07:08+00:00
6,Chen Quishi demonstrates signs of affinity through his citizen journalism by connecting the audience emotionally with those suffering from coronavirus in China. These patients weren’t treated fairly. @KarenERiggs #MDIA4120A,2020-02-14 23:43:21
7,"Love Alex Azar’s upbeat, commercial-like tone of voice as he delivers worst case scenarios for the  coronavirus.",2020-02-26 23:56:17
8,RT @AFP: #UPDATES Eleven residential estates in south Beijing are locked down due to a fresh cluster of #coronavirus cases linked to the ne…,Sat Jun 13 07:51:13 +0000 2020
9,"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…",Sat Jun 13 10:14:30 +0000 2020
10,"RT @UNICEF: ✋ ""Tadaaaaaa!"" 🤚

Two-year-old Natalie shows us how fun handwashing can be at her home in South Sudan as she protects herself f…",Sat Jun 13 10:42:18 +0000 2020
11,"RT @Jwheels_74: Trump said open America up, even though he knew #COVID19 was still an issue. 

Some Americans chose to listen to that fucki…",Sat Jun 13 10:35:14 +0000 2020
12,"RT @VanDexter7: ooohh I am devastated....

#WWG1WGA #WWG1WGAWORLDWIDE #QArmy #QAnons #Patriots #PatriotsFight #GreatAwakening #InItTogether…",Sat Jun 13 12:14:50 +0000 2020
13,PLEASE do not start WW3 Dave. The world isn’t ready.,2020-03-09 23:59:25
14,"My brother's answer ""the Coronavirus experience proves how important our votes in general elections are. All this makes me think how important my vote to Mitsotakis was""

So true...",2020-03-20 23:57:36
