,Tweets,Date
0,"Coronavirus may lurk deep in lungs after patients recover, study suggests ",2020-04-29 23:59:40+00:00
1,"Coronavirus: gift bags, TV shows for little patients at Hong Kong Children’s Hospital as social worker visits remain cancelled amid pandemic ",2020-04-29 23:57:19+00:00
2,"Coronavirus: gift bags, TV shows for little patients at Hong Kong Children’s Hospital as social worker visits remain cancelled amid pandemic https://www.scmp.com/news/hong-kong/health-environment/article/3082122/coronavirus-gift-bags-tv-shows-little-patients?utm_term=Autofeed&amp;utm_medium=Social&amp;utm_source=Twitter#Echobox=1588204637",2020-04-29 23:57:18+00:00
3,US expected to approve use of remdesivir to treat coronavirus patients https://www.scmp.com/news/world/united-states-canada/article/3082225/coronavirus-gilead-says-experimental-drug?utm_source=Twitter&amp;utm_medium=share_widget&amp;utm_campaign=3082225 via @scmpnews,2020-04-29 23:48:40+00:00
4,Coronavirus ‘may lurk deep in lungs after patients recover’ https://www.scmp.com/news/china/society/article/3082200/coronavirus-may-lurk-deep-lungs-after-patients-recover-study?utm_source=Twitter&amp;utm_medium=share_widget&amp;utm_campaign=3082200 via @scmpnews,2020-04-29 23:46:49+00:00
5,How to read this chart of coronavirus cases by country explaining nicely the effects showing logarithmic vs linear scale. https://www.facebook.com/Vox/videos/252786805868793/,2020-04-29 23:14:51+00:00
6,Peace Corps volunteers who lost their positions during the coronavirus pandemic will now be eligible for unemployment benefits as part of the $2 trillion economic relief plan ,2020-04-29 23:08:03+00:00
7,"Buddhistdoor Global #View: ""The Astonishing and Fleeting Opportunity of This Moment"" In a world of upheaval, our moral intuitions must be engaged. #coronavirus #compassion #Shantideva #ethics Read more: https://www.buddhistdoor.net/features/the-astonishing-and-fleeting-opportunity-of-this-moment",2020-05-30 22:45:36+00:00
8,"Great taste and safe food go hand in hand, it pays to remember that those suffering coronavirus symptoms are especially careful with keeping kitchen appliances clean to stop cross-contamination. Find out more at .@foodsafetygov",2020-05-30 22:15:48+00:00
9,Coronavirus latest: Trump faces backlash over WHO exit; Russia set to begin vaccine trial ,2020-05-30 20:10:50+00:00
10,Disorganized? Cecu Pacific Spokesperson says that they have not received any advice YET from the @DOHgov despite its media pronouncement that the Chinese national who was the first case of the novel coronavirus took CebuPac from Hongkong to Cebu. Important for contact tracing!,2020-01-30 23:52:03+00:00
11,Right and true #antichinazi #antitotalitarianism #SayNoToCCP #coronavirus #coronaviruswuhan #coronaviruschina #SOSHK,2020-01-30 23:20:06+00:00
12,people love telling me to look after them after they catch this #coronavirus... the only thing their catching is the clap fam. cba,2020-01-30 23:16:10+00:00
13,Oh!I'M CRYING You wake up finally! Even make a right decisions on the damn moment But!who care you（ＷＨＯ） Everyone is try their best to protect theirpeople！ Except you and chxxa #who #coronavirus #ChinaVirus,2020-01-30 22:55:34+00:00
