,Tweets,Date
0,Coronavirus: Doctor explains the proper way to wash your hands and put o... https://youtu.be/A4qwCWwC-Oo @YouTube által,2020-01-30 23:52:09+00:00
1,Scientists are working fast on the novel coronavirus disease #COVID19 #SARSCoV2. Our automatically updating collection has picked up 69 articles in the last two days. Note: Preprints have not undergone peer review. https://www.scienceopen.com/search#collection/69cf75fa-43dd-4518-b21d-8cc3a478fae1,2020-02-28 11:55:36+00:00
2,Coronavirus: Doctor explains the proper way to wash your hands and put o... https://youtu.be/A4qwCWwC-Oo  @YouTube által,2020-01-30 23:52:09
3,Latest #LinkedIn Hiring Data Shows Signs of Recovery in Several Regions https://t.co/Jsw4RplywT via… https://t.co/4GIKifHKTF,Sat Jun 13 09:56:31 +0000 2020
4,"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…",Sat Jun 13 10:14:30 +0000 2020
5,"I am in love with #Taiwan too
 😊   And you?
#Ilha #Formosa #beautiful #island",Sat Jun 13 10:57:54 +0000 2020
6,"RT @ProgPost_FEPS: to make #finance work for the people and the planet, it needs to be understood as a #publicutility, the same way as a se…",Sat Jun 13 10:13:55 +0000 2020
7,"RT @Southcom: Supporting our neighborhood: To date, #SOUTHCOM’s Humanitarian Assistance Program has facilitated 85 donations of Personal Pr…",Sat Jun 13 12:10:35 +0000 2020
8,Can't deny that the current situation is pretty much a gold mine for the media right now. #demand #profit #media #coronavirus,2020-03-11 23:58:51
9,Hi @WorldBank thank you for your incredible commitment to help protect the world’s poorest against coronavirus. As a @GlblCtzn I believe that everyone should have access to the healthcare systems they need so that we can #DefeatDiseaseTogether,2020-03-13 23:58:40
10,"Hi @eucopresident @vonderleyen the @WHO @DrTedros urgently needs at least USD $675 million to fight #COVID19. Will you and all @g20org states please step up and release much needed funds for #coronavirus response efforts? Together, we can beat this pandemic and keep the  safe.",2020-03-13 23:57:24
11,"The New York Times: Trump Now Claims He Always Knew the Coronavirus Would Be a Pandemic.
https://www.nytimes.com/2020/03/17/us/politics/trump-coronavirus.html …

via @GoogleNews",2020-03-17 23:59:47
