,Tweets,Date
0,ordering mine now before it's sold out #coronaVirus #Covid19 #Plague #PlagueDoctor #PlagueMask #PlagueCostume,2020-02-28 23:27:00+00:00
1,"Coronavirus is a damn group of viruses, not the actual name... caling ncov2019 “coronavirus” is like calling tigers, lions, panthers and lynxes: “cat”",2020-01-27 23:38:33
2,"Rudy, please don some goggles 
Coronavirus virus, is highly contagious, and even though face masks that protect the mouth and nose are effective, they clearly 'won't protect the eyes.’  You can also get respiratory infections through the eye.'",2020-01-29 23:43:19
3,Creator Of US BioWeapons Act Says Coronavirus Is Biological Warfare Weapon | Zero Hedge https://www.zerohedge.com/health/creator-bioweapons-act-says-coronavirus-biological-warfare-weapon …,2020-02-07 23:56:32
4,The Coronavirus is a Nightmare for the Global Economy https://www.youtube.com/watch?v=ir79nIFbobA …,2020-02-07 23:48:30
5,"@Lookner Northeast Tennessee couple on Japanese cruise ship. Coronavirus quarantine: Tri-Cities couple on vacation stuck on cruise ship off Japan's coast

(Via WJHL News) https://www.wjhl.com/news/local/coronavirus-quarantine-tri-cities-couple-on-vacation-stuck-on-cruise-ship-off-japans-coast/ …",2020-02-05 23:39:42
6,"""China’s Leader, Under Fire, Says He Led Coronavirus Fight Early On"" by BY AMY QIN via NYT New York Times https://ift.tt/2OYiiC1 ",2020-02-15 23:47:22
7,"Get a grippe, America. The flu is a much bigger threat than coronavirus, for now. - The Washington Post https://www.washingtonpost.com/health/time-for-a-reality-check-america-the-flu-is-a-much-bigger-threat-than-coronavirus-for-now/2020/01/31/46a15166-4444-11ea-b5fc-eefa848cde99_story.html …",2020-02-14 23:33:43
8,#Coronavirus: #WHO scrambling to get details of new caseshttps://www.theguardian.com/world/live/2020/feb/13/coronavirus-latest-updates-deaths-in-china-pass-1300-with-jump-in-cases-live-news …,2020-02-13 23:48:18
9,"Today's #coronavirus #COVID2019  VIDEO update is out.
I explore and discuss the days events and the explosive conclusions of the Los Alamos study that basically says ""this thing is unstoppable.""https://www.youtube.com/watch?v=01L-SktgzXc&feature=youtu.be …",2020-02-13 23:31:58
10,"#Apple cuts revenue forecast as #coronavirus wreaks havoc on its #Chinese supply chain

#China #COVID19https://www.telegraph.co.uk/technology/2020/02/17/apple-cuts-revenue-forecast-coronavirus-wreaks-havoc-chinese/ …",2020-02-17 23:39:23
11,"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…",Sat Jun 13 10:14:30 +0000 2020
12,RT @sarkodie: You guys got me on @JumiaGhana and I’m hooked 😊👌🏾 ... perfect way to shop without stepping out ... very essential in these #C…,Sat Jun 13 10:28:02 +0000 2020
13,"RT @bower_kirstie: The ""Be There"" campaign is about helping people with sight loss social distance safely. #BeThere #COVID19 #blind #SightL…",Sat Jun 13 13:27:25 +0000 2020
14,"@ClevTA As other states experience surges, Ohio's cases, deaths, and hospitalization rates continue to drop dramati… https://t.co/MlHi5502yz",Sat Jun 13 14:38:10 +0000 2020
15,"Coronavirus bill LOADED with Pelosi's expensive 'Christmas-tree ornaments,' says lawmaker https://www.bizpacreview.com/2020/03/07/coronavirus-bill-loaded-with-pelosis-expensive-christmas-tree-ornaments-says-lawmaker-894792 …",2020-03-09 23:59:55
16,"For the Millennials, y’all stay tight on y’all family... the Coronavirus hitting the older generation up hard",2020-03-11 23:57:56
17,Lobbyists for industries from fishing to solar panels see the coronavirus stimulus bill as an ideal piece of legislation to hitch a ride on https://www.wsj.com/articles/lobbyists-pile-on-to-get-wins-for-clients-into-coronavirus-stimulus-package-11584792000 …,2020-03-21 23:56:10
18,We're going to shoot the corona virus,2020-03-18 23:58:55
19,"#Facebook #MarkZuckerberg

How THE FUCK is sharing news articles considered as spam? 
How THE FUCK is sharing a story about a 21 year old Spanish football coach with leukaemia dying of Coronavirus, spam? 

Fuck you #Facebook 1000x over.
And Eat Shit #MarkZuckerberg.pic.twitter.com/zhtX4gKZg3",2020-03-17 23:56:42
20,Can’t reach anyone at the BOE soI guess I’ll head out to work my assigned polling station at the American Legion post at 5:30 am and see what happens. #coronavirus #Elections2020 #ohiocoronavirus #OhioPrimary,2020-03-16 23:57:37
