,Tweets,Date
0,Amazon is Wall Street's biggest winner from coronavirus No company’s stock market value has benefited more from the coronavirus pandemic than http://Amazon.com’s.,2020-04-29 23:58:43+00:00
1,"New data for look more positive for #remdesivir in #coronavirus Gilead's Remdesivir Results Encouraging, Safety Brings Skepticism https://scrip.pharmaintelligence.informa.com/articles/2020/04/29/gileads-remdesivir-results-encouraging-safety-brings-skepticism",2020-04-29 23:55:08+00:00
2,Tests are taken after prior registration. Patients without getting out of the car may be tested for coronavirus. ,2020-04-29 23:25:02+00:00
3,Coronavirus puts the sharing economy on life support ,2020-04-29 23:23:06+00:00
4,“Remdesivir: early findings on experimental coronavirus drug offer 'quite good news' | World news | The Guardian“ ,2020-04-29 23:11:07+00:00
5,Spread happiness not Coronavirus ,2020-04-29 22:30:51+00:00
6,Editorial: Gov't must lend helping hand to students in coronavirus financial crunch - The Mainichi ,2020-04-29 22:30:06+00:00
7,she took care of a coronavirus patient in a nursing home and she like coughing and has a fever,2020-05-30 23:49:02+00:00
8,"Japan coronavirus effective reproduction number climbs above 1 for the first time since mid-April, according to Toyo Keizai https://toyokeizai.net/sp/visual/tko/covid19/en.html",2020-05-30 23:34:17+00:00
9,"A long time ago today, we had a good time at Hokkaido as college students ...Goodbye May! Goodbye Coronavirus… https://www.instagram.com/p/CA1IJBohhJi/?igshid=19dt1lt3vxx1g",2020-05-30 23:16:26+00:00
10,"There are lots of gorgeous views off the coast of Hyogo from Suma in Kobe along Route 2 & Route 250 to Ako City in western Hyogo Prefecture. While international travel will be suspended for quite some time due to the coronavirus, responsible local trave… https://instagr.am/p/CA1CZsxHzQ6/",2020-05-30 22:47:08+00:00
11,Coronavirus: Belgian Prince Joachim tests positive after lockdown party ,2020-05-30 23:34:47+00:00
12,Every single worker at this U.S. farm has tested positive for coronavirus ,2020-05-30 21:58:56+00:00
13,"Sports events in England allowed to resume from Monday: Sports events will be allowed to resume in England from Monday, without any spectators and providing they comply with the government's coronavirus protocols. The guidance for elite sports… https://japantoday.com/category/sports/sports-events-in-england-allowed-to-resume-from-monday?utm_source=twitter&amp;utm_medium=referral&amp;utm_campaign=dlvr.it",2020-05-30 21:32:02+00:00
14,"Disinfecting school: Officials in protective suits disinfect a junior high school, where at least one of its students has tested positive for the coronavirus, in Kitakyushu, Fukuoka Prefecture, on Saturday.… https://japantoday.com/category/picture-of-the-day/disinfecting-school?utm_source=twitter&amp;utm_medium=referral&amp;utm_campaign=dlvr.it",2020-05-30 21:12:02+00:00
15,【TOPIC:CN】Alibaba’s InTime department store chain turns to live-streaming to boost sales during coronavirus ,2020-05-30 20:30:00+00:00
16,Lake of the Ozarks pool party reveler tests positive for coronavirus – Fox News ,2020-05-30 20:10:36+00:00
17,#BakkaJapan 2 people who refused testing in Tokyo after return from Wuhan China were allowed by #Japanese Government to go home have tested positive for #Coronavirus,2020-01-30 23:40:13+00:00
18,HOLY SHIT THE DOCTOR JUST DIAGNOSED ME WITH THE CORONAVIRUS FUCK,2020-01-30 23:30:52+00:00
19,No confidence on accuracy of coronavirus figures. It’s ongoing and is not the past.,2020-01-30 23:17:55+00:00
