,Tweets,Date
0,RT @Ianblackford_MP: Memo to @Keir_Starmer it is notable that the Labour first minister in Wales recognises the need to protect jobs throug…,Sat Jun 13 09:52:54 +0000 2020
1,RT @toates_19: Impressive to see that a small group of researchers in East London have managed to look at ethnicity and #COVID19 in both 1a…,Sat Jun 13 10:36:02 +0000 2020
2,"RT @CELCIStweets: Thousands of people have already signed up to this new, free three hour course, which examines Child Protection Case Mana…",Sat Jun 13 10:56:31 +0000 2020
3,RT @CMAJ: Rehabilitation facilities preparing for #COVID19 crunch as more patients recover: https://t.co/77Eh5qgKjh #cdnhealth @marlabeauch…,Sat Jun 13 10:57:12 +0000 2020
4,"RT @ECLTFoundation: At the @Alliance8_7 Child Labour Task Force of the Alliance for Child Protection in Humanitarian Action webinar, @Colum…",Sat Jun 13 11:26:20 +0000 2020
5,"RT @NthaFoundation: We had a brilliant training for the #NyenyeziFellowship Advocacy Cohort today.

@TMapingure | Warm Heart Clinic, Nunga…",Sat Jun 13 12:17:01 +0000 2020
6,"This was so great!
Looking forward to connecting more with the fellows. 
Amazing work @NthandaLManduwi and… https://t.co/FbO5K0oPo0",Sat Jun 13 12:43:41 +0000 2020
7,"RT @WorldBank: For the billions of people living in homes without flush toilets, clean water, or electricity, sheltering at home is not eno…",Sat Jun 13 11:53:31 +0000 2020
8,RT @Feorlean: You would think these two geniuses might pause for a moment and ask themselves how the U.K. is going to meet the cost of borr…,Sat Jun 13 10:07:32 +0000 2020
9,"RT @PlanMalawi: ""Every child has the right to an education, to develop his or her personality, talents, and mental and physical abilities t…",Sat Jun 13 14:31:00 +0000 2020
