,Tweets,Date
0,BBC News - Coronavirus: Why so many US nurses are out of work ,2020-04-29 23:45:41+00:00
1,Fauci says experimental coronavirus treatment remdesivir could shorten COVID-19 recovery time https://fxn.ws/3fdhwNc #FoxNews,2020-04-29 23:25:13+00:00
2,"'Clear-cut' evidence coronavirus drug remdesivir works, Fauci says ",2020-04-29 23:00:01+00:00
3,"During this lockdown ensure you stay fit, exercise and eat healthy to boost your immune system! #askWHO #Covid19 #Coronavirus #StaySafe #StayStrong #TogetherApart #TOTAL #ILAAMaldives",2020-05-30 21:09:41+00:00
4,NEW @WorldBank report on #HumanCapital highlights actions we can take NOW for an effective response and recovery fr… https://t.co/qy5FFSzZK0,Sat Jun 13 08:01:28 +0000 2020
5,RT @ScottWMedTech: We will beat this together. AdvaMed companies – and the entire #medtech community – are proud to support our doctors and…,Sat Jun 13 10:11:14 +0000 2020
6,"RT @nazim7878: As we approach to a new normal due to #COVID19, my gratitude is to all the essential &amp; frontline workers who has done incred…",Sat Jun 13 10:27:00 +0000 2020
7,"RT @SonuShivdasani: My latest op-Ed, Learning to Live with #COVID19, is available to read on LinkedIn: https://t.co/NFoasgd5YG",Sat Jun 13 10:36:28 +0000 2020
8,"RT @UNICEF: ✋ ""Tadaaaaaa!"" 🤚

Two-year-old Natalie shows us how fun handwashing can be at her home in South Sudan as she protects herself f…",Sat Jun 13 10:42:18 +0000 2020
9,RT @DhiTaxiDrivers: We can never thank you enough.. @HPA_MV @doctormaldives @mabrouq @MNDF_Official @PoliceMv,Sat Jun 13 11:03:40 +0000 2020
10,"RT @hashimex: Appreciation and respect 🙏❤🇲🇻
#Covid19 @HPA_MV https://t.co/T9FiDeSHBV",Sat Jun 13 12:43:41 +0000 2020
11,Wish u a speedy recovery Insha Allah ♥️🏏,Sat Jun 13 12:56:12 +0000 2020
12,Call on @MoFmv to factor in social protection system when all funds are now being rediverted because of #Covid19. E… https://t.co/f8gG3lDVhZ,Sat Jun 13 13:46:05 +0000 2020
13,RT @ShafeeaRiza: Call on @MoFmv to factor in social protection system when all funds are now being rediverted because of #Covid19. Ensuring…,Sat Jun 13 13:56:22 +0000 2020
14,Be Smart & inform yourself about #coronavirus,2020-03-05 23:59:44
