,Tweets,Date
0,Romney: ‘Understatement’ to Say America ‘Didn’t Look Real Strong’ with Trump’s Coronavirus Response ,2020-04-29 23:39:15+00:00
1,"""You have to string together enough work and keep auditioning in order to keep going. I can’t do that with everything shut down.” Hollywood’s Great Depression: Meet the Entertainment Workers Left Jobless by the Coronavirus Pandemic ",2020-04-29 22:53:30+00:00
2,Coronavirus and the Workplace: Guidance for Employers Resuming Operations ,2020-04-29 22:36:06+00:00
3,#haiku #senryu #coronavirus my dear hypochondriac friend proven right at last,2020-05-30 23:51:02+00:00
4,"As if trips to the grocery store weren’t nerve-racking enough, U.S. shoppers lately have seen the costs of meat, eggs and even potatoes soar as the coronavirus has disrupted processing plants and distribution networks. ",2020-05-30 22:00:10+00:00
5,#Sweden #coronavirus experiment has well and truly failed | WIRED UK ,2020-05-30 21:58:36+00:00
6,"holy batman, its coronavirus, inc. ",2020-05-30 20:05:08+00:00
7,The Top U.S. Coronavirus Hot Spots Are All Indian Lands ,2020-05-30 23:48:00+00:00
8,Spotted- 2 surgical face masks on campus. There hasn’t been 1 #coronavirus case in San Diego or Tiajuana so it seems like a little bit of an overreaction at this point ,2020-01-30 22:53:33+00:00
9,No thank you... #COVID19!,2020-02-28 21:59:49+00:00
10,"Great thread on what you can do you keep yourself & others healthy, which includes dealing with anxiety. With the election, the economy, and #COVID19, is important to know what you can &amp; can't control. ",2020-02-28 17:47:58+00:00
11,"This is spreading faster than coronavirus:  little kids hearing moms yelling 'f***' at the TV while watching MSNBC, and then learning ...",2020-01-23 23:56:50
12,@CDCgov @CDCemergency  FYI: Las Vegas is also big draw for Asian and American Travellers for the festivities they provide there to celebrate the Lunar New Year #CoronavirusOutbreak #coronavirus,2020-01-23 23:38:08
13,"Hi Peter, here's our portal for free access to coronavirus resources: https://www.elsevier.com/connect/coronavirus-information-center …",2020-01-27 23:35:12
14,We are ready for a coronavirus world cup ,2020-01-27 23:34:28
15,So like this coronavirus has me a lil paranoid. Where does one get a face mask around these parts?,2020-01-24 23:44:46
16,"1) 400,000 cases a year isn't nothing, and it's certainly not less than 1% of 186.5 million (which was the US population in 1962). If we had 400,000 cases of coronavirus right now, you and everyone else would be freaking out.",2020-02-01 23:54:05
17,"Gene-edited cells show promise in the first US human safety trial, and coronavirus is curbing Tesla's rising stock. 

Here’s the news to know: https://wired.trib.al/2mq74hw ",2020-02-06 23:42:30
18,"Coronavirus forces the expansion of remote work, putting the  concept to the test - https://www.cnn.com/2020/02/14/asia/coronavirus-work-from-home-intl-hnk-scli/index.html …",2020-02-15 23:23:59
19,"Trump Says Coronavirus Will Subside In Spring, But Doctors Aren't So Sure https://www.yahoo.com/huffpost/trump-doctors-coronavirus-prediction-010007592.html?soc_src=community&soc_trk=tw … via @Yahoo",2020-02-11 23:57:50
20,Coronavirus is a our current black swan event. Super interested to see how this plays out.,2020-02-24 23:46:33
21,"If there was ever a time for a nation to have full control over its borders, the time would be now. While China has been dealing with the coronavirus for a few months, the United States has been relatively unaffected, until now.",2020-02-28 23:52:23
22,"I'm working on my photo backlog. I have tens of thousands to sort through/edit. Usually I'd go in chronological order, but the last country I was in was China. I dodged the coronavirus bullet by only two months. So I want focus on what it looked like before things went crazy. pic.twitter.com/D0oXHBaxtO",2020-02-21 23:24:16
23,"RT @OulimataSarr: Once the #coronavirus pandemic behind us, we will revisit the resilient women farmers of #Cameroun. The smallholder farme…",Sat Jun 13 08:48:51 +0000 2020
24,"RT @MileyCyrus: Spain, you united in solidarity with Black Lives Matter in the US. We must keep standing together to tackle #COVID19 and it…",Sat Jun 13 09:52:29 +0000 2020
25,"RT @BrentToderian: “Long live cafes, restaurants &amp; bistros! @Paris is helping them with recovery &amp; allowing free extension of terraces on s…",Sat Jun 13 10:12:21 +0000 2020
26,"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…",Sat Jun 13 10:14:30 +0000 2020
