,Tweets,Date
0,Nepal is #CoVid19 free zone according to minister @yogesbhattarai .,2020-02-28 15:30:26+00:00
1,Coronavirus patient is sealed in a PLASTIC TUBE to avoid contaminating others https://www.thesun.co.uk/news/10799518/coronavirus-patient-plastic-tube-china?utm_source=twitter&utm_medium=social&utm_campaign=sharebarweb …,2020-01-22 22:49:05
2,"As China celebrates Spring Festival we know some people in Hubei are suffering. But, with the effort of Chinese government/people, Coronavirus will come under control soon. May the new Year of the Rat be Healthy, Happy, Peaceful and Prosperous for China and the world",2020-01-24 23:41:41
3,"As you celebrate the Spring Festival some people in China are suffering from Coronavirus. With the effort of the Chinese government/people, it will come under control and normalcy will be back soon. May the new Year of the Rat be Healthy, Happy, Peaceful and Prosperous for all",2020-01-24 23:35:52
4,"Greetings and best wishes to all our Chinese friends. We are sure with the effort of the Chinese government and people, Coronavirus in Wuhan will come under control soon. May the new Year of the Rat be Healthy, Happy, Peaceful and Prosperous for China and the world.",2020-01-24 23:27:18
5,So coronavirus has done some good to animals,2020-02-09 23:58:21
6,"Keep the workplace safe and secure.
#SafetyAtOffice #SayNoToHandshake #Covid19 #CoronaVirus #MentalHealthAwareness… https://t.co/zb4Z5z4HZe",Sat Jun 13 07:56:25 +0000 2020
7,"RT @UNICEFAfg: “During this tough situation of #CoronaVirus, it is my humanitarian and ethical responsibility to serve women and children,”…",Sat Jun 13 08:51:19 +0000 2020
8,"RT @KentPage: Since the #coronavirus pandemic began, @EduCannotWait &amp; our partners have been working with speed and agility to keep childre…",Sat Jun 13 09:10:40 +0000 2020
9,"RT @OnlineKhabar_En: [#Interview] WHO Nepal chief: Instead of more tests, #Nepal should focus on improving quarantine facilities 
@WHO @WHO…",Sat Jun 13 09:56:10 +0000 2020
10,"RT @teamsrkpune: Here's wishing the Cabinet Minister of Tourism and Environment of Maharashtra @AUThackeray a Very Happy Birthday. 
.
.
.
.…",Sat Jun 13 10:00:50 +0000 2020
11,Get well soon Take care,Sat Jun 13 10:12:50 +0000 2020
12,RT @USAmbNepal: We continue to support Nepal's fight against #COVID19: proud to join @USAIDNepal AMD Adriana to announce an additional $3 m…,Sat Jun 13 10:14:14 +0000 2020
13,"RT @EconomicTimes: Former Pakistan captain #ShahidAfridi on Saturday said he has tested positive for #COVID19, becoming the first high-prof…",Sat Jun 13 09:52:45 +0000 2020
14,Either strengthen your government hospitals or get ready to pay private hospitals for #covid19 treatment https://t.co/mVYtlcudme,Sat Jun 13 10:31:47 +0000 2020
15,Get well soon Lala❤,Sat Jun 13 10:48:47 +0000 2020
16,RT @UNHumanRights: 🇳🇵#Nepal: We urge the authorities to respect the right to hold peaceful assemblies and protests in a safe manner. Author…,Sat Jun 13 10:50:05 +0000 2020
17,RT @ParakramRana: Our community is going through a lot especially during this Covid crisis. Let’s be extra supportive towards people from o…,Sat Jun 13 10:56:45 +0000 2020
18,RT @XHNews: Beijing's major wholesale market has been suspended after personnel working there tested positive for #COVID19 https://t.co/056…,Sat Jun 13 11:00:36 +0000 2020
19,RT @mukeshgastromed: Either strengthen your government hospitals or get ready to pay private hospitals for #covid19 treatment https://t.co/…,Sat Jun 13 11:03:29 +0000 2020
20,Wishing for speedy recovery Legend...😣😢,Sat Jun 13 11:09:44 +0000 2020
21,"***we nefoli***
50+ cases: let's protect 😷😷
5000+ cases: let's protest✊✊
#covid19",Sat Jun 13 12:17:11 +0000 2020
22,Get well soon...prayers for speedy recovery,Sat Jun 13 12:18:56 +0000 2020
23,Get well soon cricketer @SAfridiOfficial.,Sat Jun 13 12:33:28 +0000 2020
24,"Nepalese pray for you Speedy Recovery Boom Boom Afridi.
#GetWellSoon",Sat Jun 13 13:22:25 +0000 2020
25,"@aajtak @Ankit_news Stay strong India
Fight with #COVID19",Sat Jun 13 13:35:38 +0000 2020
26,"Enjoying great moment while climbing Island peak 6090m,  it is an amazing things to experience in lifetime.… https://t.co/U8EyBkGCKr",Sat Jun 13 13:51:44 +0000 2020
27,RT @SoutheastAsiaDC: #Vietnam is one of the world's most surprising success stories in the fight against #Covid19. @CSIS expert @GregPoling…,Sat Jun 13 14:02:30 +0000 2020
28,"RT @footballitalia: Claudio Ranieri admits several #Sampdoria players ‘need longer to recover than they did before’, as the team with the m…",Sat Jun 13 13:17:47 +0000 2020
29,"Thank you @Riazhassen for facilitating such a motivational session on ""Rising After The Crisis"" and thank you… https://t.co/eob8eKLxtd",Sat Jun 13 14:09:32 +0000 2020
30,"RT @GovCanHealth: Just because you’re young and healthy, doesn’t mean that you’re immune to #COVID19. Watch Matt’s story about his experien…",Sat Jun 13 11:07:58 +0000 2020
31,"Get well soon BOOM BOOM
U fought through cricket career, u can fight with covid",Sat Jun 13 14:25:45 +0000 2020
32,@mohpnep @MOHPnepal @dhbhanu Please make of this method for fast and effective results of coronavirus detection. You have very good datascience professionals here in Nepal. Ask help. They will happily participate in this hour of crisis.,2020-03-02 23:57:35
33,Silicon Valley is effectively on lockdown over coronavirus.. https://www.newsbreakapp.com/n/0ONmRgpn?pd=04BfKa20&s=i2 …,2020-03-10 23:54:46
