,Tweets,Date
0,Wall Street rallies on promising coronavirus drug http://www.myheadlinez.com/40506350/Wall-Street-rallies-on-promising-coronavirus-drug/,2020-04-29 23:48:51+00:00
1,”A roaring lion kills no game”. Sitting around and talking about something gains nothing. The saying also implies that you should work towards your goals quietly rather than bragging about your achievements prematurely. #coronavirus #COVIDー19 #leadership,2020-04-29 22:23:59+00:00
2,Interesting how #icantbreathe references both #GeorgeFloydMurder and #coronavirus,2020-05-30 23:16:12+00:00
3,"I stay about 7 miles away from Nike European HQ in Hilversum, their office was shut for a deep clean as some of their staff had Coronavirus. This was around the same time. Nike representatives probably brought it with them.",2020-05-30 23:14:53+00:00
4,It's like the fact that we're only apparently 17 to 15% of the population meanwhile 40% of us so far have contracted the Coronavirus the last time I checked. Personally I blame the fact that not a lot of us have access to decent health care but that's neither here nor there.,2020-05-30 22:34:47+00:00
5,Using inbound marketing to boost recruiting efforts post-coronavirus http://upflow.co/l/B2CX,2020-05-30 21:33:40+00:00
6,11 Savvy Things I Was Already Doing When Coronavirus Hit That Brought Me Unexpected Peace https://livelifehomeschool.com/11-savvy-things-when-coronavirus-hit-unexpected-peace/ via @LLHomeschool,2020-05-30 21:19:04+00:00
7,"Our weather this spring has been more LA than NL. It’s like coronavirus brought sunshine and warmth with it to Northern Europe, which has made the whole lockdown a bizarrely pleasant experience at times.",2020-05-30 21:11:48+00:00
8,"How New Zealand beat coronavirus: testing, tracing, trust in advice - @businessinsider",2020-05-30 20:51:07+00:00
9,I'm not talkin about little nut sacks in particular I'm just saying celebrities in general. If I remember correctly Megan the stallion and Beyonce donated to the coronavirus effort and so did Taylor Swift I believe (kind of iffy on that last one),2020-05-30 20:35:09+00:00
10,Eeeexactly You can't necessarily throw your money everywhere because you still need it at the end of the day but donating to a very important cause towards coronavirus or making your own type of cause or even hosting some type of live stream for charity that would be nice.,2020-05-30 20:34:26+00:00
11,Coronavirus latest: Trump faces backlash over WHO exit,2020-05-30 20:26:01+00:00
