,Tweets,Date
0,Gilead Drug Proves Effective Against Coronavirus in US Study ,2020-04-29 23:59:00+00:00
1,Coronavirus BREAKTHROUGH: US officals say drug has ‘significant’ impact on virus https://taazakhaber.com/coronavirus-breakthrough-us-officals-say-drug-has-significant-impact-on-virus/,2020-04-29 23:45:46+00:00
2,'A drug can block coronavirus': Gilead's remdesivir raises hopes @AJENews https://aje.io/prveq Top US scientist Anthony Fauci says the drug reduced the time it took for some patients to recover by 31 percent.,2020-04-29 23:42:03+00:00
3,I love this man. The way he responded and silenced these Indiots was unexplainable. #coronavirus #IndiaToday,2020-04-29 23:26:33+00:00
4,Khyber Pakhtunkhwa Government has launched a toll free e-Razakar helpline to provide relief to the masses and to resolve citizens issues at their doorsteps. KP citizens can dial 1700 to get access to: - Information related to Coronavirus. - Free medical advice @PTIKPOfficial,2020-04-29 23:26:13+00:00
5,Microsoft launches free COVID-19 tracking app for Windows 10 devices #microsoft #windows10 #COVID19tracker #bing #COVIDー19 #coronavirus ,2020-04-29 23:25:35+00:00
6,Khyber Pakhtunkhwa Government has launched a toll free e-Razakar helpline to provide relief to the masses and to resolve citizens issues at their doorsteps. KP citizens can dial 1700 to get access to: - Information related to Coronavirus. - Free medical advice ,2020-04-29 23:25:04+00:00
7,Sir help the third world countries to eradicate coronavirus like Pakistan's Prime minister ask to forgive the loans taken by third world countries,2020-04-29 23:14:01+00:00
8,"Amid a surge in the number of Pakistani journalists testing positive to coronavirus, Reporters Without Borders and its partner, Freedom Network Pakistan have compiled 15 recommendations for Pakistani news media so that they can avoid putting their journalists in danger.",2020-04-29 23:05:51+00:00
9,"Sindh Governor @ImranKhanPTI meet with businessmen without any proper mask or any safety measures, violated the SOPs of #SindhGovt is now blaming that interior Sindh peoples’ are not educated, due to this he become infected in corona virus. #GovernerSindhMustResign",2020-04-29 23:05:09+00:00
10,"""Coronavirus: US top infectious disease doctor says drug trial shows 'quite good news'"" #Coronavirus ",2020-04-29 23:58:31+00:00
11,While if you want me to share the insights of what's going on within the city/country. I would be glad to assist or to support @pid_gov #coronavirus #lockdownpakistan #StayHomeSaveLives,2020-04-29 22:39:45+00:00
12,"#Shukar_Alhamdullah! *Karbala and #Najaf* - officially free of #CoronaVirus. #O_Allah! Do not deprive us of the #Ziarah_Of_Hussain (slwt) #Hussain (slwt) is in our soul, #Karbala is in our heart Voice @MirHasanMir1",2020-04-29 22:30:40+00:00
13,Great to see Balochistan govt using best possible means to track and control Corona virus spread.,2020-04-29 22:29:52+00:00
14,"even if there is only one patient of coronavirus on the earth, it is as dangerous as if the whole world is victim of coronavirus ...!!! we should not forget that it was spread from one patient in the beginning !!!! ",2020-04-29 22:19:19+00:00
15,BBC News - Coronavirus: Sanitiser maker's links back to Victorian cough cure ,2020-05-30 23:52:02+00:00
16,#Pakistan is now in the Top 10 with most active #Covid cases. And this is only for the ones being reported. May Allah almighty help us. Aameen. #coronavirus #CoronaVirusPakistan #Covid_19,2020-05-30 23:12:49+00:00
17,Coronavirus: Belgian Prince Joachim tests positive after lockdown party https://www.bbc.co.uk/news/world-europe-52864072,2020-05-30 22:46:27+00:00
18,So no in cage interviews this time then? Btw this will be like 4th UFC event since coronavirus became a global pandemic so my question is why hasn’t NBA started yet? What are they waiting for? ,2020-05-30 22:30:02+00:00
19,"A spike in harassment of Asian-Americans since the coronavirus pandemic began has led community activists in the U.S. to fight back —rallying on social media, supporting each other online and forming street patrols.. ",2020-05-30 22:28:04+00:00
20,Chinese coronavirus vaccine could be ready by year-end ,2020-05-30 22:25:46+00:00
21,BBC News - Coronavirus: Backlash after Trump signals US exit from WHO ,2020-05-30 23:08:03+00:00
22,"Rightly said, Sir. Quitting smoking can actually help protect against coronavirus. And. Thankyou for your kind words and encouragement, they mean a lot and we truly appreciate it :)",2020-05-30 21:54:13+00:00
23,"4/4 5) For *A- blood* 03224664551 , 03066640094 6) For *B- blood* 03026609743. Thanks to Dr Babar Butt(Associate Professor) *kindly, must donate your plasma if you have been coronavirus patient, only Convalescent Plasma #COVID19Pakistan #Covid_19 #Pakistan",2020-05-30 21:48:14+00:00
24,India announces major easing of coronavirus lockdown ,2020-05-30 22:34:38+00:00
25,"03244786111 4) For *0+ blood* : 03315519033 , 03097902717 , 03054532257 5) For *A- blood* 03224664551 , 03066640094 6) For *B- blood* 03026609743. *kindly,must donate your plasma if you have been coronavirus patient,only Convalescent Plasma(having antibodies against Covid-19) ",2020-05-30 21:37:55+00:00
26,We want these to be our new work stations please! #SocialDistancing #CoronaVirus #socialdiarymagazine https://www.instagram.com/p/CA08V9_AerI/?igshid=f9id66qhwfkh,2020-05-30 21:33:31+00:00
27,"I have Tested Positive for Corona Virus &amp; Quarantined at my Home with immediate effect,Please Remember me in your Prayers,Stay Safe Everyone ",2020-05-30 21:12:53+00:00
28,Chinese coronavirus vaccine could be ready by year-end http://qbnews5.com/chinese-coronavirus-vaccine-could-be-ready-by-year-end/,2020-05-30 20:55:29+00:00
29,"Covid-19 alarmingly increasing in Pakistan even effecting human rights defenders, Doctors, Paramedical staff and social workers. #CoronaVirus @secgen @UN @UNGeneva @OHCHRAsia @UN_HRC @usembislamabad @usconsulatekhi @EUPakistan @WHO",2020-05-30 20:53:06+00:00
30,Peru’s coronavirus response was ‘right on time’ – so why isn't it working? https://www.theguardian.com/global-development/2020/may/20/peru-coronavirus-lockdown-new-cases?CMP=share_btn_tw #peru #covid19 #coronainperu #lockdowns,2020-05-30 20:38:00+00:00
31,"Corona is like your wife. Initially, you try to control it then you realize that you can't. Then you learn to live with it :) #coronavirus",2020-05-30 20:31:35+00:00
32,"Coronavirus: 99% confident that COVID-19 vaccine will work, says Chinese firm ",2020-05-30 21:13:07+00:00
33,"I am just waiting. Just waiting. For amazon warehouses to burn down. Their offices too. Like anything amazon, fk that. Like remember when Amazon was like “donate your sick leave to your coworkers that need it”??? Like they spread coronavirus so much",2020-05-30 19:58:58+00:00
34,"Coronavirus or not, cant we just nominate people to be quarantined?? Better place to dedicate is PM House , cos acc to youthias PM is living i bani gala.??",2020-05-30 19:56:23+00:00
35,It might be the best time to quit smoking in wake of #COVID__19 as you need strong lungs to beat this deadly disease. Amidst all the Coronavirus havoc @SYNCHPakistan’s #TobaccoFreeHomes campaign is highly commendable.,2020-05-30 19:52:24+00:00
36,"RT: Top 10 European Cup finals ever: Liverpool 2005? Man United 1999? Real Madrid 1960?: The 2020 Champions League final would have been played Saturday, May 30, before the coronavirus, so let's look at the top 10 finals from history. http://dlvr.it/RXgWvn",2020-05-30 19:50:03+00:00
37,"Well, I'm now convinced that God forbid but we're all gonna get corona at some time or other. Just be prepared for it Take those calcium and vitamin supplements, eat healthy and sleep well #covid19 #coronavirus",2020-05-30 19:33:54+00:00
38,TV anchor Maria Memon self-isolating after testing positive for coronavirus Follow our updates on #coronavirus here: http://dawn.com/live-blog/,2020-05-30 19:33:09+00:00
39,Coronavirus is just like Russian horror games? ,2020-01-30 23:24:06+00:00
40,Trump Official Suggests the Coronavirus Will Help Bring Back American Jobs: ‘You Can’t Make This Stuff Up’ https://coverpagemag.com/2020/01/31/trump-official-suggests-the-coronavirus-will-help-bring-back-american-jobs-you-cant-make-this-stuff-up/,2020-01-30 22:06:31+00:00
41,Chinese Medical staff on the front line to fight the corona virus. Salute to their bravery and courage. Proud of you. #CoronavirusOutbreak #China #coronarvirus,2020-01-30 21:42:09+00:00
42,@SindhHealthDpt has decided on monitoring pilgrims from #Iraq along with the passengers coming in from any other country that has #Coronavirus patients present currently. #COVID19 #COVID2019 #COVID19Pakistan #CoronavirusOutbreak #CoronavirusUpdates #CoronavirusInPakistan,2020-02-28 18:52:30+00:00
43,"2020 has already seen:

•Coronavirus outbreak
•7.7M earthquake by Cuba & Jamaica
•Major quakes in Puerto Rico & Turkey
•Kobe & Gianna died
•Australian bushfires
•Taal Volcano eruption

You never know when your time’s up. Show your loved ones that you love them & enjoy life.",2020-01-28 23:58:50
44,Spread of coronavirus prompts CDC to expand 'enhanced health screenings' to 2 more US airports http://dlvr.it/RNV4nt pic.twitter.com/aWHqnWHk3y,2020-01-21 22:35:05
45,"The Chinese government prevented the Muslims of ughyer from celebrating Eid. Now, the Chinese can only celebrate their new year (of the rat) via social media. Out of fear of contracting the coronavirus 
 but they plan and Allah plans. And Allah is the best of planners #chinaCoronpic.twitter.com/XJjTxTj5H0",2020-01-27 23:34:20
46,"Thank you for Support
Latest Video about coronavirus
https://youtu.be/-JP9vIp7M6Q 
#coronavirus #coronavirusupdate #coronavirusdeaths #coronavirusitalIa #CoronationStreet #coronavirusindia #coronaviruswuhan #china #wuhan #ChinaziVirus #VIRUS_CORONA #virus",2020-02-07 23:34:38
47,"Coronavirus news and real-time updates: global cases in the top 69,000 https://instant.com.pk/2020/02/coronavirus-news-and-real-time-updates-global-cases-in-the-top-69000/ …",2020-02-16 23:24:47
48,Rush Limbaugh defends Trump from coronavirus criticism: 'He's actually trying to protect the United States' http://dlvr.it/RQlNXP pic.twitter.com/Q4n1mzARDt,2020-02-25 23:49:34
49,Hand sanitiser or hand washing – which is more effective against coronavirus? https://www.theguardian.com/world/2020/feb/28/hand-sanitiser-or-hand-washing-which-more-effective-against-coronavirus-covid-19?CMP=share_btn_tw …,2020-02-28 23:59:01
50,"#CoronaVirusUpdates
#coronavirususa
#coronavirusPakistan
#CoronavirusOutbreak

Wearing a mask will protect you from coronavirus? Here's the answer https://thenamal.com/featured/wearing-a-mask-will-protect-you-from-coronavirus-heres-the-answer/ …",2020-02-26 23:59:02
51,"U.S. Health Workers Responding to Coronavirus Lacked Training and Protective Gear, Whistle-Blower Says https://www.nytimes.com/2020/02/27/us/politics/coronavirus-us-whistleblower.html …",2020-02-27 23:53:49
52,2020 seems to me like sacred games in real life every day there is a new shit storm like yesterday night a bomb bla… https://t.co/TR36iv6WlN,Sat Jun 13 07:52:56 +0000 2020
53,"RT @etribune: At least 50,056 #coronavirus patients have recovered in #Pakistan

https://t.co/7SmonFq3nj https://t.co/pLUyVBLClr",Sat Jun 13 07:54:19 +0000 2020
54,"9,809 record corona patients recoverd in last 24 hrs in Pakistan..

#coronavirus
#COVID
#lockdown",Sat Jun 13 07:56:26 +0000 2020
55,"50,000+ patients with CoViD-19 are now recovered in Pakistan. Alhamdulilah😍👏

#coronavirusinpakistan 
#coronavirus",Sat Jun 13 07:58:59 +0000 2020
56,"RT @SnapPakistan: 📍Atabad lake from a different perspective

I make an effort to show our beautiful Pakistan in the days of lockdown / isol…",Sat Jun 13 08:00:27 +0000 2020
57,"#Which is the best?

Download now: https://t.co/FCMQPOsQS7
Visit here: https://t.co/ezqd7xIx8C

#Qareebidukan… https://t.co/vJ73VGbnsL",Sat Jun 13 08:00:42 +0000 2020
58,"Good Morning to all. ♥️♥️♥️♥️♥️

#coronavirus",Sat Jun 13 08:02:06 +0000 2020
59,"RT @dawn_com: 9,089 more people recover in Pakistan, total recoveries top 50,000

Follow our updates on #coronavirus here: https://t.co/vY4…",Sat Jun 13 08:04:41 +0000 2020
60,"RT @ConceptTVNews: The nationwide tally of Covid-19 patients stands at 132,405 with 50,087 cases in #Punjab, 49,256 in #Sindh, 16,415 in Kh…",Sat Jun 13 08:14:46 +0000 2020
61,RT @AFP: #UPDATES Eleven residential estates in south Beijing are locked down due to a fresh cluster of #coronavirus cases linked to the ne…,Sat Jun 13 07:51:13 +0000 2020
62,RT @rjimad: Bolsonaro makes a tiger force in Brazil. Amazing so many similarities between Brazil and Pakistan. Both the countries ruled by…,Sat Jun 13 08:19:50 +0000 2020
63,"#howtostartfreebitcoinmining #freebitcoinminingweb #covid #covid19 #coronavirus #COVID19
WORK FROM HOME
Trusted Fre… https://t.co/LtpRgU0BId",Sat Jun 13 08:26:00 +0000 2020
64,"#FederalBudget2020_21
#CustomsReliefMeasures 
To provide relief to common people Customs Duty and Taxes exempted on… https://t.co/0ScJrqu9rN",Sat Jun 13 08:26:18 +0000 2020
65,"RT @dawn_com: Shahid Afridi tests positive for coronavirus

Follow our updates on #coronavirus here: https://t.co/vY4fVgAjuk",Sat Jun 13 08:34:54 +0000 2020
66,No lala not you man! Allah bless you and I pray for your speedy recovery. This is the man who always steals my beart,Sat Jun 13 08:35:55 +0000 2020
67,"Boom Boom Shahid Afridi tests positive for COVID-19.
May the hero recovers soon.
#Pakistan #Cricket #PCB… https://t.co/wUh9H3Vuxp",Sat Jun 13 08:36:46 +0000 2020
68,Get Well Soon LALA 💐😣 @SAfridiOfficial 💚,Sat Jun 13 08:37:17 +0000 2020
