,Tweets,Date
0,"I wonder if part of his family, maybe Ivanka and one of his kids, caught the coronavirus and died if he would call it a success? I mean, most of his family would still be alive!",2020-04-29 23:58:36+00:00
1,Judge blocks Trump from giving coronavirus relief for Native American communities to corporations #SmartNews,2020-04-29 23:54:27+00:00
2,"Take that, coronavirus! I feel so much better now.",2020-04-29 23:48:41+00:00
3,People who have recovered from the coronavirus have a rare chance to get reinfected is very low. In rare incidents people with underlying problems are more than likely reason for reinfection. Stay strong and in the UV light Patriots. Will be redeemed. Thank you God.,2020-04-29 23:40:55+00:00
4,Man Sings ‘God Bless America’ Every Day To Inspire Neighbors During Coronavirus Lockdown ,2020-04-29 23:40:33+00:00
5,Trump administration to speed coronavirus vaccine development: official http://dlvr.it/RVjqHx,2020-04-29 23:40:32+00:00
6,Man Sings 'God Bless America' Every Day To Inspire Neighbors During Coronavirus Lockdown ,2020-04-29 23:38:09+00:00
7,Coronavirus Latest: Drive-By 100th Birthday Celebration Held For Woman At South Jersey Senior Center ,2020-04-29 23:34:29+00:00
8,Thunderbirds flying over Temple Hospital saluting the unsung heroes of our day! #Temple #Hospitals #HeroesInTheHotZone #COVIDー19 #COVID #coronavirus #pandemic #ThanksHealthHeroes #HealthcareHeroes #FrontlineWarriors #FrontLineHeroes,2020-04-29 23:31:38+00:00
9,'Possible Breakthrough': Oxford Scientist Says Coronavirus Vaccine Could Be Ready Within Months ,2020-04-29 23:52:15+00:00
10,Your daily agitprop: How Are Rich People Getting Richer During the Coronavirus Pandemic? | GQ ,2020-04-29 23:17:24+00:00
11,What do you think if my coronavirus ponytail? I'm like cool poetry guy on campus now. ,2020-04-29 23:17:01+00:00
12,Watching an AMAZING @YouTube event with @StephenKing and @JohnGrisham right now. They are asking everyone to support independent book stores by making a donation to @BincFoundation ! They are small businesses struggling like we all are during #CoronaVirus,2020-04-29 23:13:44+00:00
13,GOP Senator Calls On Elected Officials To ‘Lead By Example’ And Follow Coronavirus Guidelines (Huffington Post) https://politicallybrewed.com/gop-senator-calls-on-elected-officials-to-lead-by-example-and-follow-coronavirus-guidelines-huffington-post/ via @Politically Brewed,2020-04-29 23:13:41+00:00
14,"Talk about spin. #Bullshit During an exchange with reporters in the Oval Office on Wednesday afternoon, Trump argued that the main reason the U.S. has the world’s highest number of confirmed coronavirus cases is because “our testing is so superior.” https://www.washingtonpost.com/world/2020/04/29/coronavirus-latest-news/",2020-04-29 23:13:31+00:00
15,Coronavirus: Fauci 'really confident' those who recover will be immune - Business Insider ,2020-04-29 23:10:16+00:00
16,Failed Presidential candidate Pierre Delecto is at it again..... Romney: ‘Understatement‘ to Say America ‘Didn’t Look Real Strong‘ with Trump‘s Coronavirus Response https://www.breitbart.com/clips/2020/04/29/romney-understatement-to-say-america-didnt-look-real-strong-with-trumps-coronavirus-response/ via @BreitbartNews,2020-04-29 23:09:03+00:00
17,NCDOT Looks to Drones as Coronavirus Relief Tool ,2020-04-29 23:03:45+00:00
18,York County sailor aboard USNS Comfort helps in coronavirus fight ,2020-04-29 23:02:05+00:00
19,"Easton coronavirus relief fund helps 21 small businesses, mayor says ",2020-04-29 22:58:27+00:00
20,"If you'd like to read my blog where you can also purchase my novel, please check out my website. Here's my latest #blog post about life during the #coronavirus. https://www.deidrerobinson.com/2020/04/08/alpha-and-omega-ending-beginning-or-both/",2020-04-29 22:53:57+00:00
21,like this if you think coronavirus should go away ,2020-04-29 22:51:14+00:00
22,"Yes, he really said that. #WhatAJoke Kushner, praised the administration's response to the coronavirus pandemic as a ""great success story"" on Wednesday -- less than a day after the number of confirmed coronavirus cases in the US topped 1 million. ",2020-04-29 22:48:55+00:00
23,Some Local Businesses Thriving During Coronavirus Shutdown http://www.erienewsnow.com/clip/15056745/some-local-businesses-thriving-during-coronavirus-shutdown?utm_medium=social&amp;utm_source=twitter_ErieNewsNow,2020-04-29 22:47:01+00:00
24,NEW THIS EVENING: An employee at the Main Street Bank location in Moundsville has tested positive for the coronavirus. ,2020-04-29 22:46:47+00:00
25,How are we supposed to believe and trust in the graphs and predictions about the Coronavirus from doctors if the we can’t even trust the forecast from the weatherman,2020-04-29 22:34:07+00:00
26,Five‐year‐old's cute depiction of COVID‐19 onset and symptoms. #COVID19 #coronavirus ,2020-04-29 22:30:45+00:00
27,$mark Was wonder why there was a spike some years back as well....... #stockstowatch #NASDAQ100 #NASDAQ #ArtificialIntelligence #healthcare #HealthTech #sharecare #coronavirus https://seekingalpha.com/article/4288160-buy-sharecare-pre-ipo-60-discount-remark-holdings,2020-05-30 23:49:59+00:00
