,Tweets,Date
0,"Honest question: Why don't we test every single PEI resident? Or at least everyone over, say, 5 years old? Would this not be useful? @InfoPEI #covid19 #coronavirus",2020-04-29 23:42:49+00:00
1,Editorial: Meat supply fix is a recipe for coronavirus disaster ,2020-04-29 23:09:24+00:00
2,"AWAKE: :No society wants you to be Wise Osho, illustrates us with great truths that today before this pandemic we begin to understand. The Awakening of Consciousness will Begin .... #pandemia #coronavirus #covid19 #quedateencasa #peru #yomequedoencasa",2020-04-29 23:07:20+00:00
3,God is doing some AMAZING things right now! http://ow.ly/VZpF30qBR20 #foundation #victory #forthegood #life #lifegiving #joy #COVID19 #CV #COVID #coronavirus #triumph #bgbg2 #Blogger,2020-04-29 23:00:11+00:00
4,statistics of coronavirus infection can be found at this link http://bit.ly/2xjhDFH take care #coronavirus #quarantine,2020-04-29 23:24:57+00:00
5, BREAKING Italy suspends China flights after confirming first coronavirus cases ,2020-01-30 23:38:00+00:00
6,Cruise ship passengers test negative for coronavirus following a lockdown ,2020-01-30 23:35:50+00:00
7,"covid19 is creating panic in the connected people and the markets and governments take measures but what I see is that it is leaving in the sense of changing society and its way of living and throwing ourselves into the arms of new technologies ina first stage, things will change ",2020-02-28 14:52:20+00:00
8,OMEN! The Devil,2020-01-04 18:58:22
9,Good Job @realDonaldTrump ,2020-01-03 02:59:52
10,Hi! Thank you for this very relevant question! This @WHO video explains about #coronavirus #2019nCoV and ways to protect yourself: https://twitter.com/WHO/status/1218229883484155913?s=20 …https://twitter.com/WHO/status/1218229883484155913 …,2020-01-18 19:59:23
11,Follow this thread by @ZulmaCucunuba on the current scientific events around the novel #Coronavirus #2019nCoV outbreak and the power of open science!https://twitter.com/ZulmaCucunuba/status/1218539461111361541 …,2020-01-18 14:47:12
12,"@MailOnline highlighting our report on estimated cases of new #coronavirus coronavirus outbreak in Wuhan:

https://www.dailymail.co.uk/health/article-7900047/Scientists-fear-4-500-Chinese-patients-caught-coronavirus.html …

by Natsuko Imai, @IlariaDorigatti, @dr_anne_cori, @SRileyIDD, and @neil_ferguson from @MRC_Outbreak, @imperialcollege, @Imperial_JIDEA",2020-01-17 18:21:01
13,"Size of Wuhan outbreak of a novel #coronavirus estimated from the three cases detected outside China: Likely to be over 1000 cases. @imperialcollege @mrc_outbreaks report released today

 https://www.imperial.ac.uk/mrc-global-infectious-disease-analysis/news--wuhan-coronavirus/ …pic.twitter.com/u0dUnMs9hA",2020-01-17 14:18:23
14," NEWS ALERT 

China confirms 131 deaths as coronavirus spreads to multiple countries https://twitter.com/i/events/1219057585707315201 …",2020-01-28 23:34:40
15,Medical professionals from all over China are in Wuhan to fight the coronavirus outbreak https://twitter.com/i/events/1222943249901309952 …,2020-01-30 23:38:58
16," BREAKING 

Italy suspends China flights after confirming first coronavirus cases https://twitter.com/i/events/1222999531584753664 …",2020-01-30 23:38:00
17,Cruise ship passengers test negative for coronavirus following a lockdown https://twitter.com/i/events/1222856786916413440 …,2020-01-30 23:35:50
18,"vamos a escucharlo uwu
Is the new coronavirus outbreak the next SARS? https://omny.fm/shows/wait-theres-more/is-the-new-coronavirus-outbreak-the-next-sars …",2020-01-22 23:28:38
19,WHO to hold emergency session on new coronavirus | NHK WORLD-JAPAN News https://www3.nhk.or.jp/nhkworld/en/news/20200122_11/ …,2020-01-21 23:58:14
20,Air Canada temporarily suspends all flights to Beijing and Shanghai amid coronavirus concerns https://twitter.com/i/events/1222620183031734272 …,2020-01-29 23:49:04
21,British Airways suspends all flights to China amid coronavirus outbreak https://twitter.com/i/events/1222427176596733952 …,2020-01-29 23:48:48
22," NEWS ALERT 

China confirms 132 deaths as coronavirus spreads to multiple countries https://twitter.com/i/events/1219057585707315201 …",2020-01-29 23:48:08
23,"Well the city in China that the outbreak originated from does have 1 of only 53 worldwide Level 4 biolagical labs. Only recently stepped up from level 3 biohazard research to level 4.
Primary research being coronavirus and SARS viruses.",2020-01-26 23:41:01
24,Chinese mother granted emergency visa to visit son in Australian hospital amid coronavirus travel ban https://twitter.com/i/events/1225612610046808064 …,2020-02-07 23:42:08
25,"PUBLIC HEALTH EMERGENCY

Cruise ship docked in New Jersey removed passengers for coronavirus evaluation https://twitter.com/i/events/1225771906604756993 …",2020-02-07 23:36:55
26,"PUBLIC HEALTH EMERGENCY

Macau to temporarily close all casinos after confirming 10th coronavirus case https://twitter.com/i/events/1224566398573137920 …",2020-02-04 23:43:05
27," NEWS ALERT 

France announces first coronavirus death outside Asia https://twitter.com/i/events/1228623056026779648 …",2020-02-15 23:50:20
28," NEWS ALERT 

""WHO officially names the illness caused by new coronavirus: COVID-19""  https://twitter.com/i/events/1227308892536766471 …",2020-02-11 23:54:29
29,"Markets: 
Goldman says market underestimating coronavirus risk: 'Correction is looking much more probable': http://bit.ly/2u9HXjY ",2020-02-19 23:26:14
30,"""KLM apologizes for closing off toilet to Koreans amid coronavirus concerns on a recent flight""  https://twitter.com/i/events/1228288492855152642 …",2020-02-14 23:57:23
31,"""Tokyo Marathon cancels thousands of entries due to coronavirus concerns""  https://twitter.com/i/events/1229331508378259456 …",2020-02-17 23:43:57
32,"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…",Sat Jun 13 10:14:30 +0000 2020
33,RT @AJOG_thegray: #Prenatal Care Redesign: Creating Flexible Maternity Care Models Through Virtual Care#Prenatal Care Redesign: Creating Fl…,Sat Jun 13 10:39:03 +0000 2020
34,"RT @yourICM: #COVID19 induced #AKI in critically ills with #SARSCoV2 #Coronavirus infection: several mechanisms possibly involved, prevalen…",Sat Jun 13 08:40:30 +0000 2020
35,RT @ISQua: Less than a week to go to our first ever virtual conference. We had the last planning call yesterday. Programme available here:…,Sat Jun 13 11:50:32 +0000 2020
36,RT @ILTANet: If a pandemic like #COVID19 ever takes place again will we be prepared? This new #ILTABlog explores what tools the author wish…,Sat Jun 13 11:57:25 +0000 2020
37,"RT @BYCS_org: 💥 Fantastic news from #Lima, Peru!

🏢 @RimacSeguros have pledged that 50% of their employee commutes will be by sustainable t…",Sat Jun 13 12:13:52 +0000 2020
38,"RT @ABsteward: NEW @TheLancetInfDis
Clinical characteristics of #COVID19 in 104 people with SARS-CoV-2 infection on the Diamond Princess cr…",Sat Jun 13 12:15:50 +0000 2020
39,"RT @SCCM: The swift increase in #COVID19 knowledge has helped doctors discard treatments that aren't working, and use existing therapies mo…",Sat Jun 13 12:47:54 +0000 2020
40,"RT @YourAnonNews: Yesterday, there were 140,927 new cases of #COVID19 and 4,603 additional deaths were reported in the past 24 hours.

This…",Sat Jun 13 11:24:47 +0000 2020
41,"RT @MileyCyrus: Spain, you united in solidarity with Black Lives Matter in the US. We must keep standing together to tackle #COVID19 and it…",Sat Jun 13 09:52:29 +0000 2020
42,"RT @TonysAngle: Which way metals prices? 

#Covid19 demand shock but then rally as China stimulus puts money into infrastructure, boosting…",Sat Jun 13 13:27:44 +0000 2020
43,"RT @YalePsych: As buds of resilience begin to bloom in New York City the previous epicenter of the #COVID19 pandemic, those who have recove…",Sat Jun 13 13:41:09 +0000 2020
44,"RT @AyomiposiMr: Common guys stop back pain today
Available worldwide, limited offer before 48h $47 (17,900) order now by DM +2348143046981…",Sat Jun 13 13:56:03 +0000 2020
45,"RT @nigewillson: Robots Help Employees Stay Safe During COVID-19 https://t.co/pFTN8gKzsN
#ai #ArtificialIntelligence #MachineLearning #Deep…",Sat Jun 13 11:26:24 +0000 2020
46,RT @ArbenMerkoci: Very happy to be part of this group of colleagues to write in the prestigious @acsnano about what nanotechnology is doing…,Sat Jun 13 14:13:27 +0000 2020
47,RT @sdelapuente: Great work by Eloy Aroni and @GlobalFishWatch tracking peruvian fisheries! | #COVID19 #peru #fisheries #iffo #anchoveta |…,Sat Jun 13 14:31:18 +0000 2020
48,"Yeah, coronavirus arrived in my country Peru today, and in the radio they said that the most important to do is wash your hands properly and dont go panic mode. https://twitter.com/BCis4Life/status/1236077771098656774 …",2020-03-06 23:59:22
49,Just be careful with that Italian seasoning. Coronavirus is bad over there.    Too soon?,2020-03-11 23:56:57
50,biglow your house is certainly immune to corona virus by now,2020-03-10 23:59:16
51,"He's making a serious accusation here...

Have you ever refered yourself as an inFLUenster?

Are you spreading the flu and even Coronavirus?

We demand answers, sir. Jim Cornett's tennis racquet exposed you",2020-03-10 23:56:04
52,If you’ve eaten at Lins best believe you’re immune to the coronavirus. :/,2020-03-12 23:59:53
53,2 Los Angeles Lakers teste positive for coronavirus!? Why couldn’t it be the clippers instead ,2020-03-19 23:58:18
54,"-Almost started WW3
-Coronavirus
-Tom Brady gets signed by the buccaneers 

2020 u wild",2020-03-17 23:58:17
