,Tweets,Date
0,"If this corona virus stask force works out like everything trump does, american people must be feeling really safe. ",2020-01-30 22:32:53+00:00
1,"RT @DarrenEuronews: Top 5 countries 🌍 with highest number of #coronavirus cases

1. 🇺🇸 USA (Trump)
2. 🇧🇷 Brazil (Bolsonaro)
3. 🇷🇺 Russia (P…",Sat Jun 13 07:50:54 +0000 2020
2,"RT @VANurse1212: ➡️ Covid Poll 

🔄 Please RT After Voting For a Better Illustration

➡️ Did Anyone You Personally Know Test Positive For #C…",Sat Jun 13 09:56:00 +0000 2020
3,RT @smartdissent: NEW: Trump Uses #COVID19 To Eliminate Environmental Protections (We're Serious). READ: https://t.co/BLVdq6n82W #SmartDiss…,Sat Jun 13 12:06:08 +0000 2020
4,RT @Sanath07: My prayers and well wishes to you brother Afridi. Get well soon and continue your good work,Sat Jun 13 10:07:28 +0000 2020
5,"RT @ICLEI_Europe: How can #SmartCity solutions drive a sustainable recovery following #COVID19?

Join the #EUSmartCities Matchmaking event…",Sat Jun 13 10:45:39 +0000 2020
6,"Trump has many hunches about the coronavirus. Here's what his own experts say. Trump has spread misinformation on the coronavirus, contradicting his health officials on significant facts and advice. https://www.nbcnews.com/politics/donald-trump/just-my-hunch-trump-contradicts-health-experts-coronavirus-n1151006 …",2020-03-05 23:55:39
7,Are progressive governments more successful at responding to the coronavirus crisis? ,2020-04-29 23:33:44+00:00
8,Fauci announces good news about coronavirus drug https://youtu.be/SdqlNNAEju0 via @YouTube,2020-04-29 23:57:56+00:00
9,After coronavirus: Algarve among top places to live and retire for US citizens https://www.portugalresident.com/after-coronavirus-algarve-among-top-places-to-live-and-retire-for-us-citizens/ via @Portugal Resident,2020-04-29 22:18:39+00:00
10,"RmYN02(coronavirus) + ssRNA-RT(hiv)=SARS-CoV-2 (covid-19), by Charles Lieber + ? in , sponsored by CCP to achieve a New Order, coordinated by WHO, sponsored by Bill Gates, to the with mRNA nanobiosensors, to achieve free cryptocurrency mining in our s for Microsoft ",2020-05-30 22:16:23+00:00
11,League of Legends: FunPlus Phoenix donates 2 million yuan for Coronavirus victim relief in China ,2020-01-30 23:40:17+00:00
12,"""At the same time, work is also progressing on vaccines and therapeutics. More than 20 vaccines are in development globally, and several therapeutics are in clinical trials. We expect the first results in a few weeks""-@DrTedros #COVID19 #coronavirus",2020-02-28 15:29:07+00:00
13,when coronavirus wins all the categories tomorrow. ,2020-01-25 23:35:16
14,League of Legends: FunPlus Phoenix donates 2 million yuan for Coronavirus victim relief in China https://www.invenglobal.com/articles/10281/funplus-phoenix-donates-2-million-yuan-for-coronavirus-victim-relief-in-china …,2020-01-30 23:40:17
15,The race to find a cure for the coronavirus https://pca.st/wfkqbcvo  via @pocketcasts,2020-02-06 23:38:53
16,RT @donna_impresa: WOMAN INSPIRING THE FUTURE by Donna Impresa https://t.co/vBnlXY8pTR #13GIUGNO #sandroferrari #時尚 #中國 #CINA  #canada #CHI…,Sat Jun 13 08:11:28 +0000 2020
17,RT @AFP: #UPDATES Eleven residential estates in south Beijing are locked down due to a fresh cluster of #coronavirus cases linked to the ne…,Sat Jun 13 07:51:13 +0000 2020
18,"RT @ProgPost_FEPS: to make #finance work for the people and the planet, it needs to be understood as a #publicutility, the same way as a se…",Sat Jun 13 10:13:55 +0000 2020
19,Honored to be part of it and a pleasure to interact with you all.,Sat Jun 13 10:15:23 +0000 2020
20,"RT @MileyCyrus: Spain, you united in solidarity with Black Lives Matter in the US. We must keep standing together to tackle #COVID19 and it…",Sat Jun 13 09:52:29 +0000 2020
21,"Ni para tirarle los tejos sirve...

I CAMEE LIKE A WRECKING BALL, DESTROYING ALL YOUR ESCHEMEES WITH PABLITOOO.",Sat Jun 13 11:11:39 +0000 2020
22,"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…",Sat Jun 13 10:14:30 +0000 2020
23,"RT @Ironhorse76: Let's get this show on the road!  FOLLOW ALL WHO: 

LIKE 
RT
COMMENT 

Nov will soon be upon us &amp; the #OrangeShitGibbon mu…",Sat Jun 13 09:54:32 +0000 2020
24,"RT @bsexii3: Due to #COVID19 aka #Coronavirus I’m sending the first 400 people to like &amp; retweet $400-$4,000 through CashApp, PayPal, Apple…",Sat Jun 13 11:36:34 +0000 2020
25,RT @MileyCyrus: Across the Netherlands🇳🇱 you united in solidarity with Black Lives Matter in the US. We must keep standing together to tack…,Sat Jun 13 10:35:32 +0000 2020
26,hope those with Mild symptoms #coronavirus showed up 4 work like Donnie said was ok 2 do.,2020-03-06 23:59:52
27,"welcome to europe #coronavirus 
more 4 weeks and we’re green again… hopefully pic.twitter.com/YOx259fHqa",2020-03-06 23:58:28
28,"WHO launches new social media campaign against coronavirus, Europe News & Top Stories - The Straits Times https://www.straitstimes.com/world/europe/who-launches-new-social-media-campaign-against-coronavirus?cx_testId=20&cx_testVariant=cx_1&cx_artPos=0#cxrecs_s …",2020-03-05 23:58:55
29,"Coronavirus: Indonesia bans entry and transit of foreigners from worst-stricken regions in Iran, Italy and South Korea, SE Asia News & Top Stories - The Straits Times https://www.straitstimes.com/asia/se-asia/coronavirus-indonesia-bans-entry-and-transit-of-foreigners-from-worst-stricken-regions …",2020-03-05 23:58:37
30,"Coronavirus: 'Long list' of countries not doing enough to combat bug, says WHO, Europe News & Top Stories - The Straits Times https://www.straitstimes.com/world/europe/coronavirus-long-list-of-countries-not-doing-enough-to-combat-bug-says-who …",2020-03-05 23:58:26
31,Love its time to corona vírus you aren’t going to anywhere,2020-03-20 23:56:31
