,Tweets,Date
0,Coronavirus Effect: De Beers Cuts Its Production Guidance for 2020 ,2020-04-29 23:31:06+00:00
1,Russian Orthodox Church suspends protodeacon from service after critical remarks about archpriest who died from coronavirus ,2020-04-29 23:23:21+00:00
2,Russian university expels and evicts hundreds of students for refusing to leave their dorms during the coronavirus pandemic ,2020-04-29 23:23:07+00:00
3,"I have written new article on #Wikipedia ""Coronavirus disease COVID-19 in Russian nursing homes for the elderly and disabled"" but users say it needed to be deleted because no necessity of such articles and title too long. You may join to say ""keep"". https://en.wikipedia.org/wiki/Coronavirus_disease_COVID-19_in_Russian_nursing_homes_for_the_elderly_and_disabled",2020-05-30 23:14:43+00:00
4,#UK Govt: “We trust the British people to use their common sense to do their civic duty.” British people: “Hold our drinks.” #UKlockdown #Dorset #coronavirus #COVID19 #COVIDIDIOTS #COVIDIOTS,2020-05-30 21:27:41+00:00
5,"There is so much going on right now and I don’t know where to look, my timeline has got drag race dramas, riots and protests, NASA, coronavirus and of course #BlackLivesMatter ",2020-05-30 20:41:12+00:00
6,Coronavirus cases surpass 6 mln globally https://tass.com/society/1162201,2020-05-30 20:14:59+00:00
7,"Actually I have a flu, but I am on medication and I got my 3rd injection yesterday :) I'm tested negative for any corona virus infection, and my xray was clear, so they gave me medications appropriate for flu :)",2020-01-13 13:33:26
8,"Health experts predict that the coronavirus outbreak that originated in China will reach Russia in February
https://www.themoscowtimes.com/2020/01/29/how-is-russia-preparing-for-the-coronavirus-a69079 …",2020-01-29 23:42:00
9,Looks like there's something dodgy about the coronavirus after all. https://twitter.com/BBCNews/status/1226218121977114624 …,2020-02-08 23:39:42
10,Are you worried about purchasing an iPhone? They’re made in China. #apple #coronavirus,2020-02-05 23:39:00
11,"UN to mobilize all necessary resources to respond to coronavirus outbreak — Guterres: https://tass.com/world/1116555 
© EPA-EFE/OMER MESSINGER/POOLpic.twitter.com/lMpu52G8F3",2020-02-04 23:35:30
12,Guys every Indian wants to help #Pakistanistudents but according to international lows it's impossible without permission of @PakPMO we helped also #maldivians students #coronavirus @PMOIndia @narendramodi #PakStudentsStuckInChinapic.twitter.com/GUuBTfUBpw,2020-02-02 23:52:50
13,Mobile World Congress Canceled Due to Coronavirus Concerns https://www.bloomberg.com/news/articles/2020-02-12/mobile-world-congress-cancelled-due-to-coronavirus-concerns …,2020-02-12 23:33:00
14,waiting on Trump’s Coronavirus quarantine flyover to be like: pic.twitter.com/wIvuXf0lfE,2020-02-25 23:49:24
15,My boy Trump has defeated the coronavirus...and he made the stock market good too. What a multi-tasker.,2020-02-24 23:47:45
16,MMT and Everglow's company if you're gonna cancel over the coronavirus(and rightfully so) DO THAT SHIT RIGHT NOWWWWWW AND NOT A DAY BEFORE THE CONCERT PLEASE,2020-02-28 23:57:07
