,Tweets,Date
0,"Simple ways to prevent the spread of #COVID19 in your workplace: Promote regular thorough hand-washing Put sanitizing hand rub dispensers in prominent places around the workplace &amp; provide access to places where staff, contractors &amp; customers can wash their hands with &amp; ",2020-02-28 19:37:44+00:00
1,RT @AFP: #UPDATES Eleven residential estates in south Beijing are locked down due to a fresh cluster of #coronavirus cases linked to the ne…,Sat Jun 13 07:51:13 +0000 2020
2,"RT @PaulKagame: Had a call with PM @JustinTrudeau and thanked him for Canada’s strong partnership with Rwanda and Africa, and support again…",Sat Jun 13 10:23:14 +0000 2020
3,"Due to #COVID19 preventive measures, the #DayofAfricanChild2020 will be celebrated virtually by raising awareness o… https://t.co/WSHnIa5FyU",Sat Jun 13 10:52:55 +0000 2020
4,"RT @UNHCR_Kenya: Beautiful artwork by Congolese #refugee in Kenya submitted 4 art contest to share message ""Everyone Can Make A Difference:…",Sat Jun 13 12:56:48 +0000 2020
5,RT @sarodriques: A view of Ikizere at work. She seems very pleasant as she goes about her job supporting the doctors and nurses to serve th…,Sat Jun 13 11:06:10 +0000 2020
6,"RT @RYVCP_Gasabo: Briefing and debriefing is part of our daily duties, here are Volunteers who work in #Kabuga tax park at #Rusororo sector…",Sat Jun 13 13:42:25 +0000 2020
7,"Remarkable statement in times of #COVID19: ""Vaccines can only save lives if everyone who needs them can access them… https://t.co/IQjoiQEOXS",Sat Jun 13 13:43:35 +0000 2020
8,Child Protection #COVID19 https://t.co/dTOhb1ML6t,Sat Jun 13 13:54:56 +0000 2020
9,RT @USAmbRwanda: I would like to salute #Rwanda #womeninpeacekeeping &amp; extend my condolences on the loss of Police Constable Enid Mbabazi d…,Sat Jun 13 14:01:41 +0000 2020
10,"RT @Atayeshe: My message during today’s @WHO press briefing on #COVID19: sexual &amp; reproductive health services are not just nice to have, t…",Sat Jun 13 10:13:18 +0000 2020
11,"RT @steube: This South Korean cafe is staffed by #Robots to protect people from coronavirus

#AI #ArtificialIntelligence #MI #Tech #coronav…",Sat Jun 13 14:23:18 +0000 2020
