,Tweets,Date
0,Trump told aides that journalists hated him so much they would try to contract coronavirus on purpose to give it to him on Air Force One ,2020-04-29 23:21:57+00:00
1,After coronavirus patients got recovered ,2020-04-29 23:21:23+00:00
2,That's a Donald Trump Coronavirus cure,2020-04-29 23:03:18+00:00
3,British Crown Prince HRH Charles congratulates Muslims on the occasion of the holy month of #Ramadan. Watch The Prince of Wales’s message in full at: http://youtu.be/WQsoUjMw_y8 #RamadanMubarak #ramadankareem #coronavirus #Corona #COVIDー19,2020-04-29 22:39:52+00:00
4,Ex-Bush Aide Has Chilling Theory About Donald Trump's Coronavirus Strategy ,2020-04-29 23:28:03+00:00
5,"Coronavirus testing chief says 'no way on Earth' US can test 5 million a day, despite what Trump says ",2020-04-29 22:24:01+00:00
6,"potential coronavirus treatment drug remdesivir: “[The study data] shows that remdesivir has a clear-cut, significant positive effect in diminishing the time to recovery;” says remdesivir improved recovery time from 15 days to 11 days. ",2020-04-29 22:16:36+00:00
7,"#SaudiArabia recorded 1,618 new #coronavirus cases and 1,870 new recoveries during the last 24 hours. @SaudiMOH",2020-05-30 21:30:00+00:00
8,The measures that the Kingdom of Saudi Arabia has taken to combat the #coronavirus pandemic and stem its spread are commendable as these actions are based on the Human Rights based-approach. #HumanRights @WHO @UNHumanRights @UNGeneva @UN_SaudiArabia,2020-05-30 20:29:03+00:00
9,"At a time when the entire world is busy fighting coronavirus pandemic, many reform policies and programs have been halted or suspended in most countries of the world. However, the reform machine in Saudi Arabia is still working and the outcome is evident for all. #HumanRights",2020-05-30 20:18:36+00:00
10,Press like if you think coronavirus is cool,2020-01-30 23:35:30+00:00
11,"Long, informative thread, esp for Australians whose crooked govt hasn't begun to appreciate what #COVID19 means, or #Leadership. Like Trump our #LNP has spent its term in office cutting services that cannot now just be run on , fully functioning, to protect us or even their $$$",2020-02-28 21:40:39+00:00
12,"China has praised Saudi Arabia for its help in dealing with the #coronavirus outbreak, saying #KSA had offered “great moral and material support” in the wake of the health crisis.  @AmbChenWeiQing
https://arab.news/nryrn pic.twitter.com/2Dj8hljyPf",2020-02-04 23:41:33
13,#SaudiArabia's King Salman Humanitarian Aid and Relief Center signed six joint contracts for the provision of medical equipment and supplies to combat the novel #coronavirus in China.   http://bit.ly/31VMZwX ,2020-02-13 23:30:00
14,RT @AFP: #UPDATES Eleven residential estates in south Beijing are locked down due to a fresh cluster of #coronavirus cases linked to the ne…,Sat Jun 13 07:51:13 +0000 2020
15,"Get well soon. Lala🤲
#COVID19",Sat Jun 13 09:52:56 +0000 2020
16,"RT @allisonl: Thank you, thank you @francesbell and colleagues for your tireless work not only in creating  this special issue but in raisi…",Sat Jun 13 10:05:29 +0000 2020
17,Get well soon #shahidafridi lala ..!!! ❤️❤️,Sat Jun 13 10:11:17 +0000 2020
18,"RT @arabnews: #Saudi graduate from @KFUPM develops an effective and inexpensive device for #COVID19 testing.

Read more: https://t.co/wSsd6…",Sat Jun 13 10:18:34 +0000 2020
19,RT @ggiittiikkaa: Do Namaj 5 times for speedy recovery. Don't go to hospital. Don't take medicines. Those are all Kafir haraam conspiracies…,Sat Jun 13 09:57:55 +0000 2020
20,“Every leader looks good when times are good. It’s when things are bad that you really see great leadership”.… https://t.co/GfCJ7jfwEc,Sat Jun 13 10:23:54 +0000 2020
21,"A rich source of information and fact sheet, when and how to seek care for patients in different languages.. Many t… https://t.co/4QVDpGOywM",Sat Jun 13 10:27:47 +0000 2020
22,RT @_cricingif: Shahid Afridi tests positive for Corona virus. We wish upcoming days bring #Lala closer to a full and speedy recovery. 🙌…,Sat Jun 13 09:53:29 +0000 2020
23,Get well soon Lala.. Insha Allah,Sat Jun 13 10:35:56 +0000 2020
24,RT @ralphazar13: Thank you @Naldardeer for sharing this article. I came across it earlier today and was thinking how #covid19 accelerated t…,Sat Jun 13 11:10:19 +0000 2020
25,Get well soon Lala.,Sat Jun 13 10:13:26 +0000 2020
26,"RT @WaselButt: Get well soon, Lala. Prayers for your speedy recovery. Allah aap ko sehat de Ameen.

THIS MAN IS LARGER THAN LIFE. INSPIRATI…",Sat Jun 13 11:15:59 +0000 2020
27,"You are a social worker best cricketer and best human being Allah will protect you from evil, we pray for your spee… https://t.co/frBfpoP0NI",Sat Jun 13 11:36:16 +0000 2020
28,RT @faysalquraishi: Lots of prayers for you speedy recovery brother,Sat Jun 13 09:57:52 +0000 2020
29,"NOOR Mep introducing sanitizing tunnel.

100% Natural &amp; Alcohol free, Safe for children.

Product is available in 2… https://t.co/BRMy2KI359",Sat Jun 13 12:03:46 +0000 2020
30,RT @JAMA_current: Even a highly successful #COVID19 trial is likely to reduce mortality by only a 5-10% absolute difference; the number nee…,Sat Jun 13 10:29:16 +0000 2020
31,Praying for your recovery #Lala Get well soon 🖤,Sat Jun 13 12:09:13 +0000 2020
32,RT @SaudiEmbassyUK: #SaudiArabia is nearly ready to lift some social distancing measures previously implemented to combat the #covid19 pand…,Sat Jun 13 12:12:28 +0000 2020
33,"RT @TRBRajaa: Wishing our colleague in the #TNAssembly #Sriperumbudur #MLA Thiru Palani a speedy recovery from the grips of #Covid19 !!!
#g…",Sat Jun 13 12:11:59 +0000 2020
34,"RT @MHafeez22: U r a Fighter by Nature &amp; M sure U wil fight &amp; wil Defeat this Virus soon,  Best wishes for U to Get well soon 🤲🏼",Sat Jun 13 09:56:57 +0000 2020
35,"Get Well soon legend! InshaAllah this is just a phase which shall pass soon! 
Prayers for you! 
@SAfridiOfficial",Sat Jun 13 12:31:32 +0000 2020
36,RT @isdb_group: IsDB has committed US$ 2.3 billion to support our Member Countries combat the health and economic impacts of #COVID19. For…,Sat Jun 13 12:48:00 +0000 2020
37,RT @DhivCM: THREAD #COVID19 Stay vigilant on other measures like touching your face.CoronaVirus is believed to survive on some surfaces for…,Sat Jun 13 09:55:32 +0000 2020
38,we pray for your health speedy recovery,Sat Jun 13 13:04:40 +0000 2020
39,"The total confirmed #COVID19 cases in #Saudi is now 123308. Of those, a total of 82548 patients have recovered and… https://t.co/jh7Tvme1jB",Sat Jun 13 13:06:39 +0000 2020
40,"RT @CMShehbaz: My heartfelt prayers &amp; best wishes for your quick recovery. Allah's grace, prayers of the people &amp; determination are key to…",Sat Jun 13 13:01:13 +0000 2020
41,RT @hinaparvezbutt: May Allah give you the best of Health and a swift Recovery!,Sat Jun 13 11:13:12 +0000 2020
42,"Cleaning your #mobile and #tablets safely to remove any germs or other traces: https://t.co/iyWm6aUxdt

#technology… https://t.co/7Oz8BpYGXR",Sat Jun 13 13:58:53 +0000 2020
43,"This is not Saudi women’s rights, it’s the feminists rights which contradict with Islam principles. #Muslims… https://t.co/S2p3UXyrWE",Sat Jun 13 14:13:13 +0000 2020
44,RT @Sanath07: My prayers and well wishes to you brother Afridi. Get well soon and continue your good work,Sat Jun 13 10:07:28 +0000 2020
45,"So with this Coronavirus which pretty much closing everything down in the country, but my job",2020-03-11 23:58:05
46,"#SaudiArabia
The Municipality of #Riyadh region begins distributing sterilizer for free in 25 locations within the city that have been identified as traffic lights and a number of government agencies, as part of precautionary efforts to prevent the spread of the new #Corona viruspic.twitter.com/mnEdNzzNgY",2020-03-17 23:56:37
