,Tweets,Date
0,"Staying informed is important in times of crisis, but it's also important to separate facts from fiction. Help fight misinformation on #COVID19 by checking your sources! #Coronavirus v @UNPeacekeeping",2020-04-29 23:35:00+00:00
1,Just this whole coronavirus episode. Things reopening is positive but it will prob be soft at best. Will be ages before we travel normally again. Best case economic scenario we have a shit tonne more debt in the system.,2020-04-29 22:39:49+00:00
2,Status Update (April 29) on information regarding new coronavirus (COVID-19) situation in Switzerland and the region. See information and recommendations by Swiss Govt at - https://www.bag.admin.ch/bag/en/home/krankheiten/ausbrueche-epidemien-pandemien/aktuelle-ausbrueche-epidemien/novel-cov.html. Advisory attached. @MEAIndia @MoHFW_INDIA,2020-04-29 22:33:04+00:00
3,FACT: Exposing yourself to the sun or to temperature higher than 25C degrees DOES NOT prevent nor cure #COVID19 More: http://bit.ly/COVID19Mythbusters #coronavirus #KnowTheFacts,2020-04-29 22:15:45+00:00
4,"Due to the extraordinary circumstances caused by the spreading of Coronavirus (COVID-19), our Service Center is currently focusing on urgently necessary re-bookings.",2020-05-30 23:45:05+00:00
5,How work will be different for young professionals—and their employers—because of the coronavirus pandemic http://dlvr.it/RXglGj,2020-05-30 22:01:04+00:00
6,Trump: Coronavirus will have ‘a very good ending for us’ - POLITICO ,2020-01-30 23:47:19+00:00
7,#Coronavirus #Wuhan diary: Living alone in a city gone quiet: https://www.bbc.com/news/world-asia-china-51276656 #China,2020-01-30 22:07:44+00:00
8,"Just buy a mask and keep calm. Wash your hands and keep a healthy lifestyle. Enough sleep, vitamin C and chicken broth helps (it has anti-inflammatory virtues). That's probably all you can do atm. Buy food and some good books if you have to stay home. We'll survive #coronavirus",2020-01-30 21:42:14+00:00
9,#keepitlocal knitted. Before Covid19 when I was told No work! I did 2 blankets and a jumper too! @TheLastLeg,2020-02-28 23:01:19+00:00
10," Good for online brands like Zalando or Tesla and for established brands like Nestle, Kraft Foods, Danone #COVID19 #Brands #Trust",2020-02-28 21:04:58+00:00
11,IMPORTANT : Open Geneva took good note of measures decided this morning by the Swiss Federal Council regarding #COVID19 and follows all recommendations by the Health Authorities of Canton Geneva.,2020-02-28 20:03:43+00:00
12,Interesting take #covid19 ,2020-02-28 20:00:04+00:00
13,"#Switzerland #COVID19 public information campaign gets underway. In multiple languages of course. We can practice that hand washing since there's no sport, carnival, or concerts to go to. Not even a watch fair... ",2020-02-28 19:59:10+00:00
14,#Switzerland is ready vor #COVID2019 #COVID19 #covid19ch #real #journalism #coronavirus #coronavirus19,2020-02-28 19:00:04+00:00
15,Simple ways to prevent the spread of #COVID19 in your workplace: Promote good respiratory hygiene Ensure that and/or are available at your workplaces for those who develop a runny nose or cough at work - along with closed bins for hygienic disposal of them. ,2020-02-28 18:50:59+00:00
16,"I stand with the Government of #Italy as it strives to contain the #COVID19 outbreak and protect its citizens. WHO is determined to fight side by side with Italy and the @MinisteroSalute to defeat #coronavirus. With solidarity and collaboration, we will overcome this challenge.",2020-02-28 18:37:59+00:00
