,Tweets,Date
0,'GREAT SUCCESS STORY': Kushner takes victory lap as coronavirus kills more than 60K in U.S.,2020-04-29 23:38:54+00:00
1,'GREAT SUCCESS STORY': Kushner takes victory lap as coronavirus kills more than 60K in U.S...,2020-04-29 23:35:54+00:00
2,Soccer-Ten positive coronavirus tests in English Championship ,2020-05-30 20:50:34+00:00
3,Cayetano: ... are equipped and ready to attend to the needs of the Filipino people. We also encourage our local government units to support the DOH in reporting suspected cases of novel coronavirus in your communities. @PTVph,2020-01-30 23:46:43+00:00
4,Cayetano: ...and protocols to prevent the spread of the novel coronavirus. We now urge the Department of Health to use their available funds to implement the necessary contingency measures to ensure that all our medical facilities and hospitals @PTVph,2020-01-30 23:46:08+00:00
5,"Cayetano: With the confirmation of the first case of novel coronavirus, we urge the public to remain calm and vigilant during this time. Let us follow the directive of the medical professionals on practical self-protection measures, good hygiene.... @PTVph",2020-01-30 23:43:37+00:00
6,China has confidence and capability to win the war against coronavirus ,2020-01-30 23:32:41+00:00
7,"Right, see the folk in Wuhan, who feel like they’re in they’re own, re being brought back to UK? They’ve known about coronavirus, since December!! Wtf? #bbcqt",2020-01-30 23:23:06+00:00
8,"We’ll have a coronavirus case, tomorrow? My mum works in Boots, masks are out of stock! But, my mum says, even surgical masks only work for 45 minutes. I asked her to buy me some muslins, in case! If I don’t need to use them to protect my family, I’ll use them to strain gravy!",2020-01-30 23:11:29+00:00
9,Trump says coronavirus outbreak is 'very well under control' ,2020-01-30 22:22:25+00:00
10,WHO confirms coronavirus-infected patient being treated in Thailand https://www.devdiscourse.com/article/health/829858-whoconfirms-coronavirus-infected-patient-being-treated-in-thailand …,2020-01-14 03:33:26
11,"UPDATE 3-Starbucks sees hit as coronavirus prompts over 2,000 China store closures https://www.devdiscourse.com/article/international/851138-update-3-starbucks-sees-hit-as-coronavirus-prompts-over-2000-china-store-closures …",2020-01-28 23:49:52
12,"I hope the government acts swift on this and let the public know of preventive measures! @DOHgov 

—
12 persons being watched by DOH in Central Visayas for coronavirus https://newsinfo.inquirer.net/1218124/12-persons-being-watched-by-doh-in-eastern-visayas-for-coronavirus … via @inquirerdotnet",2020-01-22 23:55:43
13,THE NEW CHINESE EXPORT: coronavirus... And it's FREE!!!,2020-01-27 23:25:43
14,"Well, Coronavirus is not enough... https://twitter.com/NewEarthquake/status/1220847634635608065 …",2020-01-24 23:49:30
15,Trump's national security adviser says coronavirus could impact U.S.-China trade deal  https://www.devdiscourse.com/article/law-order/871095-trumps-national-security-adviser-says-coronavirus-could-impact-us-china-trade-deal--cnn …,2020-02-11 23:58:00
16,New coronavirus spreads more like flu than SARS https://www.devdiscourse.com/article/health/881662-new-coronavirus-spreads-more-like-flu-than-sars--chinese-study …,2020-02-19 23:36:42
17,New coronavirus spreads more like flu than SARS  https://www.devdiscourse.com/article/health/881661-new-coronavirus-spreads-more-like-flu-than-sars--chinese-study …,2020-02-19 23:32:32
18,Seventh Indian tests positive for coronavirus on quarantined cruise ship https://www.devdiscourse.com/article/international/881660-seventh-indian-tests-positive-for-coronavirus-on-quarantined-cruise-ship …,2020-02-19 23:32:17
19,BBC News - Coronavirus: Hundreds of flu patients to be tested by UK hospitals and GPs https://www.bbc.com/news/uk-51641243 …,2020-02-26 23:57:01
20,"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…",Sat Jun 13 10:14:30 +0000 2020
21,RT @OVargas52: Prediction: Bolivia won't have elections on September 6th. The regime is already hated and the little support they have curr…,Sat Jun 13 10:12:14 +0000 2020
22,"RT @MileyCyrus: Spain, you united in solidarity with Black Lives Matter in the US. We must keep standing together to tackle #COVID19 and it…",Sat Jun 13 09:52:29 +0000 2020
23,"RT @DeptDefence: Flight Lieutenant Kimberley Macdonald, a nurse from @AusAirForce's No. 3 Aeromedical Evacuation Squadron, is helping Papua…",Sat Jun 13 11:28:06 +0000 2020
24,RT @DubesAustralia: Australia is committed to supporting the efforts of the Indonesian Government &amp; civil society to strengthen #disability…,Sat Jun 13 12:36:09 +0000 2020
25,RT @ASPENWEB: Now available in Spanish! ASPEN Report on Nutrition Support Practice Processes with #COVID19: The First Response. https://t.c…,Sat Jun 13 10:03:11 +0000 2020
26,RT @XHNews: Beijing's major wholesale market has been suspended after personnel working there tested positive for #COVID19 https://t.co/056…,Sat Jun 13 11:00:36 +0000 2020
27,"RT @Corix_JC: Making the Modern #Workforce as Flexible as its Technology &gt; https://t.co/MS5OE60Bol via @TechNative 

#business #leaders #le…",Sat Jun 13 13:29:46 +0000 2020
28,"RT @GlblCtznImpact: Thank you 💙 @mileycyrus 💙 for calling on world leaders to unite &amp; commit billions of dollars to make testing, treatment…",Sat Jun 13 10:03:18 +0000 2020
29,Wow I would like to be there 🥐☕️,Sat Jun 13 14:38:21 +0000 2020
30,Airline executives tell Trump: planes getting cleaner amid coronavirus concerns https://www.devdiscourse.com/article/health/912325-airline-executives-tell-trump-planes-getting-cleaner-amid-coronavirus-concerns …,2020-03-04 23:52:45
31,Typosquatting Protection: A Necessary Defense Against Coronavirus-Themed Campaigns? http://dlvr.it/RRrjdv pic.twitter.com/kRzP8VFueo,2020-03-13 23:58:02
32,Arsenal Manager Mikel Arteta has tested positive for coronavirus  https://twitter.com/GrantWahl/status/1238228806550327297 …,2020-03-12 23:58:00
