,Tweets,Date
0,Oh wow #coronavirus ,2020-01-30 23:32:39+00:00
1,Woman who recovered from #coronavirus tests positive for it again in #Japan https://nypost.com/2020/02/27/woman-who-recovered-from-coronavirus-tests-positive-for-it-again-in-japan/?utm_source=twitter_sitebuttons&amp;utm_medium=site%20buttons&amp;utm_campaign=site%20buttons via @nypost #covid19 #covid19japan #coronavirusjapan #CoronaVirusUpdates #Coronavirusourtbreak,2020-02-28 11:51:58+00:00
2,Coronavirus: Recovered patients testing positive again - BBC News https://youtu.be/3-wf3Nb8tzI via @YouTube #coronavirus #covid19 #coronavirusoutbreak #CoronaVirusUpdates,2020-02-28 11:50:04+00:00
3,more coronavirus i guarantee you,2020-01-26 23:27:24
4,USD/JPY: Bears dominate near 108.30 as coronavirus remain in headlines https://ift.tt/38Z9FyI ,2020-02-02 23:42:19
5,USD/JPY: Bears dominate near 108.30 as coronavirus remain in headlines https://ift.tt/37RFQ2N ,2020-02-02 23:31:20
6,USD/JPY: Bears dominate near 108.30 as coronavirus remain in headlines https://ift.tt/2tmwEVg ,2020-02-02 23:29:09
7,"Building #empathy for students: PD today @UNIS_Hanoi will be a synchronous Distance Learning activity for MSHS teachers. How do we identify, highlight & implement effective Distance Learning practices? What is S feedback telling us is working/not working? #coronavirus #closurepic.twitter.com/GqShlMKJ5J",2020-02-18 23:45:36
8,Apple says will not meet revenue guidance for March quarter due to impact of coronavirus https://vietnaminsider.vn/apple-says-will-not-meet-revenue-guidance-for-march-quarter-due-to-impact-of-coronavirus/ …pic.twitter.com/WRuZRik4nN,2020-02-17 23:54:37
9,"We keep the Korean tourists from Daegu in order to protect our people and prevent the spread of corona virus, they have no rights to backtalk about our treatments. We did everything we could to suffice for their demands. #ApologizeToVietNamhttps://twitter.com/linhmc2002/status/1232433459697577985 …",2020-02-25 23:59:01
10,"The US citizen discharged, Vietnam’s Ho Chi Minh City had no patients diagnosed with coronavirus https://vietnaminsider.vn/the-us-citizen-discharged-vietnams-ho-chi-minh-city-had-no-patients-diagnosed-with-coronavirus/ …pic.twitter.com/XR4XyLNnvw",2020-02-21 23:20:17
11,#covid19 #SARSCoV2 #coronavirus #2019nCoV this is correct.... its probably many places we don't think it is ... much closer to you and I than would seemhttps://twitter.com/T_Inglesby/status/1231364820361994241 …,2020-02-22 23:52:42
12,"Vietnam welcomes quality FDI from China, says PM #Vietnam #China #FDI #Covid19 #coronavirus #ncov #pandemic… https://t.co/MSdUAUjP3I",Sat Jun 13 08:42:41 +0000 2020
13,"RT @UN_Women: Did you know that collectively, people spend 𝟏𝟔 𝐛𝐢𝐥𝐥𝐢𝐨𝐧 hours on unpaid care work every day?

Because of #COVID19, this numbe…",Sat Jun 13 10:00:54 +0000 2020
14,I was in #saigon for a couple of days this week on duty travel. It's a place that always makes me feel like I'll ne… https://t.co/wGZbXNJxSB,Sat Jun 13 11:01:39 +0000 2020
15,"RT @VNGovtPortal: Ạ 29-year-old man w/ travel record to China has been confirmed latest #COVID19 case, raising Viet Nam’s patient tally to…",Sat Jun 13 11:27:27 +0000 2020
16,RT @Van_Trang_N: I was in #saigon for a couple of days this week on duty travel. It's a place that always makes me feel like I'll never be…,Sat Jun 13 12:01:47 +0000 2020
17,"RT @priyadamini24: #Thread 🧵 

As India’s #COVID19 tally inches towards the 3 lakh mark, here is a thread of IMPORTANT CRUCIAL THINGS THE G…",Sat Jun 13 09:52:50 +0000 2020
18,"Coronavirus: Photos show empty streets, attractions and stadiums around the world: https://ift.tt/2IEmvHn ",2020-03-09 23:56:07
