,Tweets,Date
0,The #kabul_Administration says: positive cases of coronavirus at Pule-Charkhi #prison has reached to 75.even more prisoners r addicted to corona.#US must act on #Doha_agrmnt otherwis they r directly responsible for this catastrophe @US4AfghanPeace @StateDept @USAmbKabul @USFOR_A,2020-04-29 22:48:22+00:00
1,"This is why I am saying #COVID19 should be dealt in time and cautiously in #Afghanistan. In this video, people in Ghazni are vowing and praying to repel the virus. Afghans — even in major cities — have no proper access to medication. This can be awfully dangerous!",2020-02-28 20:59:08+00:00
2,What measures are in place to prevent public outbreak of the COVID19 ? How well is the quarantine facility secured? Was this person tested and isolated at the airport or was it a reported case of symptoms that led to the discovery of the first COVID19 case in Nigeria?,2020-02-28 16:30:14+00:00
3,"Coronavirus Live Updates: Second Unexplained Case Found in California, This Time in Santa Clara County via New York Times https://ift.tt/32DG7EJ  https://ift.tt/39axpR0 ",2020-02-28 23:59:15
4,Global #cronavirus death,Sat Jun 13 08:48:07 +0000 2020
5,RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…,Sat Jun 13 09:52:26 +0000 2020
6,"RT @WIONews: ‘Unable to pay rent, children’s tuition fee’

Over a thousand garnet factory workers protested against the overdue wages near…",Sat Jun 13 11:35:04 +0000 2020
7,Afghan government says #covid19 killed only 5 people across #Afghanistan in the last 24 hours. I lost a friend and… https://t.co/jjargS7JsG,Sat Jun 13 11:39:41 +0000 2020
8,"RT @MunazaShaheed: I miss going to the office, using the studio for TV programs, interacting with people without any fear of  #COVID19 &amp; ha…",Sat Jun 13 11:40:50 +0000 2020
9,"RT @FAO: Our food systems are failing us. And #COVID19 is making things worse.

We must invest in the future &amp; transform our food systems t…",Sat Jun 13 10:13:44 +0000 2020
