,Tweets,Date
0,"Sonora, Mexico, has had strict stay-at-home orders in place for more than six weeks now. But as some residents grow restless, leaders are pushing for continued compliance as the number of confirmed coronavirus cases continues to rise. ",2020-04-29 23:28:00+00:00
1,"Opinion | Coronavirus, Racism and Injustice: No One Is Coming to Save Us - The New York Times ",2020-05-30 23:04:53+00:00
2,Bet there's a ton of anti-vax facebook mom's feeling a little panic with Corona Virus reaching our shores,2020-01-30 22:47:25+00:00
3,"The World Health Organisation has declared corona virus that has taken 171 lives as world health emergency How many innocent lives have been lost to Boko Haram since 2015 alone, that instead of a security emergency, we are debating the true meaning of executive bafflement?",2020-01-30 22:10:57+00:00
4,"So, yeah, peeps will go to work w/ #COVID19 bc of the disincentives to take off but also bc a.) many will not know they have the virus if they have less severe symptoms &amp; think it's cold/flu &amp; b.) the current diminished capacity for doctors to test and/or confirm otherwise.",2020-02-28 20:12:02+00:00
5,"""Real crisis scenarios require cooperation and, crucially, 'flattening the curve' of the crisis exactly so the more vulnerable can fare better, so that our infrastructure will be less stressed at any one time."" #covid19 #coronavirus",2020-02-28 15:43:39+00:00
6,China: 'Novel coronavirus' preliminarily identified in pneumonia outbreak - Outbreak News Today http://outbreaknewstoday.com/china-novel-coronavirus-preliminarily-identified-in-pneumonia-outbreak-47448/ …,2020-01-09 15:35:09
7,Why is China the origin of all deadly strains of coronavirus?,2020-01-18 05:52:44
8,"This Corona virus is scary as hell, but an estimated 80,000 Americans died of flu and its complications last winter — the disease's highest death toll in at least four decades! Just saying...…. https://twitter.com/TomthunkitsMind/status/1228819333268361216 …",2020-02-15 23:16:21
9,"RT @Nwankpa_A: If you have a fever and you are losing your sense of taste and/or smell: While screening for malaria &amp; typhoid, you might al…",Sat Jun 13 11:05:19 +0000 2020
10,"RT @QuintFit: ""Loss of smell (anosmia) or loss of taste (ageusia) preceding the onset of respiratory symptoms has also been reported,"" said…",Sat Jun 13 11:36:40 +0000 2020
