,Tweets,Date
0,Remember corona virus is still out there,2020-05-30 21:16:43+00:00
1,"1320: The bubonic plague
 1420: Black Death
 1520: The Aztec empire disappears because of smallpox brought from Spain
 1720: Plague of Marseille
 1820: Cholera Epidemic
 1920: Spanish flu
 2020: coronavirus",2020-01-22 23:10:07
2,Chinese “corona virus” fashion style.  #coronaraviruspic.twitter.com/va0Vk0q01V,2020-01-29 23:42:51
3,#Coronavirus pandemic in Sweden is sure to be the downfall of Swedish Social Democratic Party who has caused Swedes so much tragic already.#svpol #covid19,2020-02-23 23:36:29
4,RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…,Sat Jun 13 09:52:26 +0000 2020
5,RT @globaltimesnews: #Beijing's Fengtai district raised the risk level of its Xiluoyuan Street community and Huaxiang area to medium from l…,Sat Jun 13 10:00:32 +0000 2020
6,RT @tmprowell: The US has performed its first double lung transplant for lung damage caused by #COVID19. The recipient is a 20 yr old woman…,Sat Jun 13 09:52:51 +0000 2020
7,"RT @yourICM: #COVID19 induced #AKI in critically ills with #SARSCoV2 #Coronavirus infection: several mechanisms possibly involved, prevalen…",Sat Jun 13 08:40:30 +0000 2020
8,"RT @en_germany: Even though the #corona-related #restrictions are being increasingly eased, the #Coronavirus is still present in #Germany.…",Sat Jun 13 10:07:13 +0000 2020
9,BREAKING: One new cases of coronavirus in Dominican Republic,2020-03-01 23:58:16
10,Fake animal news abounds on social media as coronavirus upends life. https://www.nationalgeographic.com/animals/2020/03/coronavirus-pandemic-fake-animal-viral-social-media-posts/ …,2020-03-21 23:58:20
