,Tweets,Date
0,"https://www.codastory.com/disinformation/egypt-shortage-gear-crisis In Egypt, medics fear raising the alarm on Covid- 19 #Egypt #coronavirus #COVIDー19 #مصر #كورونا #كوفيد١٩",2020-04-29 22:17:21+00:00
1,"THREAD. Democrats made their picks for members of the Select Committee on the #Coronavirus Crisis today. The GOP did not, balking at the very notion of a select committee as a redundancy with impure political motive. Before I share my story, a note on select committees:",2020-04-29 22:16:48+00:00
2,"Chinese push to end wildlife markets as WHO declares coronavirus emergency | The Chinese government recently put a moratorium on wildlife trade. Will markets just move underground, as other restricted products have? Momentum’s growing for a permanent ban. ",2020-01-30 23:21:16+00:00
3,According to BBC Persia the death toll in #iran has raised to be 210 from #coronavirus infection #COVID19 ,2020-02-28 17:23:13+00:00
4,One Dead in Pneumonia Outbreak from New Coronavirus in China https://www.the-scientist.com/news-opinion/one-dead-in-pneumonia-outbreak-from-new-coronavirus-in-china-66964#.Xh3ZXP-6PiE.twitter …,2020-01-14 15:08:13
5,Chinese Visitor reported to be infected with a new strain of coronavirus https://ift.tt/2RhjTDf ,2020-01-14 14:31:02
6,Three U.S. Airports to Screen Passengers for Chinese Coronavirus  https://q13fox.com/2020/01/17/cdc-to-screen-at-three-us-airports-for-signs-of-new-virus-from-china/ … #china #CDC #virus #sick #sickness #climate #climatechange pic.twitter.com/NKupzJOtCh,2020-01-17 20:03:13
7,"Maybe if people would stop drinking that nasty Corona beer, we wouldn’t have this Corona virus. ",2020-01-25 23:31:56
8,"3rd week
-Corona virus coming back 
-Trump's impeachment
- tension in the middle east over oil
-Liverpool closing the league https://twitter.com/mmpadellan/status/1214789888551407618 …",2020-01-21 22:43:09
9,"Asian shares, bond yields fall as deadly coronavirus spreads http://dlvr.it/RNsj9m pic.twitter.com/zUiHaxu8fh",2020-01-27 23:53:06
10,Hey guys remember all the jokes about how all the 20's had epidemics and plagues? Coronavirus is apparently making a comeback.,2020-01-24 23:42:59
11,Tiktok was a warning for corona virus,2020-01-24 23:21:28
12,U.S. stock futures fall more than 1 percent as coronavirus fears spread http://dlvr.it/RNpGBX pic.twitter.com/IiuZTT5Od9,2020-01-26 23:38:03
13,"#BREAKING: Worldwide confirmed number of #coronavirus deaths rises to 806, cases reaches 37,111 pic.twitter.com/XSoR2jXrVg",2020-02-08 23:52:36
14,"Shoddy Coronavirus Studies Are Going Viral And Stoking Panic: medianet_width = ""300… https://goo.gl/fb/cnNuMt ",2020-02-04 23:42:46
15,Shoddy Coronavirus Studies Are Going Viral And Stoking Panic - https://www.cupbord.com/index.php/shoddy-coronavirus-studies-are-going-viral-and-stoking-panic/ …pic.twitter.com/t7mQWJVMWe,2020-02-04 23:41:15
16,Daily Crunch: Apple blames coronavirus for revenue miss https://www.yo-mk.com/?p=249155 ,2020-02-25 23:57:33
17,"As of 20th of Feb Fatality rate is around 2.9% !
76,843 infected with 1% inc - the smallest increase ever!
death toll 2,249 - 6% inc
recovered 18,890
outside of China 1,373 infection inc with 19%
634 in #diamondprincessquarantine
#coronavirus #nCoV2019 #COVID19 #كورونا #مصرpic.twitter.com/qFYvhINKRG",2020-02-21 23:58:17
18,"Again on Friday #Egypt reported more than 1500 new #coronavirus infections and 45 deaths, during the week numbers h… https://t.co/BYScpY0TY0",Sat Jun 13 08:43:30 +0000 2020
19,RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…,Sat Jun 13 09:52:26 +0000 2020
20,Can self-aware robots help us combat coronavirus ?? This planet is in danger! It’s either a nuclear war or an epidemic or an existence struggle with AI. But it will come to an end anyway! https://twitter.com/Seeker/status/1237152434763337728 …,2020-03-09 23:59:34
21,Donald Trump crashes and burns in disastrous coronavirus press conference https://www.palmerreport.com/analysis/press-conference-crash-coronavirus-donald-trump/26061 … via @PalmerReport,2020-03-09 23:55:06
22,There are no Corona Virus infections in Egypt and there are no deaths and real cases https://twitter.com/declanwalsh/status/1239217158493802496 …,2020-03-15 23:59:36
23,There are no Corona Virus infections in Egypt and there are no deaths and real cases,2020-03-15 23:59:28
24,"While there's concern for the elderly catching #coronavirus, there's another #HighRiskCovid19  group that has nothing to do with age. Autoimmune diseases, diabetes and more invisible and chronic illnesses are included. They do not look sick but they’re at high risk.",2020-03-19 23:58:33
25,Am I short of breath because I have Covid-19 or because I’m having a panic attack while wondering if I have Covid-19? a Coronavirus Story,2020-03-21 23:57:01
