,Tweets,Date
0,http://fxb.cm/1SdP  NZD/USD nears multi-week low of 0.6540 as fears of coronavirus outbreak grow,2020-01-27 23:40:02
1,"http://fxb.cm/41dP  Oil Crashes Into Bear Market As Chinese Oil Demand Said To Plummet 20% Due To Coronavirus ""Demand Shock""",2020-02-02 23:55:02
2,"http://fxb.cm/taUP  Experts Say North Korea ""Clearly Lying"" About Coronavirus Outbreak - ""They Don't Want To Show Any Weakness""",2020-02-13 23:35:03
3,"#eVoting: While the #UnitedStates grapples with controversy over #electronic #voting #machines and mail-in ballots,… https://t.co/KUaPNlECci",Sat Jun 13 09:11:48 +0000 2020
4,"http://fxb.cm/mCdP Men More Prone To Coronavirus Infection Than Women, Study Finds",2020-01-30 23:50:02+00:00
5,http://fxb.cm/OCdP The coronavirus outbreak is going to slash China's economic growth - and not just China,2020-01-30 23:15:02+00:00
6,http://fxb.cm/TCdP Forexlive Americas FX news wrap: US GDP a little higher than expected. Coronavirus is public health emergency...sort of,2020-01-30 22:10:02+00:00
7,"http://fxb.cm/mCdP  Men More Prone To Coronavirus Infection Than Women, Study Finds",2020-01-30 23:50:02
8,http://fxb.cm/lSdP  San Francisco Activates Emergency Operations Center To Prepare For Coronavirus,2020-01-27 23:55:02
9,http://fxb.cm/FFdP  The Global Supply & Demand Shock Of The Coronavirus,2020-02-01 23:40:03
10,"http://fxb.cm/AgUP  Here is how China's health authority has changed the classification for coronavirus infections, again",2020-02-19 23:40:02
11,http://fxb.cm/jkAP  Moody's weighs in on coronavirus economic impacts - could continue over next 3 quarters,2020-02-12 23:40:03
