,Tweets,Date
0,"yeah, apparently Beyonce is a disgrace to the USA for rightfully voicing her criticism towards police who have a history of abusing their power and Trump. Trump thinks that climate change is not a thing and thought that the coronavirus was at first a ''hoax''. ",2020-04-29 23:40:14+00:00
1,"so you are saying that police brutality is okay (recently, a police officer assaulted a fucking child) you are saying that Trump should be given a pass for the way he handled the Coronavirus outbreak and should be given a pass for not believing in climate change you're pathetic ",2020-04-29 23:36:01+00:00
2,Dr. Fauci backed controversial Wuhan lab with millions of U.S. dollars for risky #coronavirus research https://newsweek.com/dr-fauci-backed-controversial-wuhan-lab-millions-us-dollars-risky-coronavirus-research-1500741 Dr. Fauci funded scientists at the Wuhan Institute of Virology and other institutions for work on gain-of-function research on #bat coronaviruses.,2020-04-29 23:31:20+00:00
3,Brazil leaves its many poor hanging amid coronavirus surge ,2020-04-29 23:29:05+00:00
4,Coronavirus: Cancelled flights refund refusals slammed as 'completely unacceptable' https://www.euronews.com/2020/04/29/coronavirus-cancelled-flights-refund-refusals-slammed-as-completely-unacceptable,2020-04-29 22:52:53+00:00
5,VA defends use of unproven drug on veterans for coronavirus ,2020-04-29 22:51:03+00:00
6,"#CoronavirusGoodNews: (1) #Cambodia, one of the poorest countries in the world, has largely been spared from the #Coronavirus pandemic. The strict measures it took at the borders, ports &amp; airports also played a role. https://www.worldometers.info/coronavirus/country/cambodia/",2020-05-30 20:46:03+00:00
7,"The country with the most #coronavirus cases: #USA: https://worldometers.info/coronavirus/country/us/ 1,811,093 total cases; 17,563 new cases in the last 24h. Total number of deaths: 105,327 (highest in the world). Number of deaths in the last 24h: 785 (highest in the world), 206 less than yesterday.",2020-05-30 20:46:03+00:00
8,"At present, we are weeping at the loss of 175 people, while you Brits have 38,161 deaths from #coronavirus #COVID19 #Greece #COVID19greece",2020-05-30 20:37:21+00:00
9,How Sweden wasted a ‘rare opportunity’ to study coronavirus in schools ,2020-05-30 19:38:46+00:00
10,"Greece #Coronavirus ~ 7 new cases, no deaths in the last 24 hours. It's still with us . . . ",2020-05-30 19:34:57+00:00
11,British Airways plane from Hong Kong on lockdown due to coronavirus fears http://dlvr.it/RP4pj4,2020-01-30 23:08:33+00:00
12,"Coronavirus declared ‘global health emergency,’ with man in Thessaloniki being tested for the virus https://greekcitytimes.com/2020/01/31/coronavirus-declared-global-health-emergency-while-man-in-thessaloniki-is-being-tested-for-the-virus/",2020-01-30 22:42:03+00:00
13,I used to spend a lot of time reading/listening to info on conspiracy theories. I always try to keep it at arms length & be skeptical. But wow do the current actions around calling Covid19 a hoax &amp; our system being setup so poor people have no options fit into some of the worst.,2020-02-28 21:48:01+00:00
14,"2/3 ...minimise the spread. Imagine, globally to ground all #airliners/#airplanes with such (#CoVid19) cases! The #AirTransport industry will not withstand the financial results of #grounding part of the fleet for long. Several #airlines will gone bust with such treatment. So...",2020-02-28 09:07:46+00:00
15,Chinese report says illnesses may be from new coronavirus http://dlvr.it/RMhbYq pic.twitter.com/sdxUgRUGak,2020-01-09 02:37:33
16,"China's coronavirus cases likely grossly underestimated, study says
 https://edition.cnn.com/2020/01/18/asia/china-coronavirus-study-intl/index.html …",2020-01-19 07:47:26
17,"Say ""hello"" to the health scare of 2020:

Three U.S. Airports to Check Passengers for a Deadly Chinese Coronavirus https://nyti.ms/2G0j1Os ",2020-01-18 14:41:25
18,#Contagion Hits Top 10 on #iTunes Movie Chart Amid #Coronavirus Outbreak | #StevenSodergergh's #SciFi thriller — about a #China-born virus that goes global — opened in cinemas nearly a decade ago  https://www.hollywoodreporter.com/rambling-reporter/contagion-hits-top-10-itunes-movie-chart-coronavirus-outbreak-1274163 …pic.twitter.com/yeFUIEPkIk,2020-01-28 23:53:42
19,"Wuhan coronavirus: How a virus impacts the economy and markets
https://reut.rs/2tEpfkk  /via @Reuters",2020-01-21 23:55:49
20,"Worried about the new coronavirus? Here's all you need to know about it: 

https://www.dw.com/en/everything-you-need-to-know-about-the-new-coronavirus/a-52102486?maca=en-rss-en-all-1573-rdf …",2020-01-21 22:52:27
21,"The Wuhan coronavirus has killed 81 people and infected more than 2,800. Here's everything we know about the outbreak. https://www.businessinsider.com/china-virus-everything-we-know-deadly-2019-ncov-wuhan-spread-2020-1?utmSource=twitter&utmContent=referral&utmTerm=topbar&referrer=twitter … via @businessinsider",2020-01-27 23:49:14
22,"@Vkikilias #Coronavirus is infectious during its incubation period of one to 14 days. Without symptoms, a person may not know they have the infection, but still be able to spread it. So #ThermalCameras are useless 
Anything else you care to propose?",2020-01-27 23:30:41
23,Chinese authorities share FIRST PHOTOS of deadly coronavirus https://www.rt.com/news/479057-chinese-authorities-share-coronavirus-photos/ …,2020-01-24 23:22:46
24,"You’re scared of the coronavirus? Wait until you hear about the influenza virus. 15 million cases and over 8,000 deaths in the US alone this flu season. ",2020-01-29 23:57:32
25,"Media report: GREEK tourism ""immune"" to coronavirus crisis for now http://greeceoutsidein.blogspot.com/2020/01/media-report-greek-tourism-immune-to.html … #Greece #news",2020-01-29 23:40:32
26,Royal Caribbean bans Chinese passport holders from cruise over coronavirus fears https://ift.tt/2vjaFPx ,2020-02-07 23:50:35
27,"I won't believe it till I'm there, either!! First the stress (& extra expense) with the date change, and then this coronavirus . . Ugh!! ",2020-02-05 23:42:47
