,Tweets,Date
0,"""The two people we lost to the coronavirus were most likely exposed to the virus at work before the factory shut down,"" writes Carmen Dominguez ",2020-04-29 23:53:12+00:00
1,Coronavirus: ‘China is not the enemy of the United States' - BBC News ,2020-04-29 23:21:24+00:00
2,"Adding to evidence that the novel coronavirus can spread through the air, Chinese scientists reported detection of the virus in Wuhan hospitals. hospitals ",2020-04-29 23:16:03+00:00
3,Coronavirus: Warning as major study claims most elderly victims 'would not have died otherwise' | UK News | Sky News ,2020-04-29 22:57:44+00:00
4,"Countries must think globally when the world faces an infectious disease. An outbreak anywhere is a risk everywhere. We need to act now to ensure that everyone who needs the coronavirus vaccine when it becomes available gets it, writes Seth Berkley. ",2020-04-29 22:57:06+00:00
5,"With many things to remember, take a moment and recall that those suffering coronavirus symptoms are especially careful with making sure your fridge is clean. Find out more at .@CDCgov",2020-04-29 22:48:25+00:00
6,The Philippine peso hasn't weakened in the face of the coronavirus — and that's posing a risk to the country's economy https://www.bloomberg.com/news/articles/2020-04-29/philippine-peso-remains-resilient-when-economy-needs-it-weak?sref=aXnEdUEz via @markets,2020-04-29 22:45:22+00:00
7,"""The coronavirus is not unlike the Y2K bug—a real but invisible risk ... I cannot read about the losses that never occurred, because they were averted."" ",2020-04-29 22:37:02+00:00
8,".@NickKristof visited the Navajo Nation, which has had more people infected by the coronavirus per capita than any state. 40% of homes don't have running water, making it difficult to wash hands. https://nyti.ms/2TTld1o",2020-05-30 23:12:08+00:00
9,"https://youtu.be/WHsGO8a8WOE This is disgusting. They go everywhere, blaming ppl of racism whenever they don’t get what they want. Even “Wuhan Coronavirus” can “hurt their feelings” and need to be changed to “COVID-19. &amp; see how they treat black ppl. #DNSL #China #Racism #CCPVirus",2020-05-30 22:56:51+00:00
10,"Officials in Latin America began the year worried about an ongoing and deadly dengue epidemic that had put incredible stress on public health systems. And then along came the coronavirus, making matters even worse. ",2020-05-30 22:07:17+00:00
11,"The coronavirus has slammed into Yemen, a country already staggering from war, a health care system in ruins, widespread hunger and outbreaks of cholera and other infectious diseases. ",2020-05-30 21:00:15+00:00
12,"Hong Kong universities suspend classes until March as China coronavirus fears grow, while education chiefs discuss extending closure of city’s schools | South China Morning Post ",2020-01-30 23:59:15+00:00
