,Tweets,Date
0,"I was born into a communist family but the three things that utterly transformed and radicalised my politics even further was the Iraq War, Greenfell Towers and Ferguson. The governments (lack of) response to coronavirus is now drawing up super high too.",2020-04-29 22:32:55+00:00
1,Iraq: Coronavirus Death Toll Nears 200 ,2020-05-30 22:56:12+00:00
2,Overthinking with fucking Corona Virus .. ,2020-05-30 20:23:27+00:00
3,As I said it before we all gonna die Hallo corona virus #كورونا,2020-01-30 23:37:12+00:00
4,Emergency Coordinator @WHOIraq Dr. Wael Hatahit @HatahitWael was interview by @tv_samarra Satellite Channel on the COVID19 preparedness and prevention measures. Pls see a short clip for the interview: ,2020-02-28 20:09:47+00:00
5,"Sources: #Iran has the highest reported number of deaths from the #coronavirus outside #China, while authorities are not transparent. #BaghdadPost #CoronaVirusUpdates #COVID19 ",2020-02-28 12:23:32+00:00
6,"#Iraq's vital religious tourism sector was already suffering after months of protests, political turmoil and sanctions hitting pilgrims from neighbouring #Iran -- then the novel #coronavirus arrived, AFP reported. #BaghdadPost #COVID19 ",2020-02-28 12:00:00+00:00
7,"The World Health Organization @WHO declared that the new #coronavirus epidemic was at a ""decisive point"" as countries across the globe battled to contain the deadly outbreak. #BaghdadPost #COVID19 ",2020-02-28 09:00:00+00:00
8,"As I said it before we all gonna die
Hallo corona virus 
#كورونا",2020-01-30 23:37:12
9,Coronavirus jokes are coming in 3..2..1,2020-02-04 23:58:53
10,"KRG takes action to prevent coronavirus outbreak in Kurdistan
https://gov.krd/english/news-and-announcements/posts/2020/february/krg-takes-action-to-prevent-coronavirus-outbreak-in-kurdistan/ …",2020-02-25 23:54:12
11,Iraq rejects rumors of coronavirus cases https://en1kurdipost.wordpress.com/2020/02/23/iraq-rejects-rumors-of-coronavirus-cases/ …,2020-02-22 23:53:26
12,"#Iraq banned all public gatherings and banned travelers from #Kuwait and #Bahrain from entry, the health minister said, taking the total number of countries on the entry ban list to nine amid growing fears over the spread of the #coronavirus.

#BaghdadPosthttps://www.thebaghdadpost.com/en/Story/47241/Iraq-bans-public-gatherings-and-travel-to-nine-countries-amid-coronavirus-fears …",2020-02-26 23:59:43
13,RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…,Sat Jun 13 09:52:26 +0000 2020
14,"RT @GoranShakhawan: A nurse in a hospital in Erbil - #Kurdistan sings to a child infected with #COVID19. 

By the way, #music is used as a…",Sat Jun 13 11:10:53 +0000 2020
15,"BREAKING: After Turkey, Saudi Arabia has banned travel to and from Kurdistan Region and #Iraq due to #coronavirus outbreak.",2020-03-08 23:58:26
