,Tweets,Date
0,While it might have been an unintended consequence of a decision made during a crisis #Analysis #Coronavirus #Views,2020-04-29 23:55:44+00:00
1,Signs of Coronavirus Fever: 99% Fatigue:70% A dry cough: 59% Loss of appetite: 40% Body aches: 35% Shortness of breath: 31% Mucus or phlegm: 27% Symptoms usually begin 2 to 14 days after you come into contact with the virus.,2020-04-29 23:48:48+00:00
2,Coronavirus: Why healthcare workers are at risk of moral injury ,2020-04-29 23:07:54+00:00
3,"The poor residents of Clonakilty Community Hospital, it’s been a tragic few weeks for the Town and so many families #coronavirus ",2020-04-29 23:04:44+00:00
4,"Raab you absolute muppet, it's pathetic to see governments pushing this crap, fossil fuels have kept us save and alive during the coronavirus, every element of equipment from ventilators to PPE and the power to run our hospitals all from fossil fuels!!!",2020-04-29 22:48:35+00:00
5,"#IrishMed Stats of tweetchat; he #coronavirus crisis (6). Topic; misinformation 818 Tweets. 122 Participants. 3,777,215 Impressions. . More here https://www.symplur.com/healthcare-hashtags/irishmed/analytics/?hashtag=irishmed&amp;fdate=4%2F28%2F2020&amp;shour=15&amp;smin=40&amp;tdate=4%2F29%2F2020&amp;thour=15&amp;tmin=40 via @symplur",2020-04-29 22:44:48+00:00
6,"#IrishMed The #coronavirus crisis(6); misinformation. Transcript of tweetchat, co-host @Laconic_Doc https://wke.lt/w/s/1pHt57 via @wakelet",2020-04-29 22:35:04+00:00
7,"@AinemCarroll @ppdoddy @JulieMaher77 @anniebell63 You’ve been quoted in my #Wakelet collection #IrishMed The #coronavirus crisis; misinformation"". Check it out: ",2020-04-29 22:33:51+00:00
8,"@JulieMaher77 @ReinhartG @DrAnneMurphy @KJPBurns @itsneverbecky @BestPracticeGP @brendaLKK @Paulamulvenna @carolquovadis @CoronavirusInf7 You’ve been quoted in my #Wakelet collection #IrishMed The #coronavirus crisis; misinformation"". Check it out: ",2020-04-29 22:33:06+00:00
9,"@FionaQuigs @KayCurtin1 @gmcrotty @bonniesheeren @jpmkane @NiamhNiRian @byrne_km @Dr_RPM @CRoseveare @louisajanemoss @Imonlyslightly You’ve been quoted in my #Wakelet collection ""#IrishMed The #coronavirus crisis; misinformation"". Check it out: ",2020-04-29 22:30:36+00:00
10,"@ProfPayEquality @AhJaysusHowaya @rachelmlynch @MightyCasey @drkathrynmannix @UCDMedicine @TalentCoop @Murpht01 @AoifeTDoyle @Laconic_doc You’ve been quoted in my #Wakelet collection ""#IrishMed The #coronavirus crisis; misinformation"". Check it out: ",2020-04-29 22:29:39+00:00
11,"One of the deaths reported on Wednesday involved a person in the 15-24 age group, the second in this category. #Coronavirus #Ireland #PressAssociation",2020-04-29 22:24:13+00:00
12,NHS staff coronavirus inquests told not to look at PPE shortages ,2020-04-29 23:53:51+00:00
