,Tweets,Date
0,"Ruby Princess 'most likely' cause of Tasmanian coronavirus outbreak, investigation finds #RubySpud",2020-04-29 23:23:17+00:00
1,#Evangelicals who defied social distancing guidelines are dying of #Coronavirus in frightening numbers ... Events like this create doubts in my Atheism.,2020-04-29 23:03:55+00:00
2,Coronavirus apps: the risk of slipping into a surveillance state https://www.ft.com/content/d2609e26-8875-11ea-a01c-a28a3e3fbd33 via @financialtimes,2020-04-29 23:03:21+00:00
3,Chinese ambassador threatens to destroy Australia's economy over coronavirus probe. Threat! Lie! That’s what CCP does! ,2020-04-29 22:50:42+00:00
4,#Fauci : F.D.A. Plans to Announce Emergency Use of Coronavirus Drug ,2020-04-29 22:40:13+00:00
5,US shortage of masks against coronavirus https://www.wsj.com/articles/miscalculation-at-every-level-left-u-s-unequipped-to-fight-coronavirus-11588170921?emailToken=a9225d324fe5b55e2e0d168a8aafa11813mI9WKB20pWflA4QZOllhe2MOHxqzoyO2Qyp9M3zvGfKu3Shktz3JKyxt7GYUdzNAD3TTF28CUulofboU4IKbwiygM5IG1Z0bAiESVEmJf9iwtqgT4uZxlsUtdFY6i+GMNHFIN288VgTJWwb5szXQ%3D%3D&amp;reflink=article_whatsapp_share,2020-04-29 22:35:48+00:00
6,"So, what exactly happened in Italy. Why did so many people die? My thoughts (Hindi) #coronavirus ",2020-05-30 23:05:07+00:00
7,"At this rate, I wouldn’t be surprised if they would do a test on #GeorgeFlyod and then say he died of #coronavirus so that’s why he had breathing issues",2020-05-30 21:59:15+00:00
8,Im not but you for sure if you count the numbers of previous corona viruses that affected people with others corona virus already exist adding more herd immunity,2020-05-30 21:45:34+00:00
9,"'Apocalyptic virus from chicken farms could dwarf #coronavirus and kill half world’s population' https://www.thesun.co.uk/news/11742195/virus-chickens-coronavirus/?utm_medium=Social&amp;utm_campaign=sunmaintwitter&amp;utm_source=Twitter#Echobox=1590847292 The doctor details that ""as long as there is poultry, there will be pandemics"", adding: ""In the end, it may be us or them"".",2020-05-30 20:37:51+00:00
10,"After each epidemic and disaster, our social norms and behaviors change. As researchers begin to study coronavirus’s impacts, history offers clues. ",2020-05-30 20:35:04+00:00
