,Tweets,Date
0,Corona Virus is now world wide. Whuttttthefuccck,2020-01-30 23:42:39+00:00
1,Corona virus is just karma for China locking up all them Muslim ppl and invading Africa,2020-01-30 21:58:09+00:00
2,Bro if the corona virus tries to get me Imma shoot it,2020-01-30 21:30:04+00:00
3,"“What the authorities were able to discover was worrisome: The man had not traveled to China, or to other virus hot spots like Italy, nor was he known to have come in contact with someone confirmed by the authorities to have been infected” #COVID19 ",2020-02-28 12:23:09+00:00
4,"How do u even get the corona virus, mans about to drink water till this shit dies down",2020-01-28 23:42:19
5,Am I actually sick or did my boss’ email about coronavirus precautions make me feel sick,2020-03-02 23:57:55
6,i hope everyone that wears a stupid ass face mask gets the coronavirus ,2020-03-04 23:50:58
7,if the corona virus don’t kill us this will https://twitter.com/Daily_Express/status/1234629562765660161 …,2020-03-03 23:51:47
8,@SportsRadioWIP @JoeGiglioSports  Stop taking calls on the coronavirus. These people don’t know what they’re talking about and it’s very dangerous,2020-03-09 23:58:24
9,"He's not senile, but Bernie did just have a heart attack and thinks women fantasize about getting gang-raped. A deadbeat dad who let his kid & GF go on welfare so he could run for governor & accomplished nothing in 30 years in Congress. I'd vote for Corona Virus over Bernie.",2020-03-09 23:57:21
10,I'm really about to go on vacation by myself IDGAF about no Corona virus ,2020-03-09 23:56:04
11,"If Coronavirus had a face , it would be @RepMaxineWaters. A true virus in Congress. #coronavirus",2020-03-15 23:59:10
