,Tweets,Date
0,Long Island business owners struggle to find a path forward post coronavirus from @CNBC,2020-04-29 23:59:52+00:00
1,"Malaysian palm oil futures rose on Wednesday, tracking stronger crude and soybean oil prices and supported by bargain-hunting, although concerns over weakening global demand due to coronavirus-driven lockdowns capped the gains. ",2020-04-29 23:02:38+00:00
2, awesome-picz: Pics That Show How Differently Celebrities And Normal People Are Treated During The Coronavirus Outbreak ,2020-04-29 22:46:03+00:00
3,Why Sarawakian being so chill with this coronavirus and I don't even see any strict action/movement from the govt itself. The numbers keep increasing in the red zone. This is something serious. ,2020-04-29 22:18:33+00:00
4,'A dream come true': How the anti-vax movement is exploiting the coronavirus crisis https://www.abc.net.au/news/2020-05-31/anti-vaxxers-are-exploiting-the-coronavirus-crisis/12302710?nw=0 via @ABCNews,2020-05-30 22:00:58+00:00
5,Coronavirus declared global health emergency by WHO - BBC News ,2020-01-30 23:59:35+00:00
6,Bank clerk detained for spreading fake news on coronavirus ,2020-01-30 23:54:23+00:00
7,"Selangor Journal | Coronavirus: 18 fake news repelled, clarification via ‘http://Sebenarnya.my’ https://selangorjournal.my/2020/01/coronavirus-18-fake-news-repelled-clarification-via-sebenarnya-my/?utm_source=dlvr.it&amp;utm_medium=twitter",2020-01-30 23:48:03+00:00
8,"6,000 tourists in lockdown on Italian cruise ship over coronavirus fears ",2020-01-30 23:47:22+00:00
9,"Coronavirus live updates: Outbreak exceeds SARS with more than 8,200 confirmed cases, cruise ship of 6,000 quarantined ",2020-01-30 23:46:52+00:00
10,RT @cnnbrk: The World Health Organization declares a global health emergency as cases of Wuhan coronavirus continue to spread outside China. Follow live updates: https://cnn.it/2OcxiMl,2020-01-30 23:44:56+00:00
11,WHO declares coronavirus international emergency ,2020-01-30 23:42:43+00:00
12,'Utter chaos': Coronavirus exposes China healthcare weaknesses ,2020-01-30 23:40:59+00:00
13,Vaccine in three months. https://p.dw.com/p/3X48w?maca=en-Twitter-sharing Coronavirus: WHO declares global health emergency,2020-01-30 23:40:00+00:00
14,Coronavirus declared global emergency by WHO after 1st person-to-person US case ,2020-01-30 23:38:11+00:00
15,"31 Jan 2020 GENEVA: The World Health Organisation on Thursday (Jan 30) declared a global emergency over the deadly coronavirus spreading from China, after the Asian giant reported its biggest single-day jump in the death toll. ",2020-01-30 23:35:13+00:00
16,Levi's shuts half its China stores on coronavirus outbreak https://www.thestar.com.my/business/business-news/2020/01/31/levi039s-shuts-half-its-china-stores-on-coronavirus-outbreak,2020-01-30 23:31:15+00:00
17,China coronavirus: city health chief sacked as death toll climbs to 170 ,2020-01-30 23:30:19+00:00
18,"China coronavirus outbreak a global health emergency, WHO declares ",2020-01-30 23:28:39+00:00
19,Health Ministry says report of Indian national’s death from coronavirus in Malaysia is fake ,2020-01-30 23:24:32+00:00
20,#ICYMI Woman arrested in Kuantan for spreading fake news on #coronavirus - MCMC http://bernama.com/en/general/news.php?id=1810404,2020-01-30 23:21:54+00:00
21,Wuhan Coronavirus Panic Grips China and the World @Diplomat_APAC https://thediplomat.com/2020/01/wuhan-coronavirus-panic-grips-china-and-the-world/ @richardrichli @imfsea_aruna @arifsetia2013d @NonVitalTooth @GEanalyst @malaysianalways @ahkmlog @kuabt @AnwarFadzil @pragupathy @_chuad @CA4MSIA @billtay25,2020-01-30 23:12:47+00:00
22,43 airlines have canceled flights to China amid coronavirus fears — here's the full list https://www.businessinsider.fr/us/airlines-canceling-changing-flights-to-china-amid-coronavirus-fears-2020-1/ via @BIfrance,2020-01-30 23:09:57+00:00
23,"The WHO declares Coronavirus outbreak a global emergency. This triggers recommendations to all countries aimed at preventing or reducing cross-border spread of disease, while avoiding unnecessary interference with trade and travel. ",2020-01-30 23:09:41+00:00
24,WHO is declaring the 2019-novel corona virus a Public Health Emergency of International Concern. ,2020-01-30 23:06:04+00:00
25,The people saying Chinese people shouldn’t be blamed for spreading the coronavirus definitely haven’t been in a plane full of ill Chinese who were adamant on travelling despite the warnings not to.,2020-01-30 22:57:32+00:00
26,World Health Organization declares coronavirus a global health emergency https://youtu.be/NeDeOxb4ofg via @YouTube,2020-01-30 22:52:27+00:00
27,WHO declares China coronavirus that's killed 171 a global health emergency @CNBC,2020-01-30 22:42:30+00:00
28,Could coronavirus cause China more economic pain than Sars? https://www.scmp.com/economy/global-economy/article/3048256/china-coronavirus-could-inflict-more-economic-pain-sars via @scmpnews @richardrichli @imfsea_aruna @arifsetia2013d @NonVitalTooth @GEanalyst @malaysianalways @ahkmlog @kuabt @AnwarFadzil @pragupathy @_chuad @CA4MSIA @billtay25,2020-01-30 22:34:29+00:00
29,China coronavirus: city health chief sacked as death toll climbs to 170 https://www.scmp.com/news/china/society/article/3048150/china-coronavirus-confirmed-mainland-cases-rise-7158-deaths-now via @scmpnews @richardrichli @imfsea_aruna @arifsetia2013d @NonVitalTooth @GEanalyst @malaysianalways @ahkmlog @kuabt @AnwarFadzil @pragupathy @_chuad @CA4MSIA @billtay25,2020-01-30 22:23:36+00:00
30,"China coronavirus outbreak a global health emergency, WHO declares https://www.scmp.com/news/china/society/article/3048314/china-coronavirus-world-health-organisation-declares-outbreak via @scmpnews @richardrichli @imfsea_aruna @arifsetia2013d @NonVitalTooth @GEanalyst @malaysianalways @ahkmlog @kuabt @AnwarFadzil @pragupathy @_chuad @CA4MSIA @billtay25",2020-01-30 22:22:23+00:00
31,#askmani WHO declares coronavirus a global health emergency https://www.who.int/news-room/detail/30-01-2020-statement-on-the-second-meeting-of-the-international-health-regulations-(2005)-emergency-committee-regarding-the-outbreak-of-novel-coronavirus-(2019-ncov)#coronavirus #CoronavirusOutbreak #nCoV2019 #2019nCoV,2020-01-30 22:09:04+00:00
32,WHO upgrades global risk of #COVID19 spread to highest level,2020-02-28 16:50:47+00:00
33,"Some of my clients liquidate their KGs of gold to cover margin calls and force sell. Pleaselah Malaysia, we need to stabilize our economy. While you fighting for power, those who infected due to #COVID19 crying as most of them losing their jobs.",2020-02-28 15:42:07+00:00
34,In the backdrop of the covid19 &amp; political upheaval here in Malaysia.. TQ @myUNICEF @UNICEF,2020-02-28 14:01:13+00:00
35,"That's huge news then. But, their safety are way more important esp with current disease covid19. I want them to delay this cb but I also miss them so much",2020-02-28 13:49:03+00:00
36,There’s one thing the #COVID19 can do to us human. Either break us apart or strengthen us together.,2020-02-28 12:16:19+00:00
37,"#NSTworld: #Iran on Friday reported eight new deaths from #coronavirus, taking its overall toll to 34. https://www.nst.com.my/world/world/2020/02/570153/iran-reports-8-new-coronavirus-deaths-34-total #covid19",2020-02-28 12:13:35+00:00
38,"In the middle of the government collapse #LangkahSheraton and #Covid19, reorganising my follows to try to keep Malaysian #Twitterjaya on one account and #scienceTwitter on the other so don't be angry ya if I unfollow you, I'll follow you from my other account",2020-02-28 11:01:13+00:00
39,"Apelah, we should've focused on fighting #COVID19 yet here we are, channelling our resources towards resolving unnecessary feud",2020-02-28 10:52:27+00:00
40,#NSTworld: #Japan’s northernmost prefecture of #Hokkaido declared a state of emergency on Friday as the number of #coronavirus cases rose. https://www.nst.com.my/world/world/2020/02/570099/japans-hokkaido-prefecture-declares-state-emergency-over-coronavirus #covid19,2020-02-28 10:27:35+00:00
41,damn covid19,2020-02-28 10:15:32+00:00
42,WHO says mysterious illness in China likely being caused by a novel #coronavirus. Something expected for a little while now. Reassuring at the moment it doesn’t seem to be efficiently transmitted among humans. Looking forward to the complete  epidemiology and sequencing data. https://twitter.com/chriskc_Lee/status/1215028401964118016 …,2020-01-08 23:08:27
43,"WHO: Wuhan pneumonia outbreak is likely a novel coronavirus.
 https://www.statnews.com/2020/01/08/who-says-mysterious-illness-in-china-likely-being-caused-by-new-virus/ …",2020-01-08 21:51:59
44,"WHO: New Virus Likely Behind Wuhan Pneumonia Outbreak, Linked To SARS 

The Wuhan outbreak is likely caused by a new coronavirus, the World Health Organization (WHO) says.

https://codeblue.galencentre.org/2020/01/09/who-new-virus-likely-behind-wuhan-pneumonia-outbreak-linked-to-sars/ …",2020-01-09 05:23:02
45,"WHO: New Virus Likely Behind Wuhan Pneumonia Outbreak, Linked To SARS 

The Wuhan outbreak is likely caused by a new coronavirus, the World Health Organization (WHO) says. @WHOhttps://codeblue.galencentre.org/2020/01/09/who-new-virus-likely-behind-wuhan-pneumonia-outbreak-linked-to-sars/ …",2020-01-09 04:48:54
46,"Novel Coronavirus outbreak in  Wuhan, China

On 11 and 12 January 2020, WHO received further detailed information from the National Health Commission about the outbreak.

The evidence is highly suggestive... https://www.who.int/csr/don/12-january-2020-novel-coronavirus-china/en/ …",2020-01-12 22:48:26
47,"On January 13, 2020, The Ministry of Public Health of Thailand reported an imported case of infection caused by the novel coronavirus recently identified in Wuhan, China. The... https://www.who.int/thailand/news/detail/13-01-2020-thailand-responding-to-the-novel-coronavirus …",2020-01-13 14:57:39
48,"Thailand Reports Traveller Infected With New Wuhan Virus 

This is the first case of a person outside China being infected with the novel coronavirus behind the Wuhan pneumonia outbreak.

https://codeblue.galencentre.org/2020/01/13/thailand-reports-traveller-infected-with-new-wuhan-virus/ …",2020-01-13 10:33:53
49,"Novel Coronavirus – Thailand (ex-China)
Disease outbreak news
14 January 2020

On 13 January 2020, the Thailand’s Ministry... https://www.who.int/csr/don/14-january-2020-novel-coronavirus-thailand-ex-china/en/?fbclid=IwAR2CEy56RtaQ-nwvH1QFK7zldkFwk7mHcpOO-h0iGEOfanmDTWJLARYFBvA …",2020-01-15 23:26:08
50,"New China Virus Can Spread, WHO Warns Hospitals 

There’s no specific treatment for the new coronavirus, but antivirals are being considered and could be “repurposed”.

https://codeblue.galencentre.org/2020/01/15/new-china-virus-can-spread-who-warns-hospitals/ …",2020-01-15 06:27:41
51,"GENEVA (Reuters) - There may have been limited human-to-human transmission of a new coronavirus in China within families, and it is... https://www.reuters.com/article/us-china-health-pneumonia-who/who-says-new-china-virus-could-spread-its-warning-all-hospitals-idUSKBN1ZD16J …",2020-01-14 23:23:44
52,"There may have been limited human-to-human transmission of a new coronavirus in #China within families, and it is possible there could be a wider outbreak, the World Health Organization said. #publichealth https://reut.rs/36TUyGi ",2020-01-14 16:14:12
53,"WHO alarmed over suspected coronavirus case in Thailand
https://www.thestar.com.my/news/regional/2020/01/14/who-alarmed-over-suspected-coronavirus-case-in-thailand …https://www.thestar.com.my/news/regional/2020/01/14/who-alarmed-over-suspected-coronavirus-case-in-thailand …",2020-01-14 12:12:16
54,"#NSTworld:  There has been “limited” human-to-human transmission of a new #coronavirus that has struck in #China, mainly small clusters in families, but there is potential for wider spread, the @WHO said on Tuesday.
 https://www.nst.com.my/world/world/2020/01/556503/who-says-new-china-virus-could-spread-its-warning-all-hospitals …
@KKMPutrajaya",2020-01-14 10:59:17
55,They even started spreading a new disease called Corona Virus.,2020-01-11 14:23:29
56,"Tentative diagnoses showed 41 cases suffer from pneumonia caused by a preliminarily determined type of coronavirus.

https://www.thestar.com.my/news/regional/2020/01/11/41-more-diagnosed-with-coronavirus-related-pneumonia-in-wuhan …",2020-01-11 07:04:55
57,"A 61-year-old man has died from pneumonia in the central Chinese city of Wuhan in an outbreak of a yet to be identified virus while seven others are in critical condition, the Wuhan health authorities said on Saturday. #coronavirus
#publichealth #Chinahttps://www.aljazeera.com/news/2020/01/china-reports-death-mysterious-outbreak-wuhan-200111023325546.html …",2020-01-11 06:31:34
58,"Novel Coronavirus – Japan (ex-China)

Disease outbreak news 
16 January 2020

The Japanese Ministry of Health, Labour and Welfare, today informed the World Health Organization (WHO) of a... https://www.who.int/csr/don/16-january-2020-novel-coronavirus-japan-ex-china/en/ …",2020-01-16 23:20:03
59,Japan confirms first case of infection with new China coronavirus | Malay Mail https://www.malaymail.com/news/world/2020/01/16/japan-confirms-first-case-of-infection-with-new-china-coronavirus/1828467?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1579140124 …,2020-01-16 03:07:28
60,"Japan confirms first case of coronavirus infection
https://www.thestar.com.my/news/regional/2020/01/16/japan-confirms-first-case-of-coronavirus-infection … https://www.thestar.com.my/news/regional/2020/01/16/japan-confirms-first-case-of-coronavirus-infection …",2020-01-16 03:02:17
61,"#NSTworld: #Japan has confirmed the first case of infection from the new #China #coronavirus.

https://www.nst.com.my/world/world/2020/01/556918/japan-confirms-first-case-infection-new-china-coronavirus …",2020-01-16 02:02:27
62,"why are u so ignorant?  the wuhan coronavirus is now a bigger threat to humanity , your health. no point fighting for Freedom if you dont have health",2020-01-19 07:06:52
63,"China virus cases spike, 17 new infections reported https://buff.ly/30y2niq 
#thesundaily #China #Wuhan #pneumonia #coronavirus #WHO #SARS #Malaysiapic.twitter.com/GcJ0cyeQiv",2020-01-19 06:47:29
64,"The virus originated from wild animals sold as food in the local market in Guangdong, China. 

The SARS coronavirus could be isolated from masked palm civets. https://twitter.com/EcoHealthNYC/status/1216093407833153538 …",2020-01-19 05:07:05
65,Is ASEAN prepared to handle deadly China virus?  #Wuhan #Coronavirus #Chinahttps://theaseanpost.com/article/deadly-china-virus-expected-spread …,2020-01-19 02:26:00
66,"Coronavirus https://wb.md/2fNoD4V 
 from @WebMD

Let’s build up our immune system to beat the flu or any flu related illnesses",2020-01-17 07:44:21
67,Japan confirms first case of coronavirus infection https://www.thestar.com.my/news/regional/2020/01/16/japan-confirms-first-case-of-coronavirus-infection …,2020-01-17 03:07:36
68,"All four suspected #coronavirus cases tested negative - #MoH
@DGHisham #negative #2019nCov @WHO
http://bernama.com/en/general/news.php?id=1808944#.XioyghWHp1k.twitter …pic.twitter.com/6ZBG7Gcadd",2020-01-23 23:58:09
69,"Japan's health ministry said it had confirmed the country's second case of a novel coronavirus strain, in a man who travelled from the Chinese city of Wuhan. pic.twitter.com/fpi1AHfaWb",2020-01-23 23:49:30
70,#NSTworld: The death toll is now 131. #Coronavirus https://www.nst.com.my/world/world/2020/01/560557/official-25-new-fatalities-chinas-virus-epicentre …,2020-01-28 23:55:37
